MutationType	ID83A	ID83B
1:Del:C:0	0.0014929039543494583	0.03195595413446426
1:Del:C:1	0.000764289599028416	0.015719743417575954
1:Del:C:2	0.0014080782781820745	0.008256322205998003
1:Del:C:3	0.0048462449619546535	0.0037989135994575918
1:Del:C:4	0.011903425008058547	0.00078225875942735
1:Del:C:5	0.032305065914988516	6.708439951552538e-05
1:Del:T:0	0.0011154526052996516	0.023482929598540068
1:Del:T:1	0.0017387646448332817	0.019739818647503852
1:Del:T:2	0.003263848307542503	0.015812723515555262
1:Del:T:3	0.015337630743160843	0.01732047989964485
1:Del:T:4	0.044210338927805425	0.012342438083142043
1:Del:T:5	0.6774644440412522	0.05295604966580868
1:Ins:C:0	0.0007917037449078634	0.0470664744451642
1:Ins:C:1	0.00019213302031857892	0.004881123034283519
1:Ins:C:2	0.00016406169066613075	0.0019745362596586347
1:Ins:C:3	0.0005684253288200125	0.0016230249928776174
1:Ins:C:4	0.0028604679205454886	0.009683906883001327
1:Ins:C:5	0.013315378930419683	0.019386033602058886
1:Ins:T:0	0.0006763244204921648	0.009818433579057454
1:Ins:T:1	0.0004078805466997437	0.011851338995620608
1:Ins:T:2	0.002106926704291254	0.00661179022397846
1:Ins:T:3	0.0014629048365168273	0.006188841057009995
1:Ins:T:4	0.0037206886429339645	0.010708148442208767
1:Ins:T:5	0.11898364327847957	0.3167110249400139
2:Del:R:0	0.001247325827134773	0.00950274388305843
2:Del:R:1	0.0026998367137275638	0.014993331264704465
2:Del:R:2	0.0018621248542331158	0.0043474618345499035
2:Del:R:3	0.00990165201947093	4.7515600587182405e-05
2:Del:R:4	0.004058495657518506	9.094950371956401e-05
2:Del:R:5	0.008441414684057236	0.0004415097080345731
3:Del:R:0	0.0003048904388560914	0.0029171533114276827
3:Del:R:1	0.002648641779087484	0.014575646948069334
3:Del:R:2	0.0010467684915056452	0.003663633530959487
3:Del:R:3	0.0004163963720202446	0.0009585896582575515
3:Del:R:4	0.00022959250360145235	0.0005823228423832916
3:Del:R:5	0.0004408117212005891	0.0003460827236995101
4:Del:R:0	0.0001286500444257399	0.0028871147520840167
4:Del:R:1	0.0010923223599093035	0.009565293248742819
4:Del:R:2	0.0003693448059493676	0.0023957509524188936
4:Del:R:3	0.0003319131428725086	0.0013091156259179115
4:Del:R:4	0.00024660367183969355	0.00033508637789054775
4:Del:R:5	0.0002864667370158713	0.000154154078609281
5:Del:R:0	7.718076849414502e-05	0.02300055671483278
5:Del:R:1	0.00020783589701750316	0.006189451380632818
5:Del:R:2	0.00010883260816626716	0.001144110879395157
5:Del:R:3	0.00011161833092046436	0.0003916417279106099
5:Del:R:4	5.5914211370691194e-05	0.00010070733976363045
5:Del:R:5	1.1068773965234868e-05	7.288016237907868e-05
2:Ins:R:0	0.0004870552429929376	0.008381944526918232
2:Ins:R:1	0.0001458944351907121	0.004545558649115264
2:Ins:R:2	0.00025070843374123795	0.0023729701666161417
2:Ins:R:3	0.0007466591621050611	0.002029390106908977
2:Ins:R:4	0.002859923695214093	0.0051907829195261
2:Ins:R:5	0.01072744688950479	0.022937863636761903
3:Ins:R:0	2.5067284962005943e-05	0.004056804315187037
3:Ins:R:1	4.759845076478086e-05	0.003464220173191279
3:Ins:R:2	4.924195700368727e-05	0.000933315550792031
3:Ins:R:3	6.228185600775759e-05	0.00034479054345865735
3:Ins:R:4	0.00019442925651674158	0.00041034093737835065
3:Ins:R:5	0.0010850626870524138	0.0016244901646859944
4:Ins:R:0	8.081183223112021e-05	0.005944659602828323
4:Ins:R:1	6.725733353960095e-05	0.0042795123625546695
4:Ins:R:2	6.553486418852117e-05	0.0007897362275980413
4:Ins:R:3	0.00014639808679930866	0.0011276154516963288
4:Ins:R:4	0.00016664441864122637	0.0013721594971138984
4:Ins:R:5	0.00024793868637061677	0.0018832864926662295
5:Ins:R:0	0.00013370130724069896	0.022789515648037197
5:Ins:R:1	6.422727754397784e-05	0.014726249407976866
5:Ins:R:2	1.765386804663649e-05	0.0011236957664368674
5:Ins:R:3	2.6757163404909078e-05	0.000499495311814826
5:Ins:R:4	3.2261667292914354e-05	0.0003384370000276249
5:Ins:R:5	1.6164186670266646e-05	0.00016108085786981975
2:Del:M:1	0.001968401625053957	0.0135809744335711
3:Del:M:1	0.00017210962003446183	0.002375945653766394
3:Del:M:2	0.0012887982081156225	0.007979722516611219
4:Del:M:1	0.00027327658535796217	0.003137260132934898
4:Del:M:2	0.0004175453979405575	0.004922541403211653
4:Del:M:3	0.0005503868751111441	0.0075068584969267245
5:Del:M:1	5.2053651479582186e-05	0.023433082718402148
5:Del:M:2	1.093038421758859e-05	0.029029306676238775
5:Del:M:3	2.960869574394568e-05	0.022074374053627253
5:Del:M:4	3.0298482931812033e-05	0.012412113090977072
5:Del:M:5	3.3196037611560315e-05	0.013467697389423848
