MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
1:Del:C:0	7.15E-04	5.39E-05	1.42E-03	2.23E-03	1.14E-03	4.98E-03	1.09E-03	2.10E-03	2.34E-03
1:Del:C:1	3.37E-04	2.88E-05	6.67E-04	1.08E-03	5.72E-04	2.52E-03	7.22E-04	1.32E-03	1.49E-03
1:Del:C:2	2.10E-04	2.58E-05	3.82E-04	6.76E-04	3.54E-04	1.26E-03	3.47E-04	8.78E-04	1.02E-03
1:Del:C:3	1.17E-04	2.53E-05	2.91E-04	5.41E-04	2.32E-04	1.09E-03	3.21E-04	5.22E-04	8.65E-04
1:Del:C:4	1.01E-04	3.10E-05	2.76E-04	4.70E-04	2.34E-04	8.93E-04	2.40E-04	2.39E-04	4.67E-04
1:Del:C:5	6.51E-05	1.04E-04	1.51E-04	2.99E-04	2.65E-04	6.64E-04	2.39E-04	3.53E-04	4.59E-04
1:Del:T:0	3.33E-04	4.46E-05	6.89E-04	1.04E-03	5.83E-04	2.22E-03	6.72E-04	1.63E-03	1.54E-03
1:Del:T:1	2.13E-04	2.78E-05	5.46E-04	7.73E-04	3.97E-04	2.02E-03	5.87E-04	1.18E-03	7.95E-04
1:Del:T:2	2.82E-04	5.60E-05	6.22E-04	7.63E-04	4.79E-04	1.70E-03	4.56E-04	1.02E-03	9.21E-04
1:Del:T:3	3.64E-04	1.07E-04	6.47E-04	1.45E-03	6.52E-04	1.87E-03	2.32E-04	8.83E-04	1.06E-03
1:Del:T:4	2.94E-04	1.41E-04	4.77E-04	1.22E-03	6.16E-04	1.45E-03	8.08E-05	1.05E-03	6.09E-04
1:Del:T:5	5.87E-04	2.22E-03	6.71E-04	1.53E-03	3.72E-03	8.29E-04	2.88E-04	3.86E-04	6.30E-04
1:Ins:C:0	1.22E-04	9.27E-05	2.79E-04	3.97E-04	3.89E-04	3.54E-04	3.05E-04	3.26E-04	2.82E-03
1:Ins:C:1	8.18E-05	2.48E-05	2.01E-04	2.68E-04	8.34E-05	3.68E-04	1.59E-04	2.95E-04	9.25E-04
1:Ins:C:2	3.44E-05	1.87E-05	1.04E-04	1.55E-04	1.41E-04	3.32E-04	1.31E-04	2.43E-04	2.84E-04
1:Ins:C:3	1.63E-05	3.44E-05	4.67E-05	1.31E-04	5.19E-05	2.94E-04	1.59E-04	1.22E-04	4.71E-04
1:Ins:C:4	4.94E-06	1.53E-04	4.67E-05	1.25E-04	2.97E-06	1.90E-04	1.17E-04	1.70E-04	3.31E-04
1:Ins:C:5	1.08E-05	8.23E-04	3.62E-05	2.50E-05	1.44E-04	3.56E-04	2.84E-04	4.31E-04	9.79E-04
1:Ins:T:0	1.69E-04	7.79E-05	2.84E-04	3.83E-04	3.37E-04	1.27E-03	4.48E-04	5.88E-04	1.32E-03
1:Ins:T:1	1.04E-04	4.25E-05	4.40E-04	8.25E-04	1.01E-04	1.87E-03	5.00E-04	9.08E-04	1.46E-03
1:Ins:T:2	5.90E-05	1.04E-04	1.97E-04	5.14E-04	2.02E-04	1.32E-03	4.27E-04	5.53E-04	8.99E-04
1:Ins:T:3	4.51E-05	7.83E-05	1.45E-04	3.48E-04	1.77E-04	8.48E-04	2.85E-04	4.68E-04	6.26E-04
1:Ins:T:4	3.84E-05	1.55E-04	1.32E-04	2.40E-04	2.24E-04	7.72E-04	1.17E-04	5.40E-04	3.31E-04
1:Ins:T:5	5.56E-04	3.90E-03	1.34E-03	3.46E-03	3.38E-03	1.18E-02	1.97E-03	7.31E-03	2.28E-03
2:Del:R:0	1.76E-04	1.21E-05	1.19E-04	5.86E-04	3.35E-04	1.27E-03	4.85E-04	8.89E-04	1.09E-03
2:Del:R:1	1.51E-04	2.48E-05	4.03E-04	7.43E-04	3.91E-04	1.25E-03	3.45E-04	1.03E-03	1.18E-03
2:Del:R:2	5.82E-05	1.47E-05	1.57E-04	3.51E-04	2.23E-04	5.83E-04	1.98E-04	6.27E-04	4.72E-04
2:Del:R:3	3.46E-05	1.89E-05	4.37E-05	1.08E-04	1.49E-04	2.73E-04	1.94E-04	2.69E-04	5.52E-04
2:Del:R:4	5.48E-06	2.58E-05	2.00E-05	9.57E-05	1.29E-04	1.67E-04	1.23E-04	1.56E-04	2.73E-04
2:Del:R:5	1.15E-06	5.34E-05	9.52E-05	2.25E-05	1.93E-04	1.76E-03	2.95E-04	1.11E-03	2.61E-03
3:Del:R:0	1.52E-04	2.74E-06	1.93E-04	2.85E-04	1.47E-04	6.57E-04	1.92E-04	4.77E-04	9.93E-04
3:Del:R:1	1.41E-04	2.93E-05	2.64E-04	6.22E-04	4.17E-04	1.22E-03	3.48E-04	1.19E-03	4.47E-04
3:Del:R:2	9.42E-06	1.98E-05	9.22E-05	2.10E-04	1.75E-04	4.86E-04	8.04E-05	5.84E-04	1.59E-04
3:Del:R:3	1.41E-05	3.16E-06	2.19E-05	8.99E-05	8.10E-05	2.07E-04	1.17E-04	1.92E-04	2.27E-04
3:Del:R:4	3.14E-06	1.29E-10	2.92E-05	7.10E-08	2.82E-05	1.85E-04	2.97E-05	1.58E-04	1.15E-04
3:Del:R:5	8.83E-06	2.19E-10	2.22E-05	3.52E-05	6.39E-06	1.72E-04	1.44E-05	1.69E-04	1.54E-04
4:Del:R:0	1.14E-04	5.60E-06	1.66E-04	2.42E-04	6.12E-05	8.49E-04	2.58E-04	5.54E-04	5.95E-04
4:Del:R:1	8.57E-05	9.59E-06	3.17E-04	5.30E-04	3.62E-04	1.11E-03	2.80E-04	9.79E-04	8.03E-04
4:Del:R:2	4.35E-05	8.40E-06	2.55E-05	1.53E-04	1.39E-04	3.67E-04	1.80E-04	4.41E-04	3.29E-04
4:Del:R:3	1.39E-05	1.86E-10	3.46E-05	5.91E-05	5.24E-05	5.34E-04	5.82E-05	3.89E-04	4.74E-04
4:Del:R:4	0.00E+00	6.91E-06	2.34E-05	6.61E-05	2.82E-05	1.26E-04	3.10E-05	1.44E-04	5.94E-05
4:Del:R:5	5.06E-06	6.53E-11	6.82E-06	2.19E-05	4.19E-05	8.80E-05	3.98E-05	8.49E-05	1.62E-04
5:Del:R:0	2.26E-03	3.30E-05	2.13E-03	1.01E-03	7.59E-07	2.38E-03	1.46E-03	1.88E-03	5.91E-04
5:Del:R:1	1.23E-04	5.98E-06	1.23E-04	3.05E-04	1.99E-04	9.42E-04	3.75E-04	5.61E-04	1.18E-03
5:Del:R:2	2.80E-06	7.22E-06	2.17E-05	2.68E-05	8.44E-05	3.24E-04	1.20E-04	2.39E-04	3.14E-04
5:Del:R:3	9.39E-06	1.47E-05	0.00E+00	2.87E-05	4.01E-05	8.42E-05	3.13E-05	8.19E-05	1.05E-04
5:Del:R:4	3.80E-07	1.85E-06	1.25E-06	7.36E-06	2.21E-05	1.18E-05	6.23E-08	1.14E-07	4.92E-06
5:Del:R:5	3.81E-08	2.33E-09	1.77E-06	2.88E-09	8.22E-06	6.81E-06	2.75E-06	1.20E-05	1.87E-05
2:Ins:R:0	1.16E-04	4.89E-05	0.00E+00	1.15E-04	5.92E-05	1.04E-03	6.10E-04	4.18E-05	2.25E-03
2:Ins:R:1	1.20E-05	2.34E-05	1.28E-04	2.89E-04	8.61E-05	7.46E-04	2.68E-04	4.17E-04	7.45E-04
2:Ins:R:2	3.18E-05	2.20E-05	9.71E-05	1.48E-04	7.23E-05	4.55E-04	1.81E-04	1.87E-04	4.48E-04
2:Ins:R:3	2.20E-05	8.50E-05	0.00E+00	6.64E-05	7.57E-05	2.42E-04	1.57E-04	1.29E-04	4.64E-04
2:Ins:R:4	3.85E-06	1.47E-04	1.20E-05	3.33E-05	5.52E-05	1.66E-04	1.23E-04	2.76E-05	3.65E-04
2:Ins:R:5	4.20E-05	5.80E-04	1.59E-05	1.07E-04	4.43E-04	4.08E-04	3.27E-04	2.20E-04	7.44E-04
3:Ins:R:0	7.07E-05	6.76E-06	1.19E-05	2.76E-05	6.11E-05	5.83E-04	4.06E-04	1.64E-05	1.19E-03
3:Ins:R:1	4.88E-06	1.65E-05	9.83E-05	1.35E-04	5.70E-05	5.27E-04	2.12E-04	3.38E-04	4.44E-04
3:Ins:R:2	2.95E-05	1.13E-05	2.90E-05	7.72E-05	6.16E-06	1.69E-04	2.38E-05	1.06E-04	2.80E-04
3:Ins:R:3	1.14E-05	9.71E-06	1.75E-05	2.89E-05	1.40E-05	1.83E-05	0.00E+00	5.06E-06	1.76E-05
