Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
SP124389	300	21	60	30	3	9
SP124362	752	3	187	38	19	27
SP124394	293	10	40	232	21	9
SP124334	293	19	129	93	0	14
SP124339	0	7	44	52	4	22
SP124454	175	30	130	108	8	9
SP124380	533	23	78	86	12	14
SP124273	10	33	431	0	8	9
SP124357	27	56	117	88	5	20
SP124399	486	22	227	235	21	3
SP124311	549	8	84	311	26	37
SP124355	14	19	126	46	6	12
SP124434	371	33	92	115	15	16
SP124428	876	38	306	426	48	24
SP124449	370	62	273	35	34	7
SP124298	998	32	183	782	84	28
SP124431	295	13	58	300	21	9
SP124396	209	122	216	77	4	41
SP124409	715	24	225	151	11	28
SP124341	26	44	180	98	0	15
SP124353	3	6	55	67	1	8
SP124278	4	40	275	0	5	16
SP124376	192	33	81	175	12	28
SP124346	73	34	407	0	0	31
SP124439	964	29	57	106	61	5
SP124351	10	10	58	47	3	7
SP124406	278	113	0	195	1	141
SP124323	13	29	141	29	2	7
SP124391	24	16	167	86	12	17
SP124423	46	0	22	8	0	3
SP124382	1890	2	0	1206	12	43
SP124415	1495	49	254	292	131	13
SP124436	1303	41	395	443	30	72
SP124460	665	60	198	58	17	26
SP124425	220	7	22	150	10	6
SP124456	121	40	0	257	19	7
SP124367	419	26	64	212	11	24
SP124281	10	13	139	0	9	11
SP124377	216	6	32	273	11	20
SP124412	279	8	43	107	16	14
SP124333	108	14	82	164	4	14
SP124359	7	47	279	56	5	23
SP124286	4	24	53	21	1	8
SP124329	135	0	6	66	1	10
SP124326	117	31	175	144	9	22
SP124458	455	42	14	555	34	28
SP124401	1840	70	222	497	63	29
SP124264	41	34	246	201	0	27
SP124384	518	19632	1480	276	0	94
SP124403	47	4	0	98	3	3
SP124462	393	52	124	330	23	42
SP124271	50	73	585	144	7	25
SP124336	16	13	394	1	8	22
SP124452	268	21	43	283	24	10
SP124386	408	32	118	261	32	21
SP124441	17	159	180	145	0	38
SP124418	416	9	43	136	15	9
SP124291	0	31	201	49	1	19
SP124319	540	5	18	79	7	8
SP124305	112	6	209	87	12	29
SP124447	1574	109	24	1995	116	74
SP124344	6	19	108	70	4	18
SP124369	443	35	100	259	33	33
SP124348	5	6	145	49	1	7
SP124295	47	132	310	68	0	23
SP124444	76	39	246	0	23	5
SP124365	324	35	99	241	8	33
