Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
SP116788	2.28E-01	1.97E-01	3.01E-01	2.78E-01	2.54E-01	4.21E-01	2.90E-01	3.06E-01	3.53E-01
SP116789	9.04E-02	8.57E-02	1.90E-01	1.60E-01	8.96E-02	1.86E-01	1.23E-01	1.56E-01	1.75E-01
SP116919	0.00E+00	1.00E-02	2.88E-02	1.97E-02	1.97E-02	2.73E-02	2.73E-02	5.02E-02	3.49E-02
SP109002	9.16E-01	9.86E-01	4.41E-01	3.68E-01	1.68E+00	8.79E-01	1.52E+00	4.28E-01	6.07E-01
SP109001	1.28E-01	2.09E-01	1.78E-01	3.25E-01	1.25E-01	1.90E-01	2.30E-01	1.55E-01	2.57E-01
SP109006	1.18E+00	1.16E+00	4.02E-01	6.04E-01	1.25E+00	8.01E-01	6.42E-01	4.13E-01	8.02E-01
SP108998	2.87E+00	3.14E+00	6.00E-01	6.11E-01	2.34E+00	1.77E+00	1.77E+00	8.68E-01	7.52E-01
SP127706	8.41E-01	1.47E+00	2.83E+00	3.86E+00	2.05E+00	2.39E+00	2.52E+00	1.63E+00	3.21E+00
SP108999	1.78E+00	2.54E+00	1.47E+00	1.45E+00	1.18E+00	1.95E+00	2.15E+00	1.21E+00	6.90E-01
SP109007	5.32E-01	1.10E+00	1.03E+00	1.13E+00	7.64E-01	1.13E+00	1.18E+00	8.31E-01	1.22E+00
SP109003	6.54E-01	5.56E-01	7.86E-01	7.46E-01	1.19E+00	9.19E-01	1.10E+00	7.75E-01	9.14E-01
SP116868	4.64E-01	6.02E-01	8.60E-01	7.34E-01	8.25E-01	8.56E-01	7.93E-01	1.23E+00	7.74E-01
SP116794	2.80E-01	1.36E-01	3.43E-01	3.87E-01	1.35E-01	3.02E-01	1.95E-01	3.44E-01	1.51E-01
SP116791	1.99E-01	2.13E-01	1.83E-01	4.12E-01	2.11E-01	2.68E-01	2.26E-01	3.23E-01	1.72E-01
SP116866	4.58E-01	4.25E-01	8.07E-01	5.06E-01	7.39E-01	8.60E-01	6.90E-01	1.07E+00	8.68E-01
SP116815	6.91E-01	5.41E-01	5.38E-01	2.19E-01	1.33E+00	6.56E-01	8.20E-01	6.90E-01	6.53E-01
SP116853	4.47E-01	7.31E-01	6.58E-01	7.79E-01	8.12E-01	1.41E+00	6.41E-01	6.31E-01	1.11E+00
SP116901	3.40E-01	2.65E-01	5.42E-01	5.31E-01	3.01E-01	7.19E-01	4.31E-01	2.37E-01	5.64E-01
SP116830	4.39E-01	7.23E-01	1.83E+00	2.00E+00	3.08E-01	1.45E+00	7.98E-01	8.94E-01	1.29E+00
SP116802	4.29E-02	9.36E-02	2.76E-01	2.98E-01	3.27E-01	1.90E-01	3.72E-01	4.17E-01	3.42E-01
SP116885	1.35E+00	1.42E+00	8.32E-01	7.21E-01	2.52E+00	2.27E+00	1.68E+00	7.72E-01	1.85E+00
SP116834	3.50E-01	3.87E-01	6.76E-01	3.64E-01	7.78E-01	5.76E-01	7.42E-01	9.66E-01	6.01E-01
SP116913	1.31E-01	1.54E-01	8.51E-01	7.24E-01	1.33E-01	3.57E-01	5.59E-01	4.84E-01	4.02E-01
SP116799	1.91E-01	1.99E-01	8.07E-01	9.07E-01	5.58E-01	7.58E-01	5.57E-01	3.29E-01	6.65E-01
SP116920	1.19E-01	1.21E-01	3.30E-01	3.84E-01	3.74E-01	2.59E-01	6.68E-01	2.66E-01	5.75E-01
SP116835	7.91E-01	8.14E-01	1.49E+00	8.56E-01	1.20E+00	1.38E+00	1.36E+00	1.73E+00	1.54E+00
