De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 83-ID83A, Signature ID1 (72.20%) & Signature ID2 (27.80%), 33.36,  5.99, 0.500, 1.00, 1.00
Signature 83-ID83B, Signature ID1 (21.50%) & Signature ID2 (78.50%), 9.70,  2.25, 0.430, 1.00, 1.00
Signature 83-ID83C, Signature ID5 (37.88%) & Signature ID8 (13.72%) & Signature ID9 (26.94%) & Signature ID21 (21.46%), 29.39,  23.28, 0.113, 0.97, 0.96
Signature 83-ID83D, Signature ID8 (23.18%) & Signature ID13 (10.42%) & Signature ID19 (66.40%), 48.12,  28.30, 0.316, 0.96, 0.95
