Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
SP53460	556	10	340	0	190	17	0	11	48	14	4
SP50827	805	49	485	115	197	79	59	1	42	94	0
SP50263	32	38	0	174	75	64	74	0	22	41	0
SP50317	46	127	19	60	129	38	13	0	32	63	3
SP54113	2377	59	654	40	409	115	0	15	136	4	64
SP50406	5	0	1	1	0	0	3	0	0	3	0
SP51824	376	23	127	101	61	92	85	0	35	8	2
SP55387	150	0	72	6	19	18	0	0	0	0	1
SP52779	697	22	406	73	173	120	50	4	0	37	26
SP55235	1672	48	924	61	184	222	0	0	86	37	0
SP50713	193	1	82	12	31	81	0	0	27	11	4
SP50611	967	9	560	56	174	26	0	4	26	71	0
SP50485	10	9	21	31	15	12	28	0	10	19	0
SP51037	17	21	0	103	14	38	15	0	5	17	1
SP55142	2438	202	853	330	1180	23	0	18	547	227	10
SP53387	519	19	290	16	171	111	75	2	8	53	39
SP54745	210	75	149	171	187	109	80	0	14	65	40
SP52284	32	25	18	172	29	59	33	1	22	41	3
SP53618	1073	0	761	52	209	148	0	4	39	34	8
SP52232	510	0	246	0	95	20	0	7	23	22	11
SP50412	13	4	15	22	10	19	18	0	4	14	0
SP50321	155	0	150	55	73	133	6	5	4	13	3
SP53548	0	13	0	78	38	49	26	1	9	30	15
SP55004	0	0	0	4	5	7	0	1	2	2	0
SP56079	891	1	369	20	86	50	0	0	20	45	21
SP56168	58	24	43	120	106	95	32	4	29	75	11
SP54363	566	41	358	223	153	100	0	4	25	20	21
SP53810	3011	0	1659	0	708	30	0	3	0	31	0
SP50518	15	10	0	132	55	80	46	7	24	33	0
SP56303	16	30	23	157	150	205	0	13	156	51	3
SP55711	5	7	34	131	88	74	33	1	18	35	0
SP55509	1073	3	663	77	265	41	0	3	21	31	0
SP55309	4	2	8	6	7	7	19	1	6	9	0
SP52607	9	0	11	22	28	11	15	0	6	13	9
SP52667	548	10	258	11	183	56	0	7	47	60	0
SP51446	57	0	8	142	66	84	0	5	5	36	6
SP50592	8	5	6	115	36	52	60	3	8	48	0
SP53073	399	24	104	49	84	124	47	0	14	29	15
SP56638	637	30	279	170	111	107	15	5	53	48	54
SP56537	741	121	175	203	278	118	18	0	19	25	35
SP57586	471	77	149	177	132	120	50	7	30	74	22
SP56541	738	21	275	6	138	120	0	6	90	46	38
SP56553	1277	156	390	277	457	57	68	11	59	56	16
SP56771	125	38	37	260	102	110	44	7	38	27	0
SP57941	1093	65	673	115	633	70	0	10	45	127	0
SP57818	822	41	531	65	244	205	0	10	96	18	17
SP56460	237	82	34	502	181	148	0	14	140	27	22
SP56474	29	149	46	226	140	47	6	2	60	45	19
SP56704	1307	71	306	92	10	95	280	0	9	0	10
SP56533	369	66	63	151	184	88	58	4	44	70	8
SP56730	724	101	162	229	216	148	0	8	27	25	56
SP59245	717	37	223	158	206	121	30	36	392	65	61
SP57024	346	25	102	151	113	54	50	2	30	48	18
SP57933	888	123	242	195	356	120	0	26	1399	49	17
SP56754	355	53	109	140	224	94	17	0	19	55	26
SP56827	656	27	255	22	137	44	0	1	15	6	0
SP57084	776	106	215	397	257	110	14	6	66	5	28
SP57538	663	129	45	104	194	188	212	0	33	38	25
SP57735	804	105	114	52	242	105	55	1	21	8	40
SP57669	932	78	242	118	290	139	0	4	73	40	28
SP56566	166	37	111	256	111	68	0	4	57	32	7
SP56569	530	74	143	112	190	68	0	0	35	19	46
SP58342	1093	97	441	396	173	122	14	1	53	23	133
SP58349	596	69	237	80	291	142	55	14	219	39	92
SP56644	891	110	234	355	213	137	38	6	105	41	17
SP57629	252	214	41	870	305	69	92	0	90	91	18
SP56941	26	1	7	112	10	28	14	0	6	12	4
SP57619	683	35	248	40	214	103	24	1	103	5	17
SP58245	877	148	241	65	304	90	227	0	31	0	7
SP57251	634	96	90	242	430	114	197	8	47	6	16
SP56502	849	121	174	187	289	88	0	13	46	68	36
SP58668	1068	99	404	183	198	43	150	5	63	36	45
SP58101	644	133	201	92	252	116	115	0	34	27	58
SP58991	403	117	167	348	135	89	85	6	42	71	5
SP56607	367	28	106	178	46	84	37	1	26	36	8
SP58326	1572	189	485	328	280	116	62	9	36	14	42
SP57267	997	113	323	210	217	89	0	24	100	25	135
SP57066	889	40	284	486	254	105	91	9	97	32	38
SP57901	386	42	92	382	240	87	19	5	57	29	18
SP57651	181	30	53	94	145	65	0	11	74	55	6
SP57450	138	72	32	264	109	57	0	4	61	59	46
SP57846	778	48	277	195	171	102	0	0	15	13	33
SP58612	596	73	134	219	102	119	43	3	104	48	42
SP56821	734	78	180	293	82	91	0	3	8	18	26
SP58882	202	94	47	225	134	185	62	0	28	8	42
SP57189	2540	330	814	367	299	139	86	11	23	10	88
CPCT02020306T	575	0	355	33	152	54	4	46	0	4	25
CPCT02110002T	753	25	694	142	183	93	6	68	52	17	56
CPCT02020308T	183	60410	106	7737	0	0	356	365	0	2542	217
CPCT02020305T	349	52	90	131	114	74	0	82	30	35	22
CPCT02010356T	276	78	107	157	66	93	54	65	36	19	19
CPCT02020337T	1288	72	338	166	246	0	0	70	54	8	48
CPCT02010373T	3357	255	1267	116	361	124	75	134	47	97	137
CPCT02020343T	23	6	1	103	38	87	130	57	35	31	7
CPCT02020353T	521	197	287	216	254	40	6	142	64	36	45
CPCT02020334T	834	84	492	98	123	101	78	101	26	47	48
CPCT02140018T	0	82	30	166	64	86	23	139	33	73	19
CPCT02140021T	33	43	7	64	48	67	56	25	16	68	1
CPCT02040039T	297	48	186	179	106	31	6	47	10	44	18
CPCT02010409T	277	89	323	185	33	127	140	116	53	79	42
CPCT02110010T	143	48	34	145	56	22	86	55	26	28	13
CPCT02070025T	18	1	0	30	4	41	37	47	0	17	0
CPCT02040045T	1639	110	1128	75	471	103	0	83	114	60	73
CPCT02040051T	527	243	486	111	214	68	0	50	37	69	59
CPCT02040054T	350	22	128	198	16	67	71	93	23	31	19
CPCT02140028T	782	77	276	211	187	112	3	151	85	103	49
CPCT02011006T	1972	70	1490	118	326	0	0	154	98	100	360
CPCT02040302T	6	309	28	252	32	14	39	30	7	34	37
CPCT02011015T	4033	838	2096	335	815	23	1114	155	68	250	163
DRUP01040009T	461	14	222	649	119	72	117	124	29	34	313
CPCT02011018T	873	86	561	50	180	94	207	53	24	44	64
CPCT02270045T	150	39	120	182	37	101	127	26	19	46	24
CPCT02120088T	15	18	3	54	1	66	23	205	21	30	2
CPCT02011022T	5	29	11	79	49	33	72	50	46	80	8
CPCT02010722T	644	73	159	147	156	169	0	120	285	64	57
CPCT02011021T	10	174	62	468	61	50	57	68	93	135	40
CPCT02011019T	397	57	75	111	219	34	98	92	172	23	39
CPCT02011008T	93	86	82	75	48	0	58	12	35	51	22
CPCT02011017T	864	236	416	294	110	127	0	54	32	10	38
DRUP01010116T	1312	334	680	154	465	397	0	87	128	102	337
CPCT02011029T	78	241	16	237	67	80	84	25	24	31	64
CPCT02020887T	12	4	22	18	15	74	52	37	27	37	19
CPCT02040214T	648	178	342	167	155	28	0	142	31	43	24
CPCT02190052T	778	80	683	152	276	181	0	307	29	45	44
CPCT02010699T	1230	65	319	79	299	84	0	154	40	17	59
CPCT02040213T	627	112	172	171	74	123	19	120	36	39	40
CPCT02070276T	923	36	245	0	234	142	0	196	201	0	38
CPCT02040208T	11	45	1	77	37	31	0	162	13	10	0
DRUP01040010T	2057	71	1079	146	216	1	102	86	35	21	78
CPCT02040315T	812	12	479	53	110	102	62	38	4	33	49
CPCT02040313T	246	125	0	43	150	74	190	45	3	31	16
CPCT02040312T	83	15	9	155	69	30	104	27	36	30	15
CPCT02010727T	875	153	369	1612	310	33	0	208	92	50	75
CPCT02010728T	102	34	14	47	137	426	0	137	77	66	24
CPCT02011031T	228	91	89	125	85	98	9	82	420	33	48
CPCT02011035T	280	21	245	149	99	118	0	49	53	29	52
CPCT02011038T	2	0	2	3	26	0	10	16	3	13	7
CPCT02010927T	292	79	89	284	165	118	141	41	124	54	19
CPCT02070447T	3	18	52	785	60	29	42	51	36	43	38
DRUP01020043T	0	8	24	28	48	58	12	26	31	31	4
DRUP01270007T	11	63	34	292	21	125	57	27	5	60	22
CPCT02011040T	10	0	3	52	35	26	89	36	2	24	19
CPCT02011032T	33	66	33	26	49	36	90	50	32	68	7
CPCT02010738T	778	362	442	418	96	141	58	149	20	74	58
CPCT02011044T	204	61	128	209	69	52	0	23	28	50	36
CPCT02011036T	234	155	84	512	158	257	190	47	111	140	23
CPCT02020906T	72	103	27	664	169	0	30	153	2320	97	97
CPCT02011046T	323	15	58	89	128	57	116	31	43	45	20
CPCT02011047T	57	134	32	115	68	60	0	48	78	36	39
CPCT02011050T	100	37061	11	3720	0	72	0	32	0	2021	10
CPCT02390011T	93	12	41	49	70	455	0	114	119	0	7
CPCT02080188T	2919	262	1395	389	284	256	375	175	58	40	38
CPCT02020912T	114	78	167	138	24	107	0	28	20	37	38
CPCT02120100T	15	19	8	41	41	63	62	97	9	59	12
CPCT02011053T	342	94	205	292	117	116	47	42	43	62	45
CPCT02011055T	948	148	617	100	287	90	200	54	49	39	191
DRUP01010119T	34	17	21	119	22	120	84	39	66	81	46
DRUP01010116TII	1331	486	714	196	490	440	0	104	172	119	411
CPCT02040317T	1492	107	260	122	161	93	56	68	69	0	48
CPCT02040320T	1040	82	275	373	155	52	195	72	111	25	80
CPCT02010955T	3	1107	24	359	240	91	12	59	89	74	71
CPCT02011057T	151	125	67	516	35	38	134	71	65	90	29
CPCT02011059T	48	3	2	42	9	54	116	30	27	38	12
