Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
SP111062	402	387	5	24	195	54
SP111006	287	742	1156	47	179	138
SP110846	215	141	5	8	234	72
SP111086	273	128	1455	68	81	138
SP111096	463	313	95	0	131	75
SP111021	0	0	0	0	2	0
SP111058	195	198	1716	52	33	142
SP111092	938	164	117	54	309	925
SP111076	960	614	106	38	109	71
SP111098	341	419	207	46	197	65
SP111039	7	66	4	12	155	9
SP111052	1	16	36	6	37	24
SP111166	569	957	403	30	212	107
SP111014	64	50	31	0	111	14
SP111066	674	512	805	12	332	35
SP111094	388	254	524	40	401	110
SP111015	164	89	128	0	172	50
SP110853	288	233	314	19	377	166
SP111051	241	268	17	20	178	117
SP110855	462	227	445	19	240	145
SP111004	428	775	57	1	253	72
SP111078	156	103	27	0	124	8
SP110863	137	256	202	0	259	76
SP111013	271	265	101	3	153	51
SP111042	11	18	10	0	47	3
SP111040	6	216	125	3	146	88
SP111031	1817	786	323	42	237	54
SP23496	249	322	174	13	199	64
SP111030	59	163	55	5	203	57
SP111019	32	69	98	0	233	39
SP111026	405	377	413	37	252	68
SP110860	832	384	296	22	286	95
SP110851	373	696	141	6	273	109
SP111059	441	436	90	20	252	176
SP111170	801	754	231	54	293	169
SP111054	444	535	141	0	344	100
SP111033	888	617	108	0	132	124
SP111113	1286	360	664	23	508	166
SP110865	393	552	563	13	605	926
SP111061	392	332	200	2	192	39
SP111101	939	765	161	0	241	57
SP110859	290	643	130	31	238	27
SP111168	79	148	40	25	194	38
SP111067	135	311	44	17	170	60
SP111036	602	434	40	18	137	38
SP111116	922	824	193	48	169	42
SP111099	409	369	424	33	183	56
SP23502	568	182	945	0	457	122
SP111069	131	691	894	20	47	85
SP111043	725	790	484	27	235	331
SP111024	764	334	218	42	180	131
SP111011	381	192	407	9	367	66
SP111082	488	498	612	56	134	39
SP111074	273	256	146	0	254	136
SP110845	250	362	290	15	163	87
SP110857	365	491	68	0	159	46
SP111017	618	525	203	31	147	86
SP111080	65	101	26	1	117	34
SP23506	42	262	19	0	202	92
SP111075	212	451	389	45	143	51
SP111112	384	422	184	28	183	63
SP111001	807	612	617	55	345	203
SP111027	33	88	2	3	129	24
SP111117	510	973	166	6	155	160
SP110842	745	634	387	41	207	91
SP111173	919	300	468	0	481	32
SP111008	477	635	79	31	239	56
SP111070	726	690	57	46	201	100
SP110847	1099	339	101	11	151	25
SP111077	698	338	384	12	461	157
SP111091	0	72	296	0	264	7
SP111072	391	377	38	28	130	60
SP111084	14	227	507	6	259	116
SP23504	51	218	19	12	147	53
SP23500	0	94	198	4	70	23
SP111029	35	92	13	11	127	19
SP111175	1379	310	2439	54	155	230
SP111049	543	788	108	26	198	78
SP23498	674	597	113	15	271	108
SP111002	85	106	56	2	97	46
SP110866	372	437	196	0	205	18
SP111035	875	1103	424	32	65	77
