Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P
SP127630	1.64E+01	1.27E+01	1.04E+01	1.84E+01	1.93E+00	1.13E+00	1.60E+00	3.91E+00	5.02E-01	2.33E+00	1.67E+01	2.31E+00	1.02E+00	1.82E+00	3.05E+00	8.66E+00
SP127634	1.11E+01	8.20E+00	9.38E+00	1.28E+01	5.15E+00	3.74E+00	4.37E+00	8.26E+00	4.52E-01	3.81E+00	9.33E+00	5.22E+00	3.56E+00	2.68E+00	5.72E+00	1.12E+01
SP127636	1.69E+01	9.79E+00	1.26E+01	1.63E+01	2.60E+00	1.24E+00	2.45E+00	3.32E+00	4.81E-01	1.50E+00	1.20E+01	2.29E+00	1.64E+00	1.48E+00	2.42E+00	1.07E+01
SP127628	9.56E+00	6.21E+00	7.05E+00	9.00E+00	1.74E+00	2.35E-01	1.24E+00	1.88E+00	2.31E-01	1.66E+00	7.75E+00	1.44E+00	7.09E-01	8.77E-01	1.64E+00	5.69E+00
SP127640	1.32E+01	1.36E+01	1.07E+01	1.65E+01	2.98E+00	1.13E+00	2.42E+00	3.23E+00	3.43E-01	1.78E+00	1.60E+01	2.25E+00	1.06E+00	1.48E+00	2.46E+00	7.46E+00
SP127638	3.15E+01	9.54E+00	2.53E+01	2.10E+01	2.36E+00	1.30E+00	2.45E+00	3.15E+00	3.62E-01	2.47E+00	1.29E+01	2.59E+00	8.49E-01	2.64E+00	2.77E+00	1.51E+01
SP127632	1.61E+01	2.51E+01	1.09E+01	2.90E+01	3.28E+00	2.07E+00	3.43E+00	4.43E+00	4.83E-01	6.42E+00	3.04E+01	4.14E+00	1.38E+00	4.00E+00	5.04E+00	1.27E+01
SP59388	5.86E+00	3.44E+00	5.07E+00	5.56E+00	5.28E-01	3.27E-01	5.65E-01	1.54E+00	1.13E-01	1.76E+00	4.10E+00	6.51E-01	7.10E-01	8.61E-01	8.33E-01	4.04E+00
SP116649	1.35E+01	1.02E+01	1.21E+01	1.22E+01	3.15E+00	8.70E-01	2.98E+00	3.66E+00	0.00E+00	2.09E+00	1.18E+01	1.63E+00	1.50E+00	1.60E+00	2.17E+00	7.42E+00
SP59416	6.69E+00	5.90E+00	5.16E+00	8.61E+00	1.63E+00	7.61E-01	1.61E+00	2.08E+00	1.85E-01	1.05E+00	6.77E+00	1.47E+00	1.20E+00	8.08E-01	1.20E+00	3.88E+00
