De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 83-ID83A, Signature ID3 (100.00%), 26.12,  21.50, 0.080, 0.98, 0.97
Signature 83-ID83B, Signature ID1 (10.96%) & Signature ID2 (89.04%), 15.22,  4.30, 0.717, 1.00, 1.00
Signature 83-ID83C, Signature ID3 (37.80%) & Signature ID9 (26.46%) & Signature ID11 (35.74%), 57.18,  45.49, 0.334, 0.89, 0.87
Signature 83-ID83D, Signature ID1 (100.00%), 20.89,  4.07, 1.217, 1.00, 1.00
Signature 83-ID83E, Signature ID5 (26.72%) & Signature ID9 (73.28%), 32.00,  17.32, 0.197, 0.98, 0.98
Signature 83-ID83F, Signature ID5 (49.50%) & Signature ID8 (50.50%), 49.78,  31.11, 0.285, 0.95, 0.94
Signature 83-ID83G, Signature ID8 (22.84%) & Signature ID19 (77.16%), 65.48,  34.58, 0.335, 0.94, 0.94
Signature 83-ID83H, Signature ID2 (8.14%) & Signature ID6 (70.02%) & Signature ID8 (21.84%), 13.96,  8.30, 0.046, 1.00, 1.00
Signature 83-ID83I, Signature ID4 (72.90%) & Signature ID21 (27.10%), 28.61,  21.79, 0.145, 0.98, 0.97
Signature 83-ID83J, Signature 83-ID83J, 0, 0, 0, 1, 1
