Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SP1086	455	0.987	113.916	25.036%	18.046	16.462%	0.0897	0.983
SP1003	648	0.994	128.987	19.905%	19.838	11.189%	0.06533	0.993
SP1677	632	0.993	108.401	17.152%	17.604	11.899%	0.04747	0.991
SP1305	1826	0.995	272.375	14.916%	47.647	10.686%	0.0291	0.994
SP963	530	0.989	115.216	21.739%	20.751	15.722%	0.07091	0.987
SP1144	389	0.97	109.019	28.025%	21.538	24.357%	0.09759	0.961
SP1132	840	0.96	307.753	36.637%	68.626	29.646%	0.11815	0.954
SP1712	308	0.995	91.657	29.759%	16.146	11.122%	0.13196	0.995
SP1114	578	0.986	122.124	21.129%	28.18	16.965%	0.07547	0.984
SP1431	396	0.997	80.053	20.215%	13.761	7.539%	0.09057	0.997
SP975	1359	0.991	252.764	18.599%	52.714	13.953%	0.04593	0.99
SP1059	1103	0.99	234.984	21.304%	40.316	15.711%	0.07143	0.988
SP1419	779	0.996	138.852	17.824%	21.45	9.238%	0.06516	0.995
SP1009	509	0.991	114.495	22.494%	18.599	13.31%	0.08015	0.99
SP1724	293	0.99	72.376	24.702%	11.799	14.871%	0.092	0.988
SP96136	1152	0.992	196.698	17.074%	32.964	12.881%	0.04818	0.99
SP967	293	0.997	67.333	22.981%	10.508	7.916%	0.14119	0.997
SP1781	816	0.997	154.58	18.944%	29.173	8.314%	0.05771	0.997
SP1174	1018	0.999	116.71	11.465%	18.945	4.046%	0.03813	0.999
SP953	892	0.995	147.992	16.591%	23.185	9.648%	0.0479	0.995
SP1377	381	0.997	78.583	20.625%	11.905	7.872%	0.09018	0.997
SP1365	758	0.996	116.346	15.349%	19.314	8.831%	0.04202	0.995
SP1491	656	0.991	135.695	20.685%	22.723	13.348%	0.06868	0.989
CPCT02060013T	1670	0.996	197.404	11.821%	33.024	8.833%	0.02714	0.995
CPCT02100026T	573	0.994	109.684	19.142%	18.418	10.776%	0.07174	0.993
CPCT02070020T	1364	0.997	209.702	15.374%	32.273	8.154%	0.03378	0.997
CPCT02030269T	432	0.993	97.827	22.645%	15.327	11.953%	0.09098	0.992
CPCT02010944TIII	719	0.992	121.354	16.878%	21.714	12.347%	0.05166	0.99
CPCT02020867T	1231	0.991	214.293	17.408%	37.663	13.804%	0.03414	0.989
CPCT02070272T	2676	0.998	271.509	10.146%	43.735	5.774%	0.01753	0.998
CPCT02020648T	864	0.991	140.581	16.271%	25.731	13.186%	0.04043	0.989
CPCT02020362T	1257	0.997	181.083	14.406%	34.209	7.801%	0.04217	0.997
CPCT02440020T	1341	0.999	168.185	12.542%	29.208	4.855%	0.02687	0.999
CPCT02210077T	1176	0.998	134.342	11.424%	23.412	6.272%	0.03657	0.998
CPCT02070445T	874	0.997	153.716	17.588%	27.203	8.479%	0.05232	0.997
CPCT02020894T	721	0.996	125.666	17.429%	19.157	9.043%	0.05039	0.996
CPCT02020896T	527	0.995	118.255	22.439%	18.13	10.527%	0.08483	0.994
CPCT02140101T	1993	0.996	311.421	15.626%	48.592	9.027%	0.03152	0.996
CPCT02210040T	1111	0.999	114.021	10.263%	16.42	3.721%	0.03045	0.999
DRUP01010020T	74163	1.0	4770.604	6.433%	1219.668	2.559%	0.01237	1.0
CPCT02020902T	1383	0.996	173.946	12.577%	27.44	8.635%	0.02876	0.995
CPCT02070443T	863	0.997	148.567	17.215%	24.715	8.672%	0.04969	0.997
CPCT02080295T	1647	0.998	229.71	13.947%	39.875	6.131%	0.03737	0.998
CPCT02020916T	967	0.992	165.071	17.07%	25.306	12.797%	0.04114	0.989
CPCT02020915T	560	0.998	95.376	17.031%	14.483	7.187%	0.05687	0.997
CPCT02160036T	566	0.997	94.503	16.697%	14.321	7.843%	0.06385	0.997
CPCT02120184T	1140	0.994	171.341	15.03%	29.296	11.37%	0.04336	0.992
CPCT02050315T	471	0.989	117.588	24.966%	18.72	15.399%	0.08852	0.987
CPCT02120182T	630	0.994	106.959	16.978%	19.357	10.678%	0.05506	0.993
CPCT02020940T	495	0.983	116.976	23.632%	18.515	18.75%	0.07667	0.975
CPCT02010712T	2093	1.0	178.796	8.543%	27.302	3.057%	0.0215	1.0
CPCT02070294T	601	0.99	129.324	21.518%	20.834	14.041%	0.08017	0.988
CPCT02070299T	1697	0.999	141.408	8.333%	21.922	4.087%	0.01859	0.999
CPCT02050437T	1594	0.999	179.113	11.237%	33.537	5.267%	0.02976	0.998
CPCT02050436T	1762	0.995	229.483	13.024%	42.117	10.596%	0.02165	0.994
CPCT02020952T	1090	0.997	177.335	16.269%	28.83	7.646%	0.0479	0.997
CPCT02020642TII	3587	0.997	373.365	10.409%	68.713	8.204%	0.01442	0.997
CPCT02020958T	871	0.988	179.366	20.593%	30.326	16.216%	0.0482	0.984
CPCT02020684T	299	0.992	65.617	21.945%	9.882	12.687%	0.09759	0.99
WIDE01010111T	1319	0.993	249.351	18.905%	41.641	12.89%	0.0408	0.991
CPCT02020958TII	892	0.987	190.563	21.364%	31.724	16.383%	0.05485	0.984
CPCT02020972T	1963	0.998	277.65	14.144%	54.398	7.384%	0.02663	0.998
CPCT02020971T	483	0.995	80.5	16.667%	13.015	9.508%	0.06382	0.995
CPCT02330103T	1070	0.997	170.576	15.942%	27.245	8.493%	0.04563	0.996
WIDE01010148T	1745	0.999	173.848	9.963%	24.3	4.091%	0.03004	0.999
CPCT02070480T	513	0.995	96.762	18.862%	14.612	10.461%	0.07337	0.993
CPCT02360014T	2812	0.998	206.595	7.347%	42.461	5.845%	0.0111	0.998
CPCT02140107T	1778	0.996	237.911	13.381%	38.958	9.134%	0.02646	0.995
CPCT02070485T	1465	0.997	227.726	15.544%	36.173	8.299%	0.03609	0.996
WIDE01010202T	1078	0.999	131.522	12.201%	20.049	5.412%	0.03339	0.998
CPCT02020583TII	1931	0.999	182.482	9.45%	28.301	3.757%	0.0208	0.999
CPCT02020703T	1132	0.996	157.384	13.903%	23.645	9.107%	0.03534	0.995
CPCT02020973T	998	0.997	143.423	14.371%	23.219	8.204%	0.03884	0.997
CPCT02020940TII	693	0.994	133.011	19.194%	20.179	11.41%	0.05204	0.992
WIDE01010230T	471	0.997	89.954	19.099%	13.847	7.194%	0.08581	0.997
CPCT02320002T	784	0.992	156.641	19.98%	23.508	13.092%	0.06605	0.99
CPCT02050351T	514	0.993	103.432	20.123%	16.213	11.833%	0.06099	0.992
CPCT02020979T	640	0.998	92.911	14.517%	16.149	7.109%	0.04797	0.997
CPCT02080315T	1395	0.997	164.668	11.804%	25.667	8.059%	0.02479	0.996
CPCT02120203T	1296	0.993	206.37	15.924%	35.353	12.096%	0.03567	0.991
DRUP01050023T	793	0.998	117.68	14.84%	17.364	6.905%	0.04737	0.998
CPCT02020983T	584	0.998	94.095	16.112%	15.252	6.685%	0.06191	0.998
CPCT02140034T	672	0.986	132.129	19.662%	23.226	16.681%	0.06912	0.98
WIDE01010280T	740	0.998	124.355	16.805%	19.996	7.115%	0.05045	0.998
CPCT02020984T	658	0.991	133.898	20.349%	20.333	13.658%	0.05648	0.988
CPCT02070154TII	2743	0.999	239.707	8.739%	46.616	5.295%	0.01435	0.999
CPCT02020986T	66350	1.0	4757.239	7.17%	1304.056	2.777%	0.01638	1.0
CPCT02020988T	1009	0.998	131.024	12.986%	19.391	6.219%	0.04086	0.998
CPCT02050445T	603	0.998	104.341	17.304%	15.687	6.821%	0.06621	0.997
CPCT02070331T	862	0.999	113.226	13.135%	17.835	4.592%	0.04646	0.999
