De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 83-ID83A, Signature ID1 (52.46%) & Signature ID2 (26.64%) & Signature ID19 (20.90%), 50.62,  14.59, 0.504, 0.99, 0.99
Signature 83-ID83B, Signature ID1 (6.42%) & Signature ID9 (38.76%) & Signature ID11 (13.90%) & Signature ID23 (40.92%), 50.16,  31.05, 0.335, 0.95, 0.94
