Samples	ID83A	ID83B	ID83C	ID83D
SP109953	49	345	0	0
SP107650	51	298	2	0
SP13206	170	126	28	34
SP13078	81	273	46	20
SP107607	49	187	52	27
SP109941	46	136	4	24
SP109801	168	189	23	15
SP13072	19	172	46	74
SP107595	133	418	0	161
SP107640	48	228	25	0
SP13084	56	348	1	12
SP107603	32	184	39	23
SP109957	52	295	91	108
SP114020	137	425	24	66
SP96540	54	156	18	0
SP114032	26	271	12	0
SP107624	19	97	14	35
SP107575	95	129	28	62
SP13242	51	178	18	23
SP114016	21	269	22	0
CPCT02070011T	106	1034	36	1308
CPCT02020317T	14	76	66	151
CPCT02010352T	1	19	20	68
CPCT02010362T	13	20	40	69
CPCT02010366T	1	2	7	41
CPCT02010383T	5	1	23	118
CPCT02050049T	12	50	59	101
CPCT02020350T	6	77	56	143
CPCT02060023T	49	474	79	305
CPCT02080030T	88	234	2085	466
CPCT02060010T	257	163	307	308
CPCT02040037T	222	1641	12	291
CPCT02070018T	44	243	76	374
CPCT02080041T	18	63	235	595
CPCT02070029T	500	61	107	287
CPCT02060033T	122	210	94	324
CPCT02020399T	878	744	285	166
CPCT02140024T	4737	1329	11	23
CPCT02080050T	29	48	83	222
CPCT02030293T	49	161	68	141
CPCT02010441T	76919	0	0	0
CPCT02090030T	333	425	6	157
CPCT02010718T	72	534	0	111
CPCT02020653T	21	150	45	283
CPCT02340008TII	30	150	3	210
CPCT02020876T	23	50	68	118
CPCT02370016T	47	153	127	258
CPCT02070275T	36	505	0	109
CPCT02011028T	397	256	126	295
CPCT02230072T	28287	8115	2283	581
CPCT02130028T	146	364	0	153
CPCT02060182T	14	20	37	105
CPCT02020657T	0	73	25	188
DRUP01090026T	16	101	70	127
CPCT02130029T	2	6	32	110
CPCT02340010TII	325	194	0	2257
DRUP01020022T	11	56	61	137
CPCT02120103T	29	457	0	136
CPCT02300030T	66	437	13	125
CPCT02150044T	17	125	50	84
CPCT02020920T	13	38	89	205
CPCT02080192T	13	289	24	206
CPCT02130170T	145	124	140	1138
CPCT02260014T	1042	1222	14	51
CPCT02020922T	2	65	58	118
CPCT02011072T	14	65	28	66
CPCT02010758T	2	54	55	331
WIDE01010006T	0	34	18	81
CPCT02040220T	13	211	6	220
CPCT02100157T	251	668	0	159
CPCT02230088T	360	0	7814	481
CPCT02130178T	16	60	78	171
WIDE01010017T	78	243	94	158
WIDE01010025T	14	55	56	92
WIDE01010028T	263	314	231	549
WIDE01010012T	79	227	35	771
WIDE01010031T	671	1442	117	13
CPCT02020956T	5	45	31	71
CPCT02010774T	5	71	55	148
CPCT02010756T	13	8	42	194
WIDE01010045T	17	97	45	247
CPCT02080204T	9	27	52	148
WIDE01010037T	714	1611	0	0
WIDE01010056T	209	732	0	76
CPCT02070298T	229	554	19	0
WIDE01010594T	15	162	50	116
WIDE01010078T	13	36	201	505
CPCT02130054T	43	231	54	209
CPCT02040228T	18	159	15	165
WIDE01010051T	21	121	104	192
CPCT02050319T	11	1	32	245
CPCT02020689T	5	156	15	325
WIDE01010043T	34	103	65	137
WIDE01010112T	276	405	105	340
WIDE01010092T	22	157	27	72
WIDE01010119T	133	305	66	134
CPCT02170022T	6	104	18	205
WIDE01010120T	4	59	44	99
WIDE01010127T	431	444	4731	90
CPCT02300036T	80	719	95	114
WIDE01010146T	13	42	84	159
CPCT02070309T	16	63	63	212
WIDE01010157T	157	259	2151	209
WIDE01010170T	84	158	41	68
CPCT02020696T	8	51	51	218
CPCT02030471T	5	76	0	381
CPCT02130032T	8	24	47	288
CPCT02070310T	642	1323	7	196
WIDE01010164T	91	270	198	237
WIDE01010190T	15	79	94	60
WIDE01010182T	382	597	201	395
DRUP01050040TII	716	842	268	13
WIDE01010225T	130	264	103	103
CPCT02050348T	47	76	160	145
WIDE01010275T	39	199	115	385
CPCT02010810T	19	115	32	113
CPCT02060206T	148	121	3985	334
WIDE01010284T	17	128	40	36
WIDE01010330T	13	109	48	60
WIDE01010312T	210	59	3912	207
WIDE01010317T	288	490	146	825
WIDE01010337T	60	580	405	121
CPCT02220043T	568	1053	424	314
CPCT02130094T	77	734	62	436
WIDE01010329T	357	548	2082	305
WIDE01010331T	16	118	20	101
CPCT02010828T	94	330	944	146
WIDE01010101T	139	590	2134	69
WIDE01010349T	5	62	96	116
WIDE01010342T	17	315	35	62
WIDE01010359T	8	41	42	90
WIDE01010370T	16	0	83	168
WIDE01010369T	8	493	0	17
CPCT02340084T	131	346	401	139
DRUP01030015T	77	528	332	96
CPCT02060236T	10	95	30	185
CPCT02120125T	90	142	1915	97
CPCT02230098T	2450	0	24	208
DRUP01090015T	2	2	31	166
WIDE01010401T	56	114	120	237
CPCT02230105T	11	15	54	152
CPCT02080223T	44	134	66	745
CPCT02020730T	23	89	217	466
CPCT02010831T	318	196	1574	348
WIDE01010428T	29	115	35	76
CPCT02290039T	1351	1323	31	147
CPCT02010843T	36	37	21	241
CPCT02130103T	51	475	45	330
CPCT02070337T	69	90	99	576
WIDE01010440T	6	94	59	131
WIDE01010404T	209	401	77	99
CPCT02080229T	43	120	306	211
CPCT02050363T	78	387	77	189
CPCT02040250T	35	191	11	162
