Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,1.0,1.0,NO,N/A,116300.0%,38.36%,86.47%,33.18%,94.52,0.1613,0.6546,0.068,0.478,0.921,0.416
3,1.0,1.0,NO,N/A,66000.0%,30.78%,80.86%,22.1%,81.79,0.122,0.5541,0.036,0.384,0.958,0.525
4,1.0,0.99,NO,N/A,42000.0%,24.8%,71.33%,15.68%,72.48,0.094,0.4589,0.024,0.311,0.971,0.611
5,0.89,0.49,YES,4.28e-04,39300.0%,22.45%,73.55%,13.38%,73.9,0.0825,0.4936,0.017,0.326,0.979,0.59
6,0.83,0.29,NO,N/A,39500.0%,21.16%,69.56%,12.63%,61.06,0.0742,0.3366,0.014,0.196,0.983,0.769
7*,0.88,0.54,YES,Most Stab Sigs,39200.0%,19.39%,57.71%,11.64%,58.67,0.0674,0.3169,0.012,0.19,0.985,0.743
8,0.8,-0.02,NO,N/A,40800.0%,19.21%,46.55%,11.24%,40.39,0.0641,0.1719,0.009,0.077,0.989,0.91
9,0.8,-0.04,NO,N/A,43300.0%,18.41%,38.97%,10.59%,31.21,0.0598,0.1682,0.007,0.046,0.991,0.939
10,0.78,-0.49,NO,N/A,29000.0%,17.53%,37.05%,9.77%,32.0,0.0564,0.1716,0.007,0.051,0.992,0.932
11,0.71,-0.58,NO,N/A,28000.0%,17.06%,37.01%,9.4%,30.41,0.0539,0.1623,0.006,0.039,0.992,0.955
12,0.68,-0.42,NO,N/A,19400.0%,16.27%,37.46%,9.15%,30.76,0.051,0.157,0.006,0.04,0.993,0.955
13,0.63,-0.54,NO,N/A,25300.0%,15.76%,36.64%,8.43%,29.65,0.0487,0.1412,0.005,0.04,0.994,0.954
14,0.67,-0.16,NO,N/A,19800.0%,15.17%,30.6%,8.07%,26.0,0.0464,0.1406,0.004,0.03,0.995,0.961
15,0.64,-0.42,NO,N/A,14500.0%,14.27%,27.44%,7.78%,24.38,0.0446,0.1343,0.004,0.029,0.995,0.962
16,0.6,-0.28,NO,N/A,11800.0%,13.81%,27.22%,7.49%,23.8,0.0424,0.132,0.004,0.029,0.995,0.963
17,0.54,-0.49,NO,N/A,11900.0%,13.77%,27.14%,7.51%,23.8,0.0424,0.1323,0.004,0.029,0.995,0.963
18,0.5,-0.45,NO,N/A,11700.0%,13.55%,27.32%,7.3%,23.91,0.0416,0.1315,0.004,0.028,0.996,0.964
19,0.46,-0.46,NO,N/A,15500.0%,13.32%,27.97%,7.21%,23.54,0.0413,0.1316,0.004,0.027,0.996,0.965
20,0.4,-0.52,NO,N/A,22600.0%,13.11%,27.14%,7.27%,24.74,0.0412,0.1299,0.004,0.028,0.996,0.965
