Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
SP29914	366	216	303	239	101	9	29	88	10	82	0	0	6	0	28
SP31046	12	13	0	86	17	12	0	0	0	0	0	11	12	14	9
SP31334	13	0	23	109	26	107	103	31	8	23	0	72	15	0	0
SP30011	14	165	4	28	279	115	36	16	0	26	0	0	23	0	0
SP31174	72	39	34	150	16	59	28	48	1	9	0	0	14	15	7
SP32662	107	110	6	158	64	65	17	56	3	68	0	10	18	27	30
SP31126	87	0	68	150	570	96	57	85	9	154	230	0	46	0	0
SP32958	22	119	9	292	1	6	21	12	3	37	0	0	17	7	10
SP31422	110	108	24	48	136	63	117	80	6	39	0	17	8	26	17
SP33496	249	275	75	180	0	34	141	33	8	178	0	0	3	11	11
SP34005	9	50	12	75	37	5	6	6	0	36	0	0	7	10	6
SP30113	21	85	3047	81	99	3	127	61	0	39	0	0	19	0	0
SP31030	271	218	19	223	0	19	0	21	4	52	14	13	19	104	5
SP33544	42	58	70	225	124	192	172	157	6	83	0	0	1	13	53
SP33688	4	36	11	67	37	1030	9	4	8	48	30	0	13	0	48
SP30907	42	66	161	17	75	97	188	28	0	6	0	24	15	0	18
SP30185	0	8	3	15	0	14	3	0	0	17	26	0	16	1	0
SP33837	8	27	24	64	17	8	0	19	0	30	7	0	6	26	1
SP31790	97	36	0	110	40	43	4	24	5	49	0	0	20	31	17
SP30143	20	46	4	109	44	8	18	12	0	27	0	0	22	7	7
SP30071	106	71	111	133	15	14	180	66	0	48	0	12	26	29	1
SP30493	2	14	0	43	22	0	11	12	1	38	0	2	14	26	1
SP32014	138	0	14	145	21	51	0	10	1	2	0	0	7	29	10
SP30332	118	66	1782	17	16	17	61	60	8	19	118	23	70	0	0
SP31814	38	13	23	141	2	83	9	6	6	21	12	2	17	0	12
SP29987	105	0	10	310	113	10	287	67	11	41	0	132	4	37	1
SP30083	52	8	0	99	27	18	19	14	1	3	53	4	5	21	13
SP32742	17	20	29	267	0	23	21	27	4	54	0	0	15	45	21
SP115162	0	44	8	10	12	22	0	34	1	8	34	0	9	15	7
SP29940	58	55	6	94	0	6	0	15	2	21	48	19	9	50	0
SP30843	7	28	0	60	32	0	17	1	2	0	0	0	6	17	0
SP32222	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0
SP31190	58	75	24	181	60	26	151	86	1	16	0	14	7	0	4
SP30077	129	95	55	124	14	145	213	106	9	128	0	0	33	38	0
SP32694	99	53	18	202	36	30	146	81	3	45	3	59	17	16	10
SP33774	3	0	31	150	8	47	9	15	0	13	0	9	10	2	0
SP30093	146	23	22	124	5	24	16	14	6	0	0	0	3	54	4
SP33094	97	41	0	186	54	21	98	32	5	48	0	0	43	0	21
SP30803	0	107	29	10	122	50	77	37	7	197	0	0	0	8	0
SP30675	17	0	2054	0	0	0	98	6	14	44	215	3	16	0	47
SP31854	84	167	163	218	67	210	269	125	5	92	0	0	24	32	15
