MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
1:Del:C:0	7.95E-05	7.47E-04	4.86E-03	8.07E-03	1.39E-03	4.62E-03	6.01E-03	7.18E-03	3.19E-03	4.29E-03	2.03E-03	1.33E-03	5.03E-03	4.34E-03	4.08E-03	3.46E-03	5.22E-03	1.42E-03
1:Del:C:1	7.64E-05	6.53E-04	4.83E-03	6.85E-03	6.76E-04	5.40E-03	4.88E-03	5.99E-03	2.11E-03	5.10E-03	3.50E-03	1.01E-03	4.75E-03	4.63E-03	4.12E-03	2.43E-03	3.46E-03	7.24E-04
1:Del:C:2	1.13E-04	1.40E-04	3.35E-03	5.51E-03	6.07E-04	3.91E-03	3.73E-03	4.36E-03	1.69E-03	2.92E-03	1.82E-03	1.64E-04	3.29E-03	3.62E-03	2.89E-03	5.58E-04	2.51E-03	6.82E-04
1:Del:C:3	2.85E-04	1.69E-04	2.00E-03	2.91E-03	6.11E-04	2.38E-03	2.35E-03	1.90E-03	8.58E-04	1.92E-03	1.17E-03	1.49E-04	2.24E-03	3.23E-03	9.81E-04	1.31E-03	1.95E-03	4.81E-04
1:Del:C:4	3.96E-04	4.94E-05	2.43E-03	2.11E-03	3.43E-04	2.96E-03	2.00E-03	1.17E-03	1.19E-03	1.45E-03	9.05E-04	2.12E-04	1.37E-03	3.76E-03	1.85E-03	3.21E-04	9.83E-04	6.79E-04
1:Del:C:5	1.60E-03	9.92E-06	1.53E-03	1.19E-03	3.05E-05	4.95E-04	1.33E-03	6.19E-04	5.41E-04	2.31E-03	1.71E-04	5.67E-05	1.54E-04	1.12E-02	7.11E-04	5.76E-04	7.19E-04	4.23E-04
1:Del:T:0	4.64E-05	5.68E-04	3.14E-03	4.44E-03	2.13E-03	6.57E-03	5.18E-03	3.86E-03	2.50E-03	5.23E-03	3.63E-03	9.20E-04	6.67E-03	4.84E-03	4.80E-03	1.19E-03	2.64E-03	8.76E-04
1:Del:T:1	8.42E-05	3.49E-04	2.06E-03	4.41E-03	1.90E-03	4.68E-03	4.99E-03	3.79E-03	1.91E-03	3.04E-03	2.62E-03	1.38E-04	5.71E-03	3.32E-03	2.91E-03	1.26E-03	2.96E-03	5.76E-04
1:Del:T:2	2.05E-04	7.11E-05	1.84E-03	5.58E-03	1.94E-03	5.52E-03	6.97E-03	4.86E-03	1.75E-03	2.98E-03	1.46E-03	6.24E-04	4.66E-03	4.30E-03	4.62E-03	1.83E-03	1.79E-03	4.38E-04
1:Del:T:3	5.92E-04	8.79E-04	1.65E-03	3.25E-03	1.63E-03	5.33E-03	7.52E-03	6.07E-03	3.01E-03	4.10E-03	1.23E-03	8.83E-04	2.54E-03	5.72E-03	4.26E-03	8.87E-04	3.00E-03	1.19E-03
1:Del:T:4	6.99E-04	3.65E-04	1.41E-03	2.61E-03	9.11E-04	3.98E-03	5.23E-03	4.46E-03	2.06E-03	2.81E-03	1.60E-03	8.01E-04	2.18E-03	4.90E-03	3.54E-03	1.65E-03	2.11E-03	1.88E-04
1:Del:T:5	4.51E-03	1.00E-03	1.30E-03	1.77E-03	1.47E-03	1.82E-03	2.15E-03	2.82E-03	2.51E-03	2.56E-03	1.27E-03	6.47E-04	2.04E-03	6.11E-03	4.31E-03	3.24E-03	4.91E-03	1.26E-03
1:Ins:C:0	4.51E-05	1.18E-04	7.75E-04	1.12E-03	5.28E-04	4.71E-04	1.39E-03	1.31E-03	1.35E-03	1.92E-03	1.65E-04	2.73E-04	8.15E-04	1.15E-03	1.92E-03	7.19E-03	9.31E-04	7.01E-05
1:Ins:C:1	1.76E-05	1.04E-04	2.89E-04	4.51E-04	1.14E-04	1.47E-03	1.09E-03	1.74E-03	7.88E-04	7.48E-04	5.63E-04	4.11E-05	1.22E-03	8.19E-04	8.07E-04	1.66E-03	1.28E-03	3.07E-04
1:Ins:C:2	2.04E-05	4.00E-05	2.05E-04	6.23E-04	3.98E-04	4.59E-04	7.99E-04	8.42E-04	3.11E-04	4.32E-04	3.52E-04	1.43E-04	9.75E-04	8.60E-04	1.33E-03	1.40E-03	9.20E-04	3.94E-04
1:Ins:C:3	6.10E-05	4.79E-05	2.48E-04	8.53E-04	2.64E-04	4.10E-04	6.46E-04	1.06E-03	5.14E-04	7.58E-04	3.03E-04	3.85E-05	7.43E-04	1.40E-03	1.16E-03	6.16E-04	8.73E-04	3.37E-04
1:Ins:C:4	1.94E-04	8.15E-05	5.05E-04	6.19E-04	1.39E-04	3.94E-04	7.39E-04	7.56E-04	2.93E-04	4.66E-04	2.18E-05	1.06E-04	2.83E-04	1.65E-03	7.45E-04	6.43E-04	6.77E-04	8.17E-05
1:Ins:C:5	6.13E-04	9.33E-04	3.40E-04	1.47E-03	1.18E-05	1.44E-03	4.73E-04	9.20E-04	5.45E-03	5.94E-03	1.97E-47	1.66E-04	1.36E-03	6.66E-03	1.89E-03	4.95E-03	1.49E-03	1.28E-03
1:Ins:T:0	3.61E-05	1.50E-04	7.25E-04	2.09E-03	1.51E-04	9.62E-04	1.02E-03	2.01E-03	1.16E-03	2.14E-03	1.09E-03	3.19E-04	2.30E-03	3.97E-03	7.61E-04	5.14E-03	2.68E-03	9.52E-04
1:Ins:T:1	3.79E-05	3.77E-04	5.95E-04	2.31E-03	4.58E-04	2.58E-03	3.11E-03	2.47E-03	1.20E-03	3.37E-03	5.54E-03	4.86E-04	3.25E-03	2.84E-03	3.98E-03	1.14E-03	4.20E-03	5.86E-04
1:Ins:T:2	3.23E-04	3.28E-04	8.31E-04	4.99E-03	3.92E-04	2.06E-03	2.46E-03	2.01E-03	9.23E-04	1.91E-03	4.58E-03	1.21E-05	1.32E-03	4.09E-03	2.81E-03	1.01E-03	8.40E-04	3.80E-04
1:Ins:T:3	1.47E-04	4.28E-04	1.22E-03	2.84E-03	5.05E-04	1.23E-03	1.83E-03	1.30E-03	1.27E-03	1.93E-03	2.59E-03	1.46E-04	1.35E-03	2.90E-03	2.01E-03	1.62E-03	1.50E-03	6.19E-04
1:Ins:T:4	1.38E-04	4.27E-04	7.47E-04	1.50E-03	2.78E-04	1.63E-03	1.71E-03	2.30E-03	1.37E-03	1.51E-03	1.11E-03	3.68E-04	1.51E-03	2.52E-03	2.50E-03	6.38E-04	2.49E-03	3.07E-04
1:Ins:T:5	4.53E-03	3.05E-03	7.79E-03	4.15E-03	1.97E-03	5.10E-03	3.09E-03	5.97E-03	1.35E-02	1.30E-02	5.96E-03	6.05E-03	1.42E-03	1.21E-02	1.25E-02	1.27E-02	2.05E-03	2.14E-03
2:Del:R:0	2.37E-05	1.88E-04	6.06E-04	2.33E-03	3.28E-04	2.07E-03	2.02E-03	2.52E-03	9.75E-04	1.18E-03	8.25E-04	5.07E-04	2.86E-03	2.21E-03	2.03E-03	1.29E-03	2.39E-03	8.93E-04
2:Del:R:1	1.20E-04	2.18E-04	6.73E-04	2.25E-03	3.31E-04	3.51E-03	3.06E-03	2.73E-03	1.35E-03	2.70E-03	6.20E-04	7.05E-04	3.44E-03	2.94E-03	3.15E-03	9.61E-04	4.53E-03	3.79E-04
2:Del:R:2	6.21E-05	9.64E-05	6.47E-04	7.61E-04	9.14E-05	1.02E-03	1.47E-03	1.33E-03	9.98E-04	7.70E-04	7.12E-04	3.21E-04	1.47E-03	1.79E-03	1.39E-03	7.79E-04	1.61E-03	4.12E-04
2:Del:R:3	1.11E-04	4.26E-05	2.09E-04	3.32E-04	8.14E-05	6.77E-04	5.67E-04	2.11E-04	3.58E-04	4.26E-04	1.96E-04	1.39E-04	2.96E-04	1.00E-03	6.51E-04	1.35E-04	4.19E-04	3.81E-04
2:Del:R:4	7.00E-05	9.07E-10	8.20E-05	2.20E-04	4.07E-05	1.87E-04	3.41E-04	2.97E-04	1.62E-04	4.73E-04	5.67E-05	2.19E-05	1.50E-04	8.13E-04	1.57E-04	6.84E-04	3.55E-04	2.89E-04
2:Del:R:5	7.90E-05	7.20E-06	9.85E-05	8.23E-05	1.97E-05	1.41E-04	1.30E-04	2.11E-04	2.24E-04	2.65E-04	8.33E-05	0.00E+00	1.07E-04	4.21E-04	1.72E-04	3.34E-04	2.14E-04	4.15E-04
3:Del:R:0	9.77E-06	4.94E-05	3.04E-04	1.50E-03	6.29E-04	1.96E-03	1.68E-03	2.65E-03	6.22E-04	6.87E-04	4.02E-04	5.43E-04	3.87E-03	1.61E-03	2.02E-03	1.22E-03	7.19E-04	4.91E-04
