MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
1:Del:C:0	0.0006945649703447998	0.008750567051465622	0.09761958449147641	0.14487549021840096	0.009712638474302366	0.03189656235277653	0.07098275039694273	0.20187515806406736	0.0224904571619284	0.03582361517881509	0.012281854642205872	0.017824606140493415	0.048213981199078264	0.028609177647158503	0.025223798842635006	0.03650984160834923	0.0496556679205969	0.0055113132984843105
1:Del:C:1	0.00045058938801957995	0.0053630703702299345	0.25303616516292093	0.17303655864670872	0.003067692670249613	0.06020853152298076	0.03740875284303911	0.06374660433502868	0.010116111435927451	0.039301820058608425	0.04617736758547835	0.009200160543696257	0.05137622683076188	0.030389906601049007	0.022630318285142222	0.021283634713618084	0.018127880964311772	0.0027723693070583976
1:Del:C:2	0.001974873032377218	0.0005032156140077859	0.18508902184665202	0.0706527442112565	0.003191221105080331	0.03899406583048403	0.032808227012865246	0.041788237598420895	0.00907471941318363	0.02130485921050422	0.014078347855247557	0.0004563190767657943	0.0248065891826991	0.029277202060911806	0.023379692689049988	0.0024915071902796627	0.014379408448221512	0.00425510984758148
1:Del:C:3	0.005287226425134577	0.0008896975105744787	0.07734524317085743	0.030788813678241843	0.005711885579803493	0.02357200748519972	0.019628998461807042	0.012635246817371808	0.004024232926167315	0.011985416140742017	0.008052147446287563	0.0004776608536485583	0.023364467196515762	0.038236892231507225	0.004027962697437033	0.011254435969767655	0.009452636383648495	0.003389786015613936
1:Del:C:4	0.014056602781954553	0.00011791111814090982	0.0624009702494368	0.008905838474165649	0.0020736238644167315	0.012776025027269497	0.008418593164533377	0.003167085618479177	0.0034039535114425232	0.00674196573178051	0.005141897463254282	0.0013665645703076735	0.0038617179653374478	0.024314019589219242	0.01449087800225243	0.0009991951939446154	0.0036978725600056352	0.007735001194869255
1:Del:C:5	0.02957885302476825	9.921430610120297e-06	0.016725528294573553	0.0047878166648918355	7.456465804324353e-05	0.0013035990954068666	0.004555656872439435	0.0012931199935512438	0.0016809845829880033	0.007155778219723174	0.0004953092567873085	0.00020567917768914867	0.00019424437874874913	0.08392801646496963	0.002057140113315654	0.0019263324827471706	0.0024846134529805126	0.002648741268951085
1:Del:T:0	0.0003438618056679843	0.004547480869223364	0.04495107169204857	0.040615998487919566	0.023262618791195563	0.2047359984740615	0.0542728169541806	0.02471044828707818	0.016738596928395372	0.04782893990515731	0.04827717708423734	0.008045290762966032	0.09864924347144552	0.03283555716945557	0.028365498566417954	0.00856541098211892	0.013209209125488997	0.004054359766596463
1:Del:T:1	0.0021024140730878573	0.0013808135315775871	0.03041921908268705	0.05010184097132878	0.0314697942789644	0.11636894701980055	0.09253016878850757	0.03242619626689702	0.009031586260534822	0.02527901910507353	0.029275210287887602	0.0004641756776254624	0.08290420731296763	0.01895167931972537	0.024502240542946464	0.005780990432249382	0.0193537404271774	0.0032462200851296075
1:Del:T:2	0.004104091976769269	0.00018010106519795956	0.013649164662347175	0.0794721678661881	0.03505716323270462	0.07143618000205607	0.1294810938555747	0.04201463936362416	0.00959607634985332	0.026000498929060995	0.011129570213379339	0.004172182882321067	0.03658155074866954	0.03960233093646821	0.04045620377874002	0.017702242599916644	0.0072502596589038145	0.001719981314963661
1:Del:T:3	0.011844687715638428	0.01062128114157531	0.013387635141843929	0.024221995518309995	0.028619752227386927	0.06037848067469895	0.1088688736653421	0.055539969313686016	0.018706219054874965	0.03574087291024625	0.00783693786652293	0.006721995956268074	0.015875013368204235	0.07878727375878952	0.02234044412500225	0.0034365556540433316	0.017060074603650718	0.011116851972183213
1:Del:T:4	0.04250308798626065	0.0019243721497332444	0.016204341677366757	0.025124997795646777	0.006811016176216072	0.054314854447729884	0.06298451190581546	0.049160370965255426	0.01282759579597041	0.024982472548726944	0.021541345361038113	0.01644697283860296	0.013034180200775155	0.04691281302715652	0.026463878895156084	0.017311975613995462	0.01141131439653691	0.00040672351489774884
1:Del:T:5	0.6553163707256318	0.02211188428569585	0.007015963754420228	0.011022947273750156	0.010741112177221464	0.009682977991724328	0.008928124674130232	0.020503973152899563	0.016179339796082957	0.018737378408875908	0.003995196648174897	0.004380314552399796	0.01844470654948964	0.04125316652162837	0.035464618931564475	0.03456615980714559	0.054314666603168006	0.007067399977095192
1:Ins:C:0	0.0005776457626069486	0.00036530169721253	0.005370362715745785	0.004127755633089691	0.00531276285022102	0.0007214845503654033	0.003168082597148896	0.00547746855246487	0.005609601020233299	0.009071993339217386	0.0002420551626710221	0.0016254907993487678	0.00265709217521362	0.005507687007101367	0.0089876445716709	0.14723034103401006	0.003070466580172706	0.00011608015978708863
1:Ins:C:1	0.000236445192622341	0.00047601231669347043	0.001122582013194915	0.0015507156008970923	0.00039849651453550906	0.012957898600725458	0.005957481999066658	0.008036730027670273	0.0023613983726204425	0.0042604578664759175	0.003746178595724814	0.00014835861315077637	0.009241821781160411	0.002818103096797131	0.0019038801957503891	0.03425046159492922	0.007332526204418172	0.0022762571116717823
1:Ins:C:2	0.00037454736484505703	0.00016798396118247182	0.0008545530544142821	0.003865032535395585	0.0043391149234958	0.002790076415112708	0.0049163908138928035	0.0035097038629464806	0.0015801924167317338	0.0021606026976951397	0.002772706870309776	0.0007511806374532171	0.005608063273830339	0.003908497322408948	0.008330103032058105	0.018152904093731194	0.005048738971272542	0.006101080361705726
