De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 83-ID83A, Signature ID1 (13.78%) & Signature ID2 (86.22%), 14.83,  4.34, 0.702, 1.00, 1.00
Signature 83-ID83B, Signature ID1 (100.00%), 58.18,  10.54, 2.370, 0.99, 1.00
Signature 83-ID83C, Signature ID3 (100.00%), 22.26,  16.00, 0.215, 0.99, 0.99
Signature 83-ID83D, Signature ID5 (33.76%) & Signature ID6 (26.80%) & Signature ID8 (39.44%), 22.46,  16.85, 0.080, 0.99, 0.98
Signature 83-ID83E, Signature ID8 (24.60%) & Signature ID19 (75.40%), 56.84,  32.02, 0.362, 0.95, 0.94
Signature 83-ID83F, Signature ID1 (7.86%) & Signature ID4 (92.14%), 40.25,  30.11, 0.292, 0.95, 0.95
Signature 83-ID83G, Signature ID1 (19.36%) & Signature ID2 (9.44%) & Signature ID14 (71.20%), 41.69,  15.82, 0.276, 0.99, 0.99
Signature 83-ID83H, Signature ID8 (22.98%) & Signature ID17 (77.02%), 45.17,  33.33, 0.224, 0.94, 0.93
