Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
SP99325	1.74E+03	1.62E+03	3.07E+02	2.28E+02	1.64E+03	3.78E+02	3.48E+02	2.71E+01	4.24E+01	1.01E+01	3.22E+01	1.35E+01
SP18310	1.76E+03	1.81E+03	2.99E+02	1.59E+02	9.24E+02	1.96E+02	8.57E+01	3.70E+01	4.28E+02	1.88E+00	1.83E+01	2.10E+00
SP17172	6.16E+02	6.27E+02	1.15E+01	5.30E+01	5.61E+01	1.49E+01	3.57E+01	8.43E+00	4.47E+01	4.66E+00	2.12E+00	5.51E+00
SP96133	1.01E+03	1.05E+03	1.14E+02	5.83E+01	6.17E+02	1.46E+02	9.77E+01	1.74E+01	2.43E+02	4.20E+00	1.16E+01	3.96E+00
SP110242	1.43E+03	1.39E+03	1.63E+02	2.43E+02	8.67E+02	1.35E+02	2.79E+02	6.92E+01	4.28E+02	5.33E+00	1.50E+01	3.77E+00
SP21017	1.29E+03	1.46E+03	3.17E+02	1.16E+02	6.72E+02	1.24E+02	1.93E+02	2.41E+01	4.32E+02	4.11E+00	8.60E+00	4.42E+00
SP22383	1.20E+03	1.24E+03	8.98E+01	6.22E+01	6.02E+02	1.76E+02	1.30E+02	1.09E+01	1.90E+02	4.17E+00	1.21E+01	2.72E+00
SP81312	7.55E+01	7.30E+01	1.75E+00	3.07E+01	5.50E+01	1.83E+00	3.02E+01	2.82E-01	7.01E+00	3.91E+00	1.49E+00	1.32E+01
SP19215	1.11E+03	1.07E+03	1.04E+02	7.91E+01	5.02E+02	1.31E+02	9.98E+01	2.46E+01	1.62E+02	3.37E+00	1.13E+01	1.84E-01
SP16886	1.69E+01	1.38E+01	3.97E-01	1.75E+01	2.92E+01	5.09E+00	1.49E+01	2.93E+00	4.85E+00	3.90E+00	1.53E+00	1.97E+01
SP17905	4.62E+01	1.03E+01	0.00E+00	1.67E+02	3.44E+02	6.75E+00	2.09E+02	5.91E+00	4.08E+00	1.18E+01	0.00E+00	4.71E+01
SP18121	1.47E+03	1.52E+03	1.11E+02	1.10E+02	8.54E+02	2.60E+02	1.49E+02	1.39E+00	2.64E+02	4.81E+00	1.31E+01	1.01E+01
SP96118	1.90E+02	1.49E+02	6.24E-01	2.25E+01	2.04E+02	6.11E+01	2.12E+01	3.96E+00	4.16E+01	6.98E-01	3.29E+00	8.30E-01
SP21400	3.34E+01	3.13E+01	3.56E-01	2.68E+01	4.45E+01	5.80E-01	2.42E+01	2.58E+00	2.92E+00	3.06E+00	1.13E+00	1.16E+01
SP18946	7.48E+01	6.91E+01	2.26E+00	5.92E+01	1.20E+02	1.16E+01	7.39E+01	1.97E+00	5.95E+00	4.14E+00	2.31E+00	1.19E+01
SP80615	4.83E+01	4.05E+01	0.00E+00	5.80E+01	1.11E+02	3.28E+00	5.98E+01	1.23E+01	1.28E+01	1.05E+01	2.58E+00	4.29E+01
SP102897	1.83E+02	1.36E+02	3.04E+00	1.91E+01	1.64E+02	2.79E+01	1.45E+01	4.67E+00	8.55E+00	4.81E+00	1.23E+01	7.87E+00
SP98845	1.60E+02	1.33E+02	0.00E+00	1.39E+01	1.48E+02	4.29E+01	1.54E+01	4.15E+00	2.86E+00	2.92E+00	2.83E+00	3.85E+00
SP107012	4.55E+02	3.64E+02	5.52E+00	3.96E+01	3.90E+02	7.76E+01	2.72E+01	7.83E+00	1.27E+01	5.10E+00	5.24E+00	2.75E+00
SP55142	1.02E+00	2.00E+00	0.00E+00	5.67E+00	3.37E+01	1.34E+01	8.84E+00	8.24E-01	2.36E+01	1.20E+01	4.43E+00	2.98E+01
SP53810	2.72E+00	2.22E+00	0.00E+00	2.19E+00	3.16E+00	1.25E+01	4.97E+00	6.73E-01	1.25E+00	1.19E+01	1.47E+00	3.10E+00
SP116697	3.72E+01	3.60E+01	0.00E+00	2.36E+01	4.84E+01	1.93E+01	8.92E+00	4.53E+00	3.90E+01	3.57E+00	1.05E+01	5.61E+01
SP102133	1.35E+02	6.28E+01	5.43E+01	2.95E+02	4.90E+02	3.96E+02	2.51E+01	1.03E+02	2.72E+00	3.06E+00	2.48E+00	3.45E+00
SP125732	1.26E+02	1.32E+02	0.00E+00	1.51E+01	4.22E+01	1.27E+01	1.37E+01	3.00E+00	1.04E+00	1.58E+00	1.97E+00	1.40E+00
SP125746	6.78E+02	6.22E+02	4.72E+01	6.72E+01	5.00E+02	8.57E+01	6.87E+01	1.79E+01	1.76E+02	2.67E+00	1.22E+01	2.86E+00
SP125770	1.42E+02	1.22E+02	1.30E-01	1.70E+02	2.48E+02	2.23E+02	5.52E+01	5.58E+01	4.28E+01	2.66E+00	3.76E+00	6.55E+01
SP77956	2.23E+00	7.01E-01	0.00E+00	6.44E+00	7.50E-01	0.00E+00	0.00E+00	4.66E+00	0.00E+00	5.05E+01	0.00E+00	5.35E+01
SP124384	3.48E+02	2.77E+02	8.13E+00	2.67E+01	2.97E+02	6.13E+01	2.00E+01	9.88E+00	8.04E+01	4.84E+00	5.97E+00	2.10E+01
