Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
SP99325	45161	32184	15066	12518	0	10038	5866	776	0	1169	2878	416
SP18310	55350	45407	9555	9046	0	9768	3655	243	0	0	958	0
SP17172	27482	6561	0	4177	0	382	710	0	0	62	0	506
SP96133	43880	12983	3234	4168	0	4819	6933	382	0	144	700	145
SP110242	59050	25393	4834	10959	7031	9421	5807	1244	0	141	615	0
SP21017	51928	26386	10817	10075	0	6964	5576	464	0	129	0	40
SP22383	41006	18957	3209	4562	0	3443	7025	0	0	267	819	0
SP81312	3028	206	0	5538	0	0	1300	0	0	210	0	1307
SP19215	27235	27536	1759	4930	0	3307	7760	467	0	25	712	0
SP16886	487	84	0	4771	0	0	639	89	0	44	0	1549
SP17905	0	0	949	10455	0	0	9561	358	290	1463	0	2590
SP18121	43287	20800	4030	19754	0	5208	6144	0	0	415	250	142
SP96118	3087	1624	0	564	0	1789	2157	76	0	0	168	0
SP21400	1712	0	0	6694	0	0	1019	0	0	131	0	995
SP18946	4373	0	355	7036	0	0	3426	65	57	462	83	944
SP80615	1625	74	109	10027	0	0	2753	480	0	293	0	3978
SP102897	7411	0	0	1074	1010	1608	659	0	61	409	1158	84
SP98845	5476	524	0	407	0	1483	705	167	0	296	97	59
SP107012	19333	281	0	3593	622	3151	1892	97	0	607	197	0
SP55142	0	0	0	214	38	223	424	0	181	4022	345	381
SP53810	0	0	18	5	0	147	81	0	81	4929	49	132
SP116697	1444	18	0	3177	2263	0	725	0	10	325	945	477
SP102133	1046	0	0	7314	9638	0	0	2101	0	0	0	0
SP125732	4037	1253	0	596	0	264	1320	103	0	18	130	22
SP125746	30390	4666	0	2986	1114	5682	1450	242	0	0	911	16
SP125770	4051	840	0	5598	8480	0	886	1565	0	26	105	181
SP77956	0	0	0	166	0	566	0	749	0	3838	0	154
SP124384	13747	368	0	603	1329	3422	1362	61	53	398	351	306
SP135287	30193	18754	3214	5303	0	1474	4050	453	0	0	838	0
SP85122	46871	30159	3411	5050	2690	7155	2848	1377	0	0	879	0
SP84384	44238	36272	0	0	0	15381	3567	661	0	218	1301	0
SP84982	30070	13379	1631	563	0	3047	3594	0	0	80	402	210
SP84392	45193	30335	5158	3502	0	11785	5022	969	0	0	211	0
SP84439	32387	36359	0	1790	0	14967	7968	605	0	413	356	1034
SP95454	16758	899	1080	2198	1765	3857	1277	223	0	0	265	0
SP94741	30489	4814	4552	4148	2717	5658	1907	341	0	0	506	0
SP90209	38982	10541	0	36688	0	9625	31376	0	0	0	0	0
SP90989	28698	9005	5632	2705	0	1142	2534	202	0	26	684	0
SP93540	41019	22400	14477	6292	0	7688	2035	97	0	0	2032	0
SP93227	28902	12413	2053	29551	0	5792	50455	0	0	154	19	0
SP94348	31745	3727	3094	2552	445	6652	1290	222	0	0	639	0
SP94933	20398	197	0	16423	21275	1045	567	4381	0	0	0	0
SP92364	30350	5756	1610	5990	6941	3249	3801	1473	0	0	514	0
SP94917	8977	653	1158	2462	0	2612	1125	0	0	201	637	48
SP92460	7961	0	417	1008	1299	2221	763	128	0	23	366	0
SP89909	7493	795	0	397	0	2291	1199	79	0	23	385	0
CPCT02020308T	33168	8841	9335	3085	6657	4586	1403	452	1204	0	3185	0
CPCT02020323T	7333	1322	2600	932	0	855	1085	0	183	21	290	0
CPCT02010373T	0	179	0	33	0	346	135	49	235	4730	136	127
CPCT02140022T	8661	0	0	2060	1900	1097	191	0	855	206	30	130
CPCT02070024T	15930	0	2328	1324	4420	2700	497	137	308	265	194	0
CPCT02070023T	64257	8813	12291	7958	6532	16204	4771	924	2893	1860	470	0
CPCT02020387T	44911	4717	23132	5222	5665	8144	5967	314	690	540	1242	0
CPCT02140024T	2764	13	558	284	971	802	165	0	146	14	363	20
CPCT02010441T	26523	21488	14770	4773	1823	1875	2378	1335	612	279	1063	0
DRUP01010007T	2375	0	0	716	0	0	75	17	191	0	170	742
DRUP01070001T	33719	26937	23333	6818	259	5486	6946	342	353	527	318	144
CPCT02011015T	0	273	219	182	0	664	553	54	529	6696	365	355
CPCT02230072T	8631	0	12463	3591	3526	4243	650	0	2269	1868	1104	921
CPCT02380035T	15742	1474	10237	1748	0	1270	1532	250	415	292	882	450
CPCT02020704TII	33369	5448	7634	1085	6717	4074	3661	1322	1227	455	1133	0
DRUP01010020T	42393	5567	7614	288	6382	8704	493	106	1902	0	714	0
CPCT02011050T	22259	5012	4738	2521	1404	1948	1295	561	407	66	2816	0
CPCT02080188T	0	78	0	210	201	311	292	0	339	4497	114	149
CPCT02250005T	13445	5075	13483	908	0	1504	1332	283	972	301	467	85
DRUP01070038T	15681	1611	1366	1085	631	1153	423	0	985	174	336	65
DRUP01010123T	64301	51324	38791	11042	14505	8859	1108	1921	2123	0	2816	0
CPCT02200005T	6314	1964	2788	0	0	1052	0	0	298	85	0	0
CPCT02120105T	1870	560	874	0	267	0	257	0	491	132	16	143
CPCT02330076T	80465	41156	12924	688	987	0	17889	1829	1669	930	1821	260
CPCT02220071T	8017	563	2878	650	41	928	601	120	414	56	207	65
CPCT02020671T	0	486	171	101	8	325	350	0	370	7461	160	177
CPCT02050424T	0	0	0	64	126	0	159	0	2535	1219	0	1423
DRUP01340017T	51953	70004	43703	8622	0	13385	151	613	2815	369	962	2496
CPCT02230088T	0	0	0	34	104	282	369	0	703	6649	195	319
DRUP01010122T	41948	46396	38217	8929	12090	3478	4784	1564	1133	331	1473	0
CPCT02230086T	15042	1932	5657	3111	2057	3048	1921	98	334	356	307	221
WIDE01010064T	1410	0	91	834	927	0	37	6	349	363	275	354
CPCT02150052T	0	282	725	0	485	0	502	0	867	387	748	2125
WIDE01010069T	56896	9727	11890	775	0	17642	2504	221	1611	814	0	247
DRUP01010078T	0	75	0	52	0	493	410	12	338	6972	84	166
WIDE01010075T	15829	2047	493	69	68	2092	1806	0	395	37	82	37
CPCT02020680T	21017	3794	7071	20	3592	2742	1269	0	1392	97	656	241
WIDE01010127T	0	223	0	161	169	386	106	0	228	4108	135	180
DRUP01030013T	25949	7393	6909	2878	0	6523	1192	0	1335	99	464	52
DRUP01230004T	35217	56662	55322	7590	5493	7767	3042	980	3879	102	2083	307
DRUP01230001T	8096	0	12779	3624	3282	4168	492	0	2866	1839	1161	976
WIDE01010139T	107	396	0	341	0	456	66	0	425	4554	79	201
CPCT02130049T	1539	0	0	228	1110	0	165	0	696	285	363	467
CPCT02050443T	25306	9809	17992	2455	3484	3881	3349	1058	2316	241	307	0
DRUP01340016T	56613	38056	27673	15010	12352	7056	0	1112	2672	0	1688	0
CPCT02140091TII	1604	0	721	0	3049	562	0	0	391	21	237	403
DRUP01070026TII	39287	10554	20118	3717	6692	7646	5546	873	1428	518	509	0
CPCT02270029T	0	320	0	215	0	414	264	0	555	4954	213	99
CPCT02010780T	0	17	85	130	0	187	98	0	302	4186	73	82
CPCT02270026T	457	106	81	739	526	233	305	0	301	2942	189	206
CPCT02020986T	18504	16497	24358	0	0	3902	781	0	1868	108	332	0
CPCT02020704T	30890	5283	7443	976	6634	3791	3411	1194	1321	389	1111	0
DRUP01080031T	39921	7025	7232	609	5644	4789	1776	1215	1501	0	2340	0
DRUP01070080T	1330	71198	35467	5167	2937	4211	10685	0	462	619	1273	36
CPCT02050358T	711	0	0	942	1805	0	0	101	244	35	177	50
DRUP01050049T	26494	10216	16683	2547	3174	3957	3334	949	1784	225	218	0
DRUP01330020T	93392	70697	17925	0	0	0	26011	2454	3581	1662	1743	496
DRUP01070085T	40736	12805	14107	7179	7549	3040	791	717	1754	0	1962	461
DRUP01050048T	49139	12299	15355	6610	8879	9884	1616	1518	2279	0	2850	0
DRUP01020053T	40001	55819	62862	13568	13604	8543	5121	1762	4468	11	2678	0
DRUP01040016T	40611	49669	31487	10141	7777	8960	2725	573	1301	0	402	0
DRUP01010142T	27389	3715	7861	1436	4922	4900	1519	832	404	0	1877	0
CPCT02010786T	33962	31122	23141	6484	3753	2534	3274	746	654	226	908	0
DRUP01010148T	58152	12783	15574	1216	640	18751	1957	601	2943	764	0	254
WIDE01010451T	2530	0	591	1264	16	0	66	0	283	80	1269	528
DRUP01070042T	22914	552	4143	519	5154	5012	1978	544	668	270	651	0
CPCT02450014T	17523	5382	2571	56088	25034	152	112	159940	684	0	0	0
DRUP01030018T	15685	88753	67277	14527	12332	3579	1110	2092	3396	110	2944	0
DRUP01080014T	12633	1849	3460	776	749	1567	1115	136	405	56	106	0
CPCT02180068T	2467	0	0	1307	1030	0	369	0	450	147	216	185
CPCT02010870T	0	74	179	398	364	259	329	19	303	2452	122	144
CPCT02010847T	0	0	126	0	196	10	231	0	718	3230	140	429
DRUP01050028T	22344	24343	9837	3527	2032	704	0	11	1250	41	353	0
WIDE01010606T	45002	26700	13317	19246	44477	1530	704	7314	2579	0	0	0
CPCT02010867T	0	67	0	0	0	490	173	0	437	9446	0	290
DRUP01010047TII	40371	40567	28920	4606	0	0	3102	929	1303	383	1823	318
WIDE01010460T	56097	68450	28908	11457	21077	3770	5341	3185	3033	0	2979	0
CPCT02010882T	47748	50064	49294	6791	13536	2814	3578	2514	3210	66	1534	0
CPCT02310017T	1659	0	0	950	689	0	80	0	501	76	216	120
CPCT02050380T	1624	0	207	489	919	0	155	0	380	223	273	172
CPCT02130140T	30585	11904	17362	3924	0	2178	4205	348	874	327	2100	901
CPCT02210064T	1974	0	184	631	622	0	103	2	274	55	213	114
CPCT02170035T	37502	39130	37861	7063	8613	2504	4814	1167	1991	86	1644	0
CPCT02010911T	0	53	193	15	168	282	258	0	484	5093	165	210
CPCT02130146T	3995	0	0	3106	20956	0	0	3413	1066	0	0	484
CPCT02020815T	0	32	0	41	0	453	283	0	290	6093	34	127
CPCT02330125T	35531	10599	13107	2464	4888	5601	3916	662	1224	679	1319	0
DRUP01010096T	0	186	94	61	170	235	146	0	483	4126	307	212
CPCT02030532T	2	0	0	91198	8369	0	637	7850	2384	156	0	0
DRUP01070020TII	17628	1787	0	3029	762	1554	938	0	1767	0	0	60
CPCT02030546T	39981	2685	14527	11238	10287	10553	4476	932	1385	5219	1881	0
CPCT02010654T	25911	2743	8332	4360	2946	4572	1940	191	832	325	597	0
CPCT02140091T	1805	194	580	398	939	392	156	0	82	37	156	91
CPCT02230056T	1849	522	0	1117	1274	0	330	0	559	465	667	537
CPCT02040169T	8146	1294	631	0	1099	0	514	0	358	314	350	354
CPCT02080152T	11913	386	4162	631	1141	2540	381	20	514	0	193	0
CPCT02010986T	0	752	263	0	0	0	74	0	123	1047	2459	9
DRUP01010047T	47339	42957	35219	5507	320	73	2237	1563	2694	608	2227	519
CPCT02080273T	45381	9326	13284	1807	11406	10028	719	1423	2343	11	1335	0
CPCT02080157T	17822	318	4977	3049	7866	2013	745	940	672	251	349	0
DRUP01010108T	1742	0	64	971	1300	0	85	20	395	226	336	276
CPCT02030392T	4382	0	6722	5748	3377	2116	0	141	731	0	3166	0
CPCT02050279T	45672	53570	20013	7256	8561	3114	0	373	1966	24	852	0
CPCT02160034T	2508	0	119	697	373	0	259	0	354	73	176	194
CPCT02040280TII	0	189	0	129	0	564	90	0	298	5098	35	119
CPCT02190020T	0	252	0	15	17	726	178	0	790	4987	185	388
CPCT02100120T	1916	0	0	1305	113	118	29	165	330	0	208	1088
DRUP01010051T	43061	34690	26301	7801	6818	4671	3896	977	1418	0	1712	0
CPCT02020622T	950	0	2	311	1660	0	126	0	555	110	292	310
CPCT02020630T	0	63	250	0	156	0	190	0	537	2459	2133	422
CPCT02340029T	1080	0	65	803	596	0	24	30	377	481	248	401
CPCT02080162T	2120	0	1551	3281	3236	317	83	0	465	367	128	0
DRUP01010044T	2554	0	12	745	0	0	78	26	424	0	158	751
CPCT02050252T	1323	0	0	1140	0	0	37	122	261	0	147	1306
CPCT02210016T	43979	78446	47964	7349	9116	2075	2018	1376	2824	361	3054	23
CPCT02050170T	11186	0	1532	0	3352	1727	264	488	563	0	651	0
CPCT02010569T	1535	0	26	575	751	0	81	0	325	100	368	115
CPCT02100019T	60960	20048	3165	8860	3221	7178	2543	199	4744	45	334	349
CPCT02020514T	22255	2877	3645	0	1241	3378	263	238	1109	61	358	368
CPCT02070140T	21937	262	5137	1004	4931	5188	1612	385	996	226	667	0
CPCT02030347T	48838	55993	36306	7232	2989	0	12071	1227	173	335	1997	157
CPCT02180033T	10021	0	704	622	1329	1537	228	56	315	157	907	14
CPCT02070164T	19870	1296	0	2952	1470	2340	633	139	1370	48	23	127
DRUP01070015T	34176	7088	8893	2456	4797	7105	2724	341	369	235	1147	0
DRUP01010022T	25768	9146	8350	1637	983	4815	1354	134	435	193	594	0
CPCT02030349T	27290	7790	7858	3320	86	6473	1478	0	715	235	694	25
CPCT02120032T	7567	341	194	1083	267	927	813	280	165	149	0	116
DRUP01010025T	38822	58812	27434	10192	5034	730	4034	1329	1148	231	1237	13
CPCT02220023T	0	0	0	0	0	328	240	0	276	5119	213	185
CPCT02100101T	0	0	669	4829	8534	0	0	974	123	0	0	0
CPCT02030357T	19902	83669	65374	14582	11825	3740	1168	1953	3369	83	2918	0
CPCT02070192T	28227	2781	5132	3009	3488	3722	2268	126	338	414	376	0
CPCT02050211T	40988	22172	19380	4951	9251	3925	3821	716	1081	47	469	32
CPCT02380016T	3393	571	1087	258	0	184	112	0	0	0	34	2083
DRUP01090003T	42892	25668	33644	8054	3820	5986	767	1487	2474	9	886	486
CPCT02230039T	1337	0	0	266	892	0	357	0	387	232	152	660
DRUP01010037T	12854	953	14322	1890	927	3630	547	424	2040	0	1295	16
CPCT02120042T	51676	72791	43221	6253	8797	0	3932	2494	2378	99	3142	77
DRUP01070020T	20080	1506	0	3059	1495	2190	425	0	2901	0	0	94
CPCT02340022T	1301	0	0	5675	0	0	581	22	1690	0	0	1100
CPCT02070041T	10004	0	647	1118	419	912	0	171	986	31	18	15
DRUP01140001T	8069	0	0	1864	2140	1116	152	50	840	229	18	101
CPCT02210004T	22388	1963	4886	2655	1472	8638	1744	0	715	355	1111	0
CPCT02050089T	2057	13	192	913	441	0	270	47	176	83	62	166
CPCT02050104T	215	0	0	7	0	4	0	2	0	0	0	4937
CPCT02050041T	1272	0	0	257	1549	0	136	0	501	151	471	601
DRUP01050001T	37207	34009	31784	5651	9041	4189	3076	878	921	243	1649	0
DRUP01050003T	0	0	0	93659	5541	0	0	3871	1870	0	0	0
DRUP01070008T	60430	8726	12365	5303	7533	12141	4391	659	2047	937	843	0
CPCT02370001T	1782	0	96	703	0	128	13	10	54	0	207	1696
CPCT02020491T	0	0	0	629	270	573	325	82	171	4707	182	63
