hdp.1	hdp.2	hdp.3	hdp.4
1	0.134192918530681	0.0447284362874129	0.063983715333187	0.0134010979790473
2	0.0606539516227923	0.0208310549956859	0.0463797687980255	0.0119200782063679
3	0.0247332277019958	0.00737110114122956	0.0246165694173424	0.00560177083083611
4	0.0131873013411038	0.004616786211508	0.012499090102349	0.00493584467405578
5	0.00969781521323183	0.00716309356368313	0.00272561063188238	0.00945881513090776
6	0.00679789446034698	0.00417800627861499	0.00462055514278752	0.0040008843499362
7	0.0524583317745042	0.0235686869142254	0.0533355266706095	0.00621175919044689
8	0.0330411881935598	0.00515661274390116	0.0470785931930111	0.00337225005793558
9	0.0412142454651976	0.0198522253463036	0.0303783920783189	0.00409944142113969
10	0.0520524939858927	0.0231460320322742	0.0260146206896869	0.0264985336306028
11	0.0492265837315322	0.0306527733078963	0.0102829071600809	0.0112514883449604
12	0.0858666865497187	0.157632193056029	0.0155328297397215	0.0766880562148225
13	0.00509814537194067	0.00604750785942794	0.00579689612493421	0.0039129820972412
14	0.00309818283631213	0.00301477076984676	0.00512475056154916	0.00548190412261565
15	0.00232142678178898	0.000598356561590106	0.00489608307604168	0.000300998622864708
16	0.0010520457252129	0.00242673647270034	0.000944741125062428	0.00111076482950959
17	0.000918218163010628	0.00281022254578957	0.00037482608449163	0.000727191363204117
18	0.00735393079700938	0.0168568157967918	0.00146014855279413	0.00298601288700299
19	0.00910302896294999	0.00561586981760949	0.00332277947887272	0.00527679886632731
20	0.0107040536607335	0.0142560515251732	0.0195867471984064	0.00281819949549434
21	0.00542944795094287	0.004641950218341	0.0072709590683476	0.000942951438000943
22	0.00641897435039062	0.00853567575457427	0.00267656527982357	0.00542863003007323
23	0.00566829643678672	0.00608466801142524	0.00589360688948627	0.00165149686881521
24	0.107600350863808	0.37245056807048	0.0122208022899637	0.0310294952013361
25	0.0117495929684937	0.00959195028529623	0.0240660310281711	0.0732865054059885
26	0.0139928902697419	0.0117967859704692	0.0182721822697775	0.149809411933929
27	0.00485040303320786	0.00534219031979156	0.00307444785455621	0.0352488033306963
28	0.0021449926794933	0.000908024494900913	0.000798122546223088	0.0226441530351582
29	0.00115751265327663	0.00056041526525653	0.000167030184913052	0.00198445994720537
30	0.00284165158690735	0.00172895139630666	0.000586359320393563	0.000953606256509428
31	0.0030035774277057	0.0031398096596755	0.0179829699358317	0.00357469160959679
32	0.012722774617647	0.011092137983121	0.0155499639893271	0.0537029489873927
33	0.0034427868413164	0.00324777496615413	0.00114695976889692	0.0145251813316925
34	0.000354809635605467	0.00131773469927952	0.00105801116440106	0.00364394792990195
35	0.00142443318216232	0.00043191702193855	0.000295019579617511	0.000277025281220616
36	0.00218012208662697	0.000210183622483209	0.000529321818350965	0.000679244679915934
37	0.00440048951346532	0.000753860080533749	0.0158884516652593	0.00117203003593338
38	0.00831646081113932	0.00970259380092782	0.0113153319450375	0.0396891989441075
39	0.00221336253385502	0.00437033517341181	0.00141357559245693	0.00325771075896936
40	0.00246099993037084	0.000473261875737344	0.00288487865673923	0.00473606682702169
41	0.000994773510296694	0.000389512043683377	0.000325205757613845	0.000596669836475173
42	0.000179766017684757	0.00080078453673454	0.000221192812860761	0.00347879824302043
43	0.0276726854351274	0.00588274220049699	0.108210433424068	0.0084252977355847
44	0.00458240684659814	0.0104216929584971	0.00493604382596064	0.0127884459148094
45	0.00112823377473954	0.000335389900384011	0.000739245124759761	0.00282885431400283
46	6.56151211660214e-05	0.000516280610256738	0.000234762218588637	3.4628160152577e-05
47	0	0	0	0
48	0	0	0	0
49	0.00334739436608263	0.00319716797236802	0.00574986318474182	0.000628634292000629
50	0.00242382415000608	0.00108188490574712	0.00393800253517897	0.00203507033512068
51	0.00139184862379039	0.00219931187879497	0.00152759309906023	0.00228013116081584
52	0.000434670662726366	0.00120647742738371	0.000878389030952389	0.000210432665542583
53	0.000936819170970128	0.00195286084069878	0.00102977990078925	0.00142241827088278
54	0.00349174238553703	0.0162494202793104	0.000688474848244021	0.000812429911271999
55	0.000788562053933268	0.00088118660734731	0.000838140793623943	0.000604660950356537
56	0.00191007952678616	0.00268440251162454	0.00163264099848747	0.00282885431400283
57	0.000499551188373536	0.00124408394757316	0.000158808045001669	0.000380909761678347
58	0	0	0	0
59	0.000217230389146204	0.000295384151161696	0.000294214614870942	6.65926156780327e-05
60	0.000468698176581756	0.00114923070673922	0.000586244325429768	0.00103618109995019
61	0.000908694656819799	0.00162662148825404	0.00209342581841628	0.000322308259881678
62	0.00356179131537041	0.00295266979511254	0.00220008364733666	0.00207768960915462
63	6.34375701637104e-05	0.000258781959404598	3.35785294283037e-05	0.000106548185084852
64	0.000558948483183561	0.000238249022565251	0.000229299957808348	0.00067125356603457
65	6.39622812486046e-05	0.000677586915698457	7.47467264671144e-05	0.00168878873359491
66	0.000167592720515212	0.00192340054001624	0.000445432992262104	0.00196581401481553
67	0.00447048597219021	0.00226381208256205	0.000482806355495661	0.000476803128254714
68	0.0108122753219929	0.0159160390357911	0.00559985225447052	0.00189389398988325
69	0.000582088242027395	0.00146101888896279	0.000242984358500019	0.000388900875559711
70	5.92398814845567e-05	0.000474824164409903	0.000123734581044023	2.13096370169705e-05
71	0.000391460704885328	0.000118175978874286	0.000126034480319934	0.000202441551661219
72	5.42551261780617e-05	0.000109862371295311	0.000103725457343596	0.000799111388136392
73	0.0145158960436102	0.00760008802380749	0.0269659165276857	0.162379434069315
74	0.00417504739584052	0.00153891013849466	0.0145670445362845	0.00214428222483265
75	0.00652716977609581	0.00580418139867688	0.0105504429433513	0.026943372303332
76	0.00345766240057315	0.00170317363320944	0.01738091380288	0.00376115093349529
77	0.00678312384330721	0.00573923482671764	0.0093639249069087	0.0238215104803459
78	0.00756247721770058	0.00773059492399019	0.0136793984107466	0.0455333668960116
79	0.0289757529433537	0.00526982287663767	0.092740965909398	0.00518090549975094
80	0.0219967544520555	0.00914909724264977	0.0724257256153467	0.00656603190585402
81	0.0138824385863717	0.00808456490037285	0.0437049284426589	0.00916847132655154
82	0.00780775341433438	0.00178502640044673	0.0204045338834386	0.00616114880253158
83	0.00694219000869289	0.0101823280154515	0.0124257233154474	0.00897402088877169
