De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 83-ID83A, Signature ID1 (11.10%) & Signature ID2 (88.90%), 10.08,  2.32, 0.535, 1.00, 1.00
Signature 83-ID83B, Signature ID1 (100.00%), 31.48,  4.77, 1.133, 1.00, 1.00
Signature 83-ID83C, Signature ID2 (30.58%) & Signature ID13 (9.14%) & Signature ID14 (42.32%) & Signature ID25 (17.96%), 13.65,  8.73, 0.031, 1.00, 1.00
Signature 83-ID83D, Signature ID1 (17.16%) & Signature ID2 (6.88%) & Signature ID8 (19.56%) & Signature ID19 (56.40%), 40.23,  21.22, 0.247, 0.98, 0.97
Signature 83-ID83E, Signature ID3 (26.78%) & Signature ID4 (15.74%) & Signature ID5 (31.80%) & Signature ID9 (25.68%), 30.92,  23.48, 0.121, 0.97, 0.97
Signature 83-ID83F, Signature ID1 (9.76%) & Signature ID2 (15.42%) & Signature ID6 (48.52%) & Signature ID8 (26.30%), 20.73,  10.01, 0.061, 0.99, 1.00
