MutationType	ID83A	ID83B	ID83C	ID83D	ID83E
1:Del:C:0	4.95E-05	1.05E-05	2.18E-03	5.54E-05	6.53E-04
1:Del:C:1	5.08E-05	1.03E-05	7.33E-04	2.59E-05	1.94E-03
1:Del:C:2	6.54E-05	5.55E-06	2.24E-04	1.67E-05	1.96E-03
1:Del:C:3	1.14E-04	1.09E-06	1.26E-04	1.29E-04	7.59E-04
1:Del:C:4	9.20E-05	7.01E-07	4.45E-04	1.47E-04	5.60E-04
1:Del:C:5	6.83E-04	3.66E-05	1.74E-03	1.72E-04	2.83E-04
1:Del:T:0	3.48E-05	6.48E-06	1.21E-03	4.26E-05	6.15E-05
1:Del:T:1	5.29E-05	8.09E-06	1.16E-03	1.02E-04	9.92E-05
1:Del:T:2	4.22E-04	1.25E-04	8.24E-04	1.00E-03	2.54E-04
1:Del:T:3	1.38E-03	1.87E-04	2.81E-04	2.72E-03	1.46E-04
1:Del:T:4	2.50E-03	1.92E-04	8.07E-04	4.53E-03	1.45E-04
1:Del:T:5	2.20E-03	4.80E-04	2.52E-02	2.94E-03	4.33E-04
1:Ins:C:0	3.35E-05	2.37E-04	1.80E-03	4.33E-04	1.28E-03
1:Ins:C:1	6.37E-06	2.38E-05	1.62E-04	7.65E-05	1.01E-04
1:Ins:C:2	7.85E-06	1.38E-05	4.94E-05	4.09E-05	1.08E-04
1:Ins:C:3	1.59E-05	2.98E-05	1.71E-05	7.89E-05	1.23E-04
1:Ins:C:4	1.34E-04	8.58E-04	1.06E-05	3.30E-03	9.69E-05
1:Ins:C:5	1.67E-04	1.44E-03	3.82E-04	5.07E-03	9.97E-05
1:Ins:T:0	5.07E-07	5.30E-05	9.17E-04	8.73E-05	1.02E-04
1:Ins:T:1	1.57E-05	1.13E-05	2.76E-04	2.72E-05	7.14E-04
1:Ins:T:2	2.63E-05	2.99E-05	7.94E-05	4.05E-05	1.15E-03
1:Ins:T:3	1.93E-05	6.41E-05	1.10E-04	1.92E-04	5.22E-04
1:Ins:T:4	1.28E-04	4.74E-05	0.00E+00	4.46E-04	9.57E-05
1:Ins:T:5	6.63E-04	4.66E-03	6.56E-04	8.02E-03	5.65E-04
2:Del:R:0	8.39E-05	5.76E-06	7.71E-04	4.00E-05	1.87E-04
2:Del:R:1	5.07E-05	1.20E-05	9.56E-04	1.45E-05	2.53E-04
2:Del:R:2	2.94E-05	1.79E-06	1.82E-04	1.21E-05	8.69E-05
2:Del:R:3	2.32E-04	5.96E-06	5.86E-04	8.76E-05	1.36E-04
2:Del:R:4	1.37E-04	8.04E-06	2.71E-04	4.73E-05	6.72E-05
2:Del:R:5	6.43E-04	1.44E-05	6.75E-04	9.01E-05	3.57E-05
3:Del:R:0	3.46E-05	2.09E-06	2.73E-04	1.43E-05	6.59E-05
3:Del:R:1	4.34E-05	6.60E-06	6.77E-04	2.05E-05	2.99E-04
3:Del:R:2	2.16E-05	6.80E-07	1.83E-04	4.06E-06	7.32E-05
