Samples	ID83A	ID83B
SP117655	2.28E+00	2.28E+00
SP117556	1.79E+00	1.79E+00
SP117627	1.11E+00	1.11E+00
SP117775	2.09E+00	2.09E+00
SP117332	4.97E-01	4.97E-01
SP117712	7.31E-01	7.31E-01
SP117017	7.13E-01	7.13E-01
SP117031	2.18E+00	2.18E+00
SP117759	3.02E+00	3.01E+00
SP117621	1.41E+00	1.41E+00
SP117425	1.36E+00	1.36E+00
SP117930	3.20E+00	3.20E+00
SP99287	3.56E-01	3.57E-01
SP99293	5.51E-01	5.51E-01
SP99289	8.88E-01	8.88E-01
SP99297	1.53E-01	1.53E-01
SP99301	2.07E+00	2.07E+00
SP99305	5.52E-01	5.52E-01
SP99309	8.72E-01	8.72E-01
SP99313	4.59E-01	4.59E-01
SP99317	0.00E+00	0.00E+00
SP99321	8.41E-01	8.42E-01
SP99325	1.18E+01	1.18E+01
SP99329	4.18E-01	4.18E-01
SP99333	5.66E-01	5.66E-01
SP99337	9.26E-01	9.25E-01
SP99341	7.47E-01	7.47E-01
SP99345	1.23E-01	1.22E-01
SP99113	2.19E-01	2.19E-01
SP99185	4.36E-01	4.36E-01
SP99209	7.42E-01	7.42E-01
SP99213	1.30E+00	1.30E+00
SP99221	1.02E-01	1.02E-01
SP99225	4.98E-01	4.98E-01
SP99241	1.05E+00	1.05E+00
CPCT02020318T	1.40E+00	1.40E+00
CPCT02010377T	9.56E-01	9.56E-01
CPCT02060017T	1.37E+00	1.37E+00
CPCT02060166T	1.58E+00	1.58E+00
DRUP01080024T	5.87E-01	5.87E-01
CPCT02300029T	2.43E+00	2.43E+00
CPCT02130024T	1.26E+00	1.26E+00
CPCT02370015T	6.58E-01	6.57E-01
CPCT02080291T	1.05E+00	1.05E+00
CPCT02330082T	7.10E-01	7.10E-01
CPCT02130035T	1.91E+00	1.91E+00
CPCT02020667T	6.50E-01	6.50E-01
CPCT02190030T	1.05E+00	1.05E+00
CPCT02070304T	1.65E+00	1.65E+00
CPCT02230093T	1.91E+00	1.91E+00
CPCT02170024T	9.05E-01	9.05E-01
CPCT02050342T	1.58E+00	1.58E+00
CPCT02130064T	8.68E-01	8.68E-01
CPCT02130063T	2.96E+00	2.96E+00
CPCT02080208T	6.53E-01	6.53E-01
CPCT02130066T	2.59E+00	2.59E+00
CPCT02130067T	1.53E+00	1.53E+00
CPCT02100172T	6.83E-01	6.85E-01
CPCT02130084T	1.19E+00	1.19E+00
CPCT02060220T	1.06E+00	1.06E+00
CPCT02100169T	2.62E+00	2.62E+00
CPCT02080218T	2.82E+00	2.82E+00
CPCT02050332T	8.30E-01	8.30E-01
DRUP01080031T	9.13E+00	9.13E+00
CPCT02040245T	2.33E+00	2.33E+00
DRUP01050048T	1.64E+01	1.64E+01
DRUP01010142T	7.51E+00	7.51E+00
CPCT02080224T	8.78E-01	8.78E-01
CPCT02260021T	7.20E-01	7.20E-01
CPCT02020762T	5.11E-01	5.11E-01
CPCT02130116T	9.15E-01	9.15E-01
CPCT02050342TII	1.32E+00	1.32E+00
CPCT02130138T	1.27E+00	1.27E+00
CPCT02130139T	1.63E+00	1.63E+00
CPCT02230115T	1.39E+00	1.39E+00
CPCT02010902T	1.06E+00	1.06E+00
CPCT02290056T	7.67E-01	7.67E-01
CPCT02130152T	6.60E-01	6.59E-01
DRUP01170003T	4.09E-01	4.09E-01
DRUP01010095T	1.25E+00	1.25E+00
DRUP01030024T	1.87E+00	1.87E+00
CPCT02040292T	1.10E+00	1.10E+00
DRUP01050035T	2.96E+00	2.96E+00
CPCT02020577T	7.58E-01	7.58E-01
CPCT02050263T	1.92E+00	1.92E+00
DRUP01010108T	5.23E+00	5.23E+00
DRUP01010109T	9.57E-01	9.57E-01
DRUP01010113T	8.64E-01	8.64E-01
CPCT02120059T	2.21E+00	2.21E+00
CPCT02170010T	6.69E-01	6.68E-01
CPCT02030398T	1.60E+00	1.60E+00
CPCT02050250T	1.76E+00	1.76E+00
CPCT02050076TII	2.41E+00	2.41E+00
CPCT02050182T	8.01E-01	8.01E-01
CPCT02070187T	1.17E+00	1.17E+00
CPCT02030373T	3.21E+00	3.21E+00
CPCT02020589T	7.95E-01	7.95E-01
CPCT02040154T	1.35E+00	1.35E+00
CPCT02050091T	7.38E-01	7.38E-01
CPCT02020406T	8.03E-01	8.02E-01
CPCT02020405T	1.45E+00	1.45E+00
CPCT02070052T	1.55E+00	1.55E+00
CPCT02060063T	1.50E+00	1.50E+00
CPCT02230004T	1.50E+00	1.50E+00
CPCT02300006T	1.50E+00	1.50E+00
CPCT02080066T	1.02E+00	1.02E+00
CPCT02010492T	5.24E-01	5.24E-01
CPCT02020460T	4.51E-01	4.52E-01
DRUP01010019T	1.94E+00	1.94E+00
CPCT02050133T	2.38E+00	2.38E+00
CPCT02050144T	4.35E+00	4.35E+00
CPCT02050286T	1.89E+00	1.89E+00
CPCT02130006T	2.02E+00	2.02E+00
CPCT02130003T	9.34E-01	9.34E-01
CPCT02340039T	1.79E+00	1.79E+00
CPCT02230075T	1.25E+00	1.25E+00
CPCT02080169T	1.44E+00	1.44E+00
CPCT02150005T	8.02E-01	8.03E-01
WIDE01010522T	7.31E-01	7.32E-01
WIDE01010696T	5.84E-01	5.84E-01
