Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
SP24708	2.81E+00	1.79E+00	3.32E+00	3.10E+00	8.67E-01	2.33E+00	0.00E+00	3.19E+00	4.82E+00
SP24301	4.15E+00	1.81E+00	4.36E+00	3.78E+00	1.48E+00	2.80E+00	3.47E-01	3.14E+00	5.15E+00
SP27201	1.75E+00	1.99E+00	2.76E+00	3.42E+00	9.28E-01	2.11E+00	1.87E-01	2.93E+00	4.19E+00
SP28791	3.48E-01	8.42E-01	1.01E+00	1.25E+00	4.60E-01	8.48E-01	0.00E+00	1.58E+00	1.68E+00
SP23739	1.34E+00	9.03E-01	1.38E+00	1.83E+00	9.33E-01	1.44E+00	0.00E+00	1.96E+00	2.44E+00
SP24702	3.31E+00	1.53E+00	3.68E+00	3.34E+00	1.08E+00	2.20E+00	0.00E+00	2.79E+00	4.35E+00
SP25332	1.00E+00	7.11E-01	1.26E+00	1.06E+00	7.79E-01	1.23E+00	2.63E-01	9.32E-01	1.56E+00
SP28335	1.03E+00	1.24E+00	1.83E+00	3.03E+00	8.32E-01	2.08E+00	1.50E-01	3.05E+00	4.53E+00
SP26709	2.84E+00	8.22E-01	2.85E+00	1.32E+00	7.33E-01	9.76E-01	1.00E-02	1.26E+00	1.35E+00
SP25350	6.37E-01	1.38E+00	1.74E+00	2.51E+00	8.01E-01	2.47E+00	2.49E-01	2.32E+00	3.91E+00
SP25380	1.97E+00	2.09E+00	2.44E+00	2.67E+00	8.99E-01	1.72E+00	4.34E-01	2.69E+00	2.90E+00
SP24565	5.55E-01	1.03E+00	1.31E+00	2.35E+00	8.77E-01	1.84E+00	0.00E+00	2.35E+00	3.80E+00
SP25833	2.66E+00	1.30E+00	2.78E+00	2.88E+00	9.64E-01	2.30E+00	0.00E+00	3.06E+00	4.21E+00
SP25905	7.03E-01	9.20E-01	1.00E+00	1.52E+00	9.25E-01	9.12E-01	0.00E+00	2.01E+00	1.58E+00
SP26439	9.05E-01	6.87E-01	1.20E+00	1.23E+00	9.08E-01	5.73E-01	1.91E-01	1.36E+00	1.54E+00
SP24236	2.68E+00	2.47E+00	3.30E+00	4.33E+00	7.27E-01	2.06E+00	0.00E+00	3.82E+00	4.10E+00
SP23925	1.90E+00	6.68E+00	3.80E+00	4.38E+00	1.92E+00	6.65E+00	0.00E+00	2.82E+00	8.05E+00
SP24815	2.20E+00	2.04E+00	3.09E+00	4.80E+00	1.26E+00	2.84E+00	3.62E-01	3.94E+00	6.24E+00
SP27957	1.56E+00	1.45E+00	1.59E+00	2.43E+00	1.02E+00	1.48E+00	1.94E-01	2.66E+00	2.91E+00
SP27603	9.71E-01	1.44E+00	2.04E+00	3.14E+00	1.03E+00	1.92E+00	0.00E+00	3.20E+00	3.76E+00
SP27825	1.82E+00	1.94E+00	2.69E+00	4.04E+00	1.11E+00	2.45E+00	0.00E+00	3.61E+00	5.72E+00
SP24135	1.68E+00	2.33E+00	3.07E+00	5.55E+00	4.06E+00	3.76E+00	4.53E-01	4.79E+00	7.64E+00
SP26499	8.06E-01	9.96E-01	1.49E+00	1.61E+00	7.97E-01	9.55E-01	6.31E-02	1.62E+00	1.63E+00
SP25518	2.16E+00	2.23E+00	2.45E+00	3.39E+00	1.18E+00	1.49E+00	4.61E-01	3.27E+00	2.44E+00
SP28659	2.13E+00	2.24E+00	2.89E+00	4.02E+00	4.36E+00	3.00E+00	0.00E+00	4.56E+00	6.38E+00
SP23622	1.46E+00	1.52E+00	2.38E+00	3.22E+00	6.31E-01	2.49E+00	5.57E-01	3.08E+00	4.97E+00
SP27939	1.56E+00	1.18E+00	2.27E+00	3.02E+00	7.92E-01	1.96E+00	0.00E+00	3.39E+00	4.79E+00
SP23754	5.90E-01	7.11E-01	7.26E-01	9.18E-01	5.20E-01	5.41E-01	0.00E+00	1.28E+00	1.18E+00
SP29697	1.70E+00	1.12E+00	1.92E+00	1.96E+00	7.05E-01	1.37E+00	0.00E+00	1.95E+00	2.60E+00
SP27339	1.89E+00	1.26E+00	2.98E+00	3.11E+00	9.26E-01	2.28E+00	5.72E-01	2.73E+00	4.44E+00
SP29559	1.91E+00	1.12E+00	2.37E+00	1.85E+00	4.33E+00	1.46E+00	3.61E-01	4.25E+00	1.24E+00
SP29331	1.68E+00	1.53E+00	2.30E+00	2.62E+00	1.10E+00	1.85E+00	0.00E+00	3.02E+00	3.16E+00
SP26475	2.44E+00	1.38E+00	3.03E+00	2.79E+00	6.81E-01	1.74E+00	7.00E-02	2.86E+00	3.39E+00
SP23775	2.29E+00	2.27E+00	3.47E+00	3.64E+00	4.82E+00	2.68E+00	0.00E+00	4.31E+00	4.67E+00
SP28275	1.50E+00	9.69E-01	2.21E+00	2.67E+00	1.11E+00	1.66E+00	0.00E+00	1.72E+00	2.28E+00
SP28581	2.14E+00	1.81E+00	2.57E+00	3.08E+00	1.07E+00	1.70E+00	0.00E+00	2.46E+00	3.69E+00
SP23639	2.35E+00	1.72E+00	3.00E+00	3.75E+00	1.16E+00	2.52E+00	2.63E-01	3.23E+00	4.79E+00
SP24391	2.29E+00	1.54E+00	2.83E+00	2.99E+00	1.22E+00	1.83E+00	2.34E-01	3.31E+00	3.83E+00
SP28041	2.07E+00	2.05E+00	2.45E+00	3.27E+00	1.02E+00	2.03E+00	0.00E+00	3.18E+00	4.26E+00
SP25494	4.03E+00	4.40E+00	4.64E+00	7.27E+00	6.65E+00	3.04E+00	3.61E-01	9.33E+00	6.34E+00
SP26649	1.72E+00	1.58E+00	3.21E+00	4.21E+00	9.43E-01	4.23E+00	0.00E+00	3.27E+00	7.87E+00
SP78927	1.55E+00	3.14E-01	1.64E+00	4.52E-01	2.34E-01	2.02E-01	0.00E+00	3.90E-01	4.19E-01
SP78913	8.53E-01	2.62E-01	9.36E-01	6.09E-01	4.83E-01	2.40E-01	0.00E+00	4.36E-01	4.80E-01
SP107375	1.70E+00	5.72E-01	2.04E+00	1.38E+00	8.99E-01	4.78E-01	0.00E+00	1.21E+00	1.29E+00
SP107408	4.92E+00	1.25E+00	5.51E+00	2.69E+00	7.33E-01	7.26E-01	3.44E-01	9.83E-01	7.39E-01
SP107439	2.69E+00	5.71E-01	1.21E+00	9.09E+00	3.72E-01	4.34E-01	5.22E-01	8.98E+00	1.09E+01
SP78816	1.25E+00	1.88E-01	1.24E+00	1.51E-01	3.50E-01	2.99E-01	0.00E+00	2.04E-01	2.47E-01
SP78663	3.49E+00	3.80E-01	3.42E+00	1.49E+00	7.28E-01	6.29E-01	0.00E+00	6.18E-01	8.91E-01
SP78709	2.76E+00	3.95E-01	2.99E+00	1.62E+00	5.56E-01	3.59E-01	0.00E+00	4.87E-01	4.14E-01
SP107462	3.90E+00	4.66E-01	4.54E+00	2.47E+00	4.84E-01	2.32E-01	0.00E+00	8.92E-01	5.14E-01
SP78951	2.21E+00	5.02E-01	2.48E+00	1.22E+00	3.53E-01	3.12E-01	3.00E-02	5.97E-01	3.84E-01
SP107435	2.12E+00	6.44E-01	2.11E+00	1.32E+00	4.60E-01	7.06E-01	0.00E+00	1.03E+00	1.13E+00
SP78679	1.44E+00	1.03E+00	1.92E+00	1.75E+00	4.70E-01	6.41E-01	0.00E+00	1.01E+00	1.14E+00
SP107360	3.41E+00	1.15E+00	4.47E+00	3.15E+00	8.55E-01	8.76E-01	7.36E-01	4.24E-01	1.15E+00
SP78819	3.78E-01	2.96E-01	6.02E-01	4.51E-01	4.86E-02	2.52E-01	0.00E+00	4.69E-01	5.08E-01
SP78821	2.17E+00	4.52E-01	2.36E+00	1.35E+00	2.46E-01	2.95E-01	2.51E-01	9.87E-01	8.49E-01
SP107552	1.52E+00	1.42E-01	1.80E+00	8.42E-01	3.71E-01	2.72E-01	0.00E+00	5.07E-01	6.07E-01
SP78865	9.03E-01	2.34E-01	1.69E+00	1.29E+00	3.69E-01	1.53E-01	1.00E-02	4.78E-01	9.43E-01
SP107470	2.71E+00	8.68E-01	3.01E+00	1.35E+00	8.09E-02	4.22E-01	2.25E-01	5.31E-01	4.47E-01
SP78673	2.44E-01	2.40E-01	5.39E-01	7.26E-01	3.87E-01	4.15E-01	0.00E+00	5.08E-01	6.86E-01
SP78824	1.12E+00	2.34E-01	1.24E+00	7.11E-01	4.09E-01	1.87E-01	3.00E-02	4.48E-01	1.49E-01
SP107550	8.82E-01	4.28E-01	1.01E+00	8.24E-01	0.00E+00	7.82E-02	0.00E+00	4.36E-01	4.14E-01
SP78718	4.38E+00	8.79E-01	4.69E+00	1.99E+00	2.52E-01	2.73E-01	1.13E-01	6.21E-01	5.12E-01
SP107451	1.81E+00	4.28E-01	2.06E+00	1.35E+00	3.75E-01	2.77E-01	1.00E-01	3.18E-01	5.15E-01
SP107557	1.65E+00	3.05E-01	1.82E+00	9.39E-01	4.28E-01	4.87E-02	0.00E+00	4.94E-01	4.51E-01
SP107358	8.58E-01	3.91E-01	1.24E+00	8.89E-01	6.43E-01	5.94E-01	2.22E-01	7.45E-01	7.69E-01
SP78731	1.16E+00	3.04E-01	1.57E+00	9.01E-01	3.52E-01	1.19E-01	0.00E+00	4.24E-01	5.33E-01
