Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
WIDE01010401T	51	81	103	142	74	68	8
CPCT02230105T	11	11	48	22	124	5	11
CPCT02080223T	37	99	10	674	159	5	5
CPCT02020730T	21	70	178	299	201	19	7
CPCT02010831T	280	129	1446	302	112	27	140
WIDE01010428T	27	85	31	27	59	15	11
CPCT02290039T	1300	1045	29	77	290	39	72
CPCT02010843T	39	33	12	22	209	16	4
CPCT02130103T	49	367	30	223	213	19	0
CPCT02070337T	59	57	52	454	161	14	37
WIDE01010440T	3	61	47	97	50	8	24
WIDE01010404T	203	308	76	0	145	27	27
CPCT02080229T	38	86	293	41	149	44	29
CPCT02050363T	76	295	73	0	225	39	23
CPCT02040250T	35	149	4	52	143	5	11
CPCT02040251T	36	60	210	26	161	27	6
CPCT02260022T	411	551	7	40	57	33	56
CPCT02340090T	139	313	27	47	57	35	25
CPCT02450013T	31	105	14	52	140	40	0
CPCT02070347T	85	391	84	284	160	60	24
CPCT02060140T	7	58	74	18	115	19	7
CPCT02020720T	1	41	15	9	101	11	0
CPCT02230109T	420	766	0	0	191	47	94
DRUP01090019T	324	371	152	169	93	76	23
CPCT02120144T	16	19	43	181	46	0	7
CPCT02080240T	51	385	272	112	41	12	10
CPCT02130125T	47	122	60	118	87	52	22
CPCT02070355T	10	19	23	23	102	14	9
CPCT02010872T	9	18	35	4	106	28	7
CPCT02010878T	27	191	133	0	185	24	23
CPCT02090054T	792	1158	536	152	120	196	528
CPCT02330117T	301	356	42	233	69	68	12
CPCT02170031T	352	998	0	0	109	49	52
CPCT02020765T	8	104	0	479	108	0	11
CPCT02010851T	5	21	28	0	193	3	1
CPCT02020756T	17	24	98	145	144	22	6
DRUP01170001T	62	604	168	0	135	0	15
WIDE01010617T	189	223	97	79	48	50	26
WIDE01010627T	7	51	41	78	36	29	9
CPCT02030502T	38	61	139	65	63	21	32
CPCT02030507T	242	144	15	29	120	23	16
WIDE01010595T	99	850	0	59	55	43	8
CPCT02040273T	4	156	41	104	75	32	28
CPCT02030520T	55	260	34	137	107	47	5
CPCT02110075T	825	921	0	44	175	44	83
CPCT02290050T	154	205	73	53	176	32	17
CPCT02290053T	4	75	6	20	132	5	6
CPCT02080257T	39	97	37	45	84	12	2
