MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
1:Del:C:0	1.11E-03	7.65E-04	6.60E-04	1.50E-03	4.16E-03	2.73E-03	3.07E-03	3.83E-03	4.34E-03	4.60E-03
1:Del:C:1	6.34E-04	6.43E-04	7.21E-04	1.66E-03	4.78E-03	4.19E-03	3.48E-03	3.48E-03	2.62E-03	2.86E-03
1:Del:C:2	3.16E-04	3.37E-04	7.75E-04	8.68E-04	3.35E-03	2.80E-03	2.54E-03	3.10E-03	2.55E-03	1.53E-03
1:Del:C:3	2.80E-04	3.43E-04	4.14E-04	7.65E-04	1.53E-03	1.77E-03	1.33E-03	1.74E-03	9.22E-04	9.34E-04
1:Del:C:4	1.37E-04	1.61E-04	1.76E-04	3.30E-04	1.17E-03	1.16E-03	9.17E-04	1.21E-03	7.74E-04	1.25E-03
1:Del:C:5	7.90E-04	3.76E-04	4.71E-04	8.10E-04	4.47E-04	6.84E-04	8.74E-04	6.87E-04	7.49E-04	6.42E-04
1:Del:T:0	7.51E-04	6.70E-04	8.38E-04	1.86E-03	3.35E-03	2.44E-03	3.94E-03	3.60E-03	5.07E-03	2.30E-03
1:Del:T:1	5.99E-04	4.48E-04	9.26E-04	1.37E-03	2.36E-03	1.96E-03	3.01E-03	3.12E-03	3.24E-03	1.53E-03
1:Del:T:2	1.16E-03	5.02E-04	6.36E-04	1.42E-03	2.87E-03	2.39E-03	1.96E-03	3.94E-03	2.76E-03	4.10E-03
1:Del:T:3	7.85E-04	1.36E-04	5.65E-04	9.91E-04	2.58E-03	1.63E-03	1.96E-03	3.03E-03	2.97E-03	2.49E-03
1:Del:T:4	1.45E-03	3.15E-04	5.88E-04	1.64E-03	2.68E-03	1.36E-03	1.82E-03	2.03E-03	2.20E-03	2.78E-03
1:Del:T:5	7.57E-03	3.09E-03	1.85E-03	1.19E-02	1.88E-03	2.07E-03	1.76E-03	2.80E-03	1.23E-03	1.45E-03
