"TCGA-EW-A2FV-01A-11D-A17D-09"	"TCGA-D8-A27V-01A-12D-A17D-09"	"TCGA-13-0889-01A-01W-0420-08"
"DEL:C:1:0"	77	69	0
"DEL:C:1:1"	443	319	0
"DEL:C:1:2"	594	388	0
"DEL:C:1:3"	553	377	0
"DEL:C:1:4"	393	201	0
"DEL:C:1:5+"	85	47	0
"DEL:T:1:0"	91	73	0
"DEL:T:1:1"	289	274	0
"DEL:T:1:2"	475	399	0
"DEL:T:1:3"	503	408	0
"DEL:T:1:4"	391	325	0
"DEL:T:1:5+"	298	205	0
"INS:C:1:0"	0	0	165
"INS:C:1:1"	0	0	146
"INS:C:1:2"	0	0	164
"INS:C:1:3"	0	0	75
"INS:C:1:4"	0	0	47
"INS:C:1:5+"	0	0	20
"INS:T:1:0"	0	0	50
"INS:T:1:1"	0	0	142
"INS:T:1:2"	0	0	113
"INS:T:1:3"	0	0	94
"INS:T:1:4"	0	0	48
"INS:T:1:5+"	0	0	21
"DEL:repeats:2:0"	0	0	0
"DEL:repeats:2:1"	0	0	0
"DEL:repeats:2:2"	0	0	0
"DEL:repeats:2:3"	0	0	0
"DEL:repeats:2:4"	0	0	0
"DEL:repeats:2:5+"	0	0	0
"DEL:repeats:3:0"	0	0	0
"DEL:repeats:3:1"	0	0	0
"DEL:repeats:3:2"	0	1	0
"DEL:repeats:3:3"	0	0	0
"DEL:repeats:3:4"	0	0	0
"DEL:repeats:3:5+"	0	0	0
"DEL:repeats:4:0"	0	0	0
"DEL:repeats:4:1"	0	0	0
"DEL:repeats:4:2"	0	0	0
"DEL:repeats:4:3"	0	0	0
"DEL:repeats:4:4"	0	0	0
"DEL:repeats:4:5+"	0	0	0
"DEL:repeats:5+:0"	1	1	0
"DEL:repeats:5+:1"	0	0	0
"DEL:repeats:5+:2"	0	0	0
"DEL:repeats:5+:3"	0	0	0
"DEL:repeats:5+:4"	0	0	0
"DEL:repeats:5+:5+"	0	0	0
"INS:repeats:2:0"	0	0	0
"INS:repeats:2:1"	0	0	0
"INS:repeats:2:2"	0	0	0
"INS:repeats:2:3"	0	0	0
"INS:repeats:2:4"	0	0	0
"INS:repeats:2:5+"	0	0	0
"INS:repeats:3:0"	0	0	0
"INS:repeats:3:1"	0	0	0
"INS:repeats:3:2"	0	0	0
"INS:repeats:3:3"	0	0	0
"INS:repeats:3:4"	0	0	0
"INS:repeats:3:5+"	0	0	0
"INS:repeats:4:0"	0	0	0
"INS:repeats:4:1"	0	0	0
"INS:repeats:4:2"	0	0	0
"INS:repeats:4:3"	0	0	0
"INS:repeats:4:4"	0	0	0
"INS:repeats:4:5+"	0	0	0
"INS:repeats:5+:0"	0	0	0
"INS:repeats:5+:1"	0	0	0
"INS:repeats:5+:2"	0	0	0
"INS:repeats:5+:3"	0	0	0
"INS:repeats:5+:4"	0	0	0
"INS:repeats:5+:5+"	0	0	0
"DEL:MH:2:1"	0	0	0
"DEL:MH:3:1"	0	0	0
"DEL:MH:3:2"	0	0	0
"DEL:MH:4:1"	0	0	0
"DEL:MH:4:2"	0	0	0
"DEL:MH:4:3"	0	0	0
"DEL:MH:5+:1"	2	3	0
"DEL:MH:5+:2"	2	1	0
"DEL:MH:5+:3"	1	1	0
"DEL:MH:5+:4"	0	2	0
"DEL:MH:5+:5+"	0	1	0
