Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
SP116536	7.70E-01	6.38E-01	8.10E-01	6.56E-01	0.00E+00	1.02E-01	2.42E-01	1.03E+00	6.61E-01	6.06E-01
SP116539	4.77E-01	9.58E-02	4.49E-01	2.25E-01	0.00E+00	2.32E-01	1.37E-01	3.67E-01	3.56E-01	0.00E+00
SP116542	1.50E-01	2.39E-01	4.37E-01	2.23E-01	0.00E+00	0.00E+00	1.35E-01	6.20E-01	2.78E-01	4.49E-01
SP116545	0.00E+00	1.93E-01	4.40E-01	3.81E-01	0.00E+00	1.18E-01	9.20E-02	2.50E-01	4.55E-02	1.76E-01
SP116548	3.22E-01	3.66E-01	4.38E-01	3.55E-01	0.00E+00	7.64E-02	7.44E-02	5.25E-01	4.05E-01	3.19E-01
SP116550	1.45E-01	8.39E-02	1.35E-01	0.00E+00	5.80E-02	0.00E+00	0.00E+00	7.66E-02	0.00E+00	1.56E-01
SP116553	2.39E-01	3.82E-01	3.93E-01	1.60E-01	8.15E-02	2.38E-01	2.41E-01	4.75E-01	1.31E-01	3.54E-01
SP116557	0.00E+00	0.00E+00	1.81E-01	0.00E+00	1.44E-01	1.99E-01	6.31E-02	2.64E-01	0.00E+00	1.51E-01
SP116559	1.46E-01	3.39E-01	6.05E-01	2.94E-01	0.00E+00	0.00E+00	1.91E-01	5.50E-01	3.86E-01	3.07E-01
SP116562	4.32E-01	4.33E-01	2.47E-01	1.80E-01	1.89E-01	1.58E-01	0.00E+00	5.32E-01	3.79E-01	4.23E-01
SP116564	3.23E-01	3.10E-01	4.18E-01	3.83E-01	1.65E-01	3.85E-01	2.51E-01	6.19E-01	3.50E-01	5.27E-01
SP116571	2.14E-01	1.46E-01	3.03E-01	3.50E-01	0.00E+00	1.44E-01	1.53E-01	2.97E-01	2.61E-01	2.65E-01
SP116393	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	7.30E-02	7.77E-02	6.87E-02	1.00E-02	3.55E-02
SP116442	0.00E+00	0.00E+00	1.21E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.17E-01	0.00E+00	8.26E-02
SP116446	0.00E+00	9.36E-02	1.04E-01	1.04E-01	0.00E+00	9.43E-02	2.65E-01	2.50E-01	5.70E-02	1.58E-01
SP116419	7.59E-01	2.96E-01	1.13E+00	6.46E-01	0.00E+00	4.03E-01	4.95E-01	1.12E+00	9.40E-01	8.09E-01
SP116383	2.36E+00	1.61E+00	1.53E+00	2.27E+00	1.76E-01	1.36E+00	9.61E-01	2.41E+00	1.94E+00	1.90E+00
SP116385	9.81E-01	8.02E-01	9.21E-01	6.35E-01	0.00E+00	8.41E-01	7.31E-01	2.17E+00	5.35E-01	1.80E+00
SP116440	1.09E+00	7.12E-01	8.67E-01	6.11E-01	0.00E+00	5.15E-01	7.47E-01	2.31E+00	8.87E-01	1.94E+00
SP116450	2.10E+00	1.47E+00	1.68E+00	1.38E+00	1.78E-01	4.47E-01	9.18E-01	2.36E+00	1.43E+00	1.74E+00
SP116493	2.37E-01	5.87E-01	8.02E-01	2.91E-01	0.00E+00	2.39E-01	4.57E-01	1.00E+00	5.12E-01	5.14E-01
SP116391	4.16E-01	4.75E-01	6.58E-01	5.75E-01	0.00E+00	2.49E-01	3.08E-01	6.50E-01	2.46E-01	1.97E-01
SP116401	6.29E-01	4.49E-01	4.82E-01	3.03E-01	0.00E+00	8.69E-02	3.99E-01	5.55E-01	4.00E-01	5.17E-01
