MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
1:Del:C:0	7.81E-05	2.85E-05	3.29E-04	1.99E-03	3.51E-03	1.31E-03	1.01E-03	3.66E-04
1:Del:C:1	3.13E-05	2.78E-05	1.53E-04	1.45E-03	2.00E-03	5.20E-04	6.94E-04	2.10E-04
1:Del:C:2	6.34E-05	3.57E-05	1.31E-04	9.35E-04	1.30E-03	6.76E-04	4.81E-04	1.72E-04
1:Del:C:3	2.33E-04	7.13E-05	5.54E-05	1.43E-03	6.74E-04	2.17E-04	2.45E-04	1.25E-04
1:Del:C:4	6.14E-04	1.61E-04	4.01E-05	3.70E-03	1.70E-03	2.38E-04	1.93E-04	1.12E-04
1:Del:C:5	1.13E-03	3.85E-04	9.96E-05	6.14E-03	3.91E-03	2.86E-05	3.06E-04	7.29E-05
1:Del:T:0	5.73E-05	9.73E-06	5.00E-05	1.82E-03	2.30E-03	5.71E-04	8.54E-04	2.20E-04
1:Del:T:1	4.11E-05	3.07E-05	1.66E-04	1.29E-03	1.59E-03	5.91E-04	5.50E-04	1.62E-04
1:Del:T:2	5.93E-05	3.60E-04	2.02E-04	9.70E-04	1.30E-03	3.65E-04	4.95E-04	1.97E-04
1:Del:T:3	2.50E-04	9.11E-04	1.07E-05	6.03E-04	9.36E-04	4.77E-04	4.43E-04	2.60E-04
1:Del:T:4	5.27E-04	1.11E-03	2.10E-04	1.88E-03	1.22E-03	4.09E-04	2.15E-04	3.60E-04
1:Del:T:5	3.88E-03	8.44E-03	3.39E-03	6.05E-03	2.49E-02	2.57E-03	5.55E-04	1.65E-03
1:Ins:C:0	1.20E-05	3.07E-05	6.04E-04	2.06E-03	4.75E-03	4.15E-04	1.53E-03	1.39E-04
1:Ins:C:1	4.21E-06	6.44E-06	8.69E-05	5.91E-04	1.34E-03	1.59E-04	5.08E-04	9.17E-05
1:Ins:C:2	1.77E-06	6.89E-06	3.23E-05	1.23E-04	3.09E-04	9.58E-05	1.44E-04	8.49E-05
1:Ins:C:3	1.02E-05	8.33E-06	5.93E-05	2.00E-04	5.06E-04	1.06E-04	2.00E-04	2.91E-05
1:Ins:C:4	6.33E-05	2.30E-05	2.54E-04	5.60E-04	4.79E-04	8.57E-05	2.01E-04	2.93E-05
1:Ins:C:5	2.28E-04	1.19E-04	1.18E-03	2.08E-03	1.70E-03	2.96E-04	5.79E-04	7.19E-05
1:Ins:T:0	3.22E-05	5.35E-05	2.35E-04	1.16E-03	2.97E-03	2.97E-04	9.84E-04	1.56E-04
1:Ins:T:1	1.15E-05	1.70E-05	1.18E-04	1.64E-03	2.10E-03	9.74E-04	6.16E-04	1.53E-04
1:Ins:T:2	6.65E-05	4.82E-05	3.74E-04	1.05E-03	1.33E-03	8.30E-04	5.57E-04	1.20E-04
1:Ins:T:3	3.17E-05	4.93E-05	1.44E-04	4.75E-04	8.74E-04	4.30E-04	3.58E-04	6.62E-05
1:Ins:T:4	2.88E-05	3.06E-04	3.40E-04	4.09E-04	4.70E-04	2.07E-04	2.53E-04	4.56E-05
1:Ins:T:5	1.57E-03	6.07E-03	3.79E-03	1.55E-02	1.77E-02	2.07E-03	1.28E-03	1.18E-03
2:Del:R:0	6.64E-05	4.94E-06	5.76E-05	7.18E-04	1.00E-03	2.79E-04	4.04E-04	1.56E-04
2:Del:R:1	1.65E-04	2.95E-05	5.25E-04	1.09E-03	1.62E-03	1.21E-03	4.76E-04	1.94E-04
2:Del:R:2	5.65E-05	1.89E-05	1.01E-04	3.18E-04	4.74E-04	2.35E-04	2.00E-04	7.36E-05
2:Del:R:3	1.50E-04	6.35E-05	2.24E-05	5.78E-04	1.29E-03	8.94E-05	1.58E-04	7.16E-05
2:Del:R:4	1.85E-04	3.39E-05	3.89E-05	8.53E-04	1.21E-03	5.07E-05	9.96E-05	3.60E-05
2:Del:R:5	7.28E-04	6.40E-08	3.90E-05	3.10E-03	7.98E-03	1.36E-04	3.82E-04	8.14E-05
3:Del:R:0	2.06E-05	2.01E-06	2.70E-05	4.80E-04	5.51E-04	3.76E-04	2.87E-04	1.06E-04
3:Del:R:1	1.61E-04	2.93E-05	5.29E-04	1.28E-03	1.55E-03	1.27E-03	4.61E-04	1.35E-04
3:Del:R:2	6.12E-05	1.08E-05	9.34E-05	4.65E-04	3.78E-04	3.25E-04	1.90E-04	7.45E-05
3:Del:R:3	2.07E-05	3.17E-06	6.52E-05	1.27E-04	1.77E-04	1.08E-04	1.20E-04	1.93E-05
