Samples	ID1	ID2	ID3	ID8	ID9	ID12	ID14	ID19	ID21	ID23
SP85623	5	5	0	12	0	14	0	0	0	32
SP85491	0	0	0	23	0	0	0	0	0	75
SP87582	8	0	15	0	0	23	0	0	17	0
SP89090	17	0	0	0	0	0	0	0	0	55
SP85511	21	0	0	44	0	0	0	0	41	51
SP85952	7	0	0	15	12	0	0	0	21	0
SP85840	0	0	0	0	31	24	0	0	37	0
SP87675	14	0	0	0	24	0	0	0	29	0
SP85836	11	0	0	21	24	0	0	0	43	56
SP120767	8	0	0	30	32	0	0	0	38	30
SP105708	7	8	18	17	13	15	0	0	18	0
SP85818	0	0	0	0	0	2	0	0	0	0
SP105922	0	0	18	0	19	0	0	0	24	0
SP86118	0	11	50	33	0	0	0	0	0	0
SP86306	35	0	59	26	0	0	0	0	39	0
SP87099	17	17	0	26	43	0	0	0	0	0
SP87434	12	0	0	0	22	0	0	0	0	36
SP85864	5	0	0	0	0	19	0	0	0	0
SP105807	14	0	0	0	0	0	0	0	40	50
SP89291	6	0	14	0	0	17	0	0	15	0
SP88050	10	0	17	0	0	15	0	0	0	0
SP88593	0	0	0	0	32	19	0	0	21	0
SP88158	0	0	16	0	13	0	0	0	0	0
SP87534	48	0	0	40	44	0	0	0	53	0
SP88776	7	0	0	17	23	0	0	0	56	0
SP85725	13	0	0	0	0	0	0	0	23	48
SP86660	28	0	0	24	53	0	0	0	57	0
SP87903	11	0	0	0	0	0	0	0	0	37
SP88098	31	0	43	47	0	0	0	0	0	0
SP85487	142	0	0	0	99	0	0	0	0	0
SP105759	5	7	0	12	17	0	0	0	19	0
SP86775	0	0	0	6	0	6	0	0	0	8
SP88322	15	0	32	0	0	0	0	0	46	0
SP85582	10	0	0	11	15	26	0	0	25	0
SP87446	65	0	92	44	0	0	0	0	0	0
SP87337	0	0	0	0	19	0	0	0	21	0
SP86929	30	0	54	30	0	0	0	0	43	0
SP86130	6	0	15	0	0	22	0	0	30	0
SP86425	19	18	99	0	0	0	0	0	0	0
SP85495	0	0	0	0	8	21	0	0	0	0
SP85787	0	0	0	0	21	20	0	0	0	0
SP86836	0	0	0	0	0	16	0	0	0	0
SP89245	4	0	0	0	11	0	0	0	17	0
SP86989	17	0	0	39	50	0	0	0	45	0
SP88757	0	0	0	12	18	0	0	0	29	0
SP85733	0	0	35	22	0	0	0	0	42	0
SP85737	0	0	0	12	0	0	0	0	13	0
SP85647	5	0	25	11	0	26	0	0	0	0
CPCT02011098T	47	0	0	31	0	0	0	67	43	0
WIDE01010618T	880	136	0	0	0	0	0	0	0	0
WIDE01010310T	387	370	0	0	0	0	0	0	0	0
CPCT02080230T	136	0	0	96	0	0	0	157	0	0
CPCT02010914T	53	0	0	52	0	0	0	125	0	0
DRUP01010057T	185	84	0	206	0	0	0	226	0	0
CPCT02010635T	138	63	0	205	0	0	0	343	0	0
WIDE01010556T	936	2090	0	0	0	0	900	0	0	0
WIDE01010540T	286	58	0	167	0	0	0	0	0	0
