MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
1:Del:C:0	2.58E-03	2.30E-03	5.08E-04	2.31E-03	1.03E-03	1.15E-03	1.21E-02	4.00E-03	5.28E-03	2.46E-03	3.22E-03	3.14E-03	5.35E-03	5.26E-03	1.86E-03	3.83E-03	7.82E-03	2.78E-03
1:Del:C:1	4.84E-04	5.12E-04	4.36E-04	8.42E-04	6.37E-04	5.26E-04	5.73E-03	1.50E-03	5.83E-03	2.15E-03	2.60E-03	1.13E-03	1.78E-03	3.33E-03	1.05E-03	2.28E-03	4.32E-03	1.58E-03
1:Del:C:2	3.20E-04	4.05E-04	2.79E-04	6.80E-04	2.83E-04	3.36E-04	2.82E-03	7.40E-04	4.12E-03	1.78E-03	1.05E-03	1.33E-03	1.96E-03	2.97E-03	6.36E-04	2.03E-03	2.49E-03	6.57E-04
1:Del:C:3	4.27E-04	7.35E-04	2.73E-04	8.65E-04	8.94E-05	1.37E-04	1.42E-03	6.36E-04	2.61E-03	1.09E-03	9.61E-04	4.67E-04	1.26E-03	1.09E-03	3.37E-04	1.28E-03	1.94E-03	1.13E-03
1:Del:C:4	1.08E-03	2.41E-03	1.92E-04	5.07E-04	2.25E-04	4.47E-05	1.21E-03	1.23E-03	1.67E-03	3.67E-04	1.85E-03	1.42E-03	3.92E-03	7.56E-04	1.68E-04	9.56E-04	1.74E-03	2.73E-03
1:Del:C:5	2.81E-03	5.49E-03	4.09E-04	3.47E-04	1.14E-04	1.08E-04	5.35E-04	2.37E-03	5.62E-04	4.01E-04	4.17E-03	3.19E-03	2.48E-03	6.17E-04	2.84E-04	1.15E-03	2.85E-03	4.24E-03
1:Del:T:0	4.39E-04	9.83E-04	1.01E-04	1.46E-03	1.14E-03	4.87E-04	3.04E-03	1.43E-03	3.44E-03	3.22E-03	4.10E-03	2.43E-03	3.75E-03	5.32E-03	1.68E-03	3.20E-03	2.70E-03	2.05E-03
1:Del:T:1	4.54E-04	8.75E-04	4.14E-04	1.46E-03	7.79E-04	3.81E-04	3.80E-03	1.30E-03	3.81E-03	3.01E-03	2.59E-03	1.57E-03	4.05E-03	5.76E-03	1.51E-03	3.20E-03	2.65E-03	1.87E-03
1:Del:T:2	8.63E-04	1.37E-03	3.20E-04	1.20E-03	2.36E-04	4.22E-04	3.68E-03	1.15E-03	3.00E-03	2.69E-03	2.62E-03	1.81E-03	4.72E-03	5.37E-03	8.08E-04	3.49E-03	2.39E-03	2.14E-03
1:Del:T:3	1.69E-03	2.27E-03	3.20E-04	6.79E-04	2.19E-04	4.81E-04	3.39E-03	1.84E-03	2.91E-03	1.85E-03	2.66E-03	3.15E-03	5.61E-03	5.09E-03	1.33E-03	3.37E-03	3.18E-03	3.19E-03
1:Del:T:4	2.07E-03	3.91E-03	3.70E-04	3.01E-04	3.14E-04	4.09E-04	2.00E-03	3.21E-03	1.62E-03	1.39E-03	1.05E-03	4.13E-03	9.99E-03	2.65E-03	1.05E-03	1.65E-03	2.44E-03	6.03E-03
1:Del:T:5	1.11E-02	2.20E-02	1.15E-03	2.69E-03	1.44E-03	6.99E-04	4.81E-03	1.17E-02	1.03E-03	1.80E-03	2.13E-03	2.23E-02	9.26E-03	1.80E-03	3.29E-03	2.07E-03	1.38E-03	2.40E-03
1:Ins:C:0	2.46E-04	3.43E-04	2.41E-04	2.74E-04	5.61E-47	1.66E-04	1.21E-03	1.17E-03	4.35E-04	3.24E-08	6.19E-04	2.81E-04	5.74E-04	4.56E-04	5.86E-03	8.75E-04	1.67E-03	3.36E-04
