Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,1.0,0.99,NO,N/A,268000.0%,38.88%,128.58%,36.42%,101.34,0.1989,1.4273,0.109,0.711,0.867,0.17
3,0.88,0.7,NO,N/A,133300.0%,35.06%,109.67%,30.06%,92.9,0.1714,0.8974,0.068,0.587,0.917,0.315
4,0.92,0.74,NO,N/A,87200.0%,31.69%,98.19%,27.09%,86.82,0.1451,0.7499,0.056,0.427,0.931,0.463
5,0.96,0.88,NO,N/A,75500.0%,27.89%,98.29%,20.3%,87.38,0.1173,0.7565,0.029,0.39,0.964,0.523
6,0.92,0.57,NO,N/A,65700.0%,24.69%,79.6%,17.39%,74.14,0.1038,0.5417,0.021,0.315,0.974,0.602
7,0.99,0.94,YES,4.87e-18,57300.0%,22.27%,66.32%,15.26%,58.66,0.0956,0.4909,0.017,0.169,0.979,0.748
8,0.89,0.18,NO,N/A,54400.0%,21.28%,66.03%,14.67%,49.01,0.092,0.4943,0.015,0.123,0.981,0.836
9,0.85,-0.05,NO,N/A,52100.0%,20.32%,64.56%,14.1%,47.96,0.0879,0.4936,0.014,0.118,0.983,0.839
10,0.78,-0.22,NO,N/A,51800.0%,19.9%,64.69%,13.46%,47.68,0.0852,0.4687,0.013,0.116,0.984,0.84
11,0.79,0.26,NO,N/A,52300.0%,19.44%,63.19%,12.96%,46.77,0.0819,0.4592,0.012,0.116,0.985,0.848
12*,0.85,0.35,YES,Most Stab Sigs,51000.0%,18.48%,64.39%,12.36%,47.3,0.0787,0.4618,0.011,0.119,0.986,0.848
13,0.82,0.13,NO,N/A,49400.0%,17.78%,61.55%,11.96%,46.49,0.0769,0.4526,0.01,0.113,0.987,0.842
14,0.78,-0.2,NO,N/A,39400.0%,17.45%,61.3%,11.72%,46.37,0.0738,0.4408,0.01,0.11,0.987,0.847
15,0.73,-0.07,NO,N/A,35800.0%,17.09%,61.24%,11.14%,46.59,0.0722,0.4387,0.009,0.111,0.988,0.845
16,0.72,-0.19,NO,N/A,34000.0%,16.73%,62.41%,11.0%,47.08,0.0706,0.4282,0.009,0.113,0.989,0.843
17,0.68,-0.11,NO,N/A,36500.0%,16.46%,61.48%,10.53%,43.71,0.0693,0.4301,0.008,0.101,0.99,0.878
18,0.64,-0.47,NO,N/A,35900.0%,16.06%,60.7%,10.35%,42.86,0.0684,0.4166,0.008,0.096,0.99,0.883
19,0.62,-0.38,NO,N/A,38100.0%,15.75%,60.6%,10.12%,43.46,0.0669,0.4158,0.007,0.099,0.991,0.879
20,0.6,-0.41,NO,N/A,41100.0%,15.23%,59.93%,9.75%,42.64,0.0656,0.3941,0.007,0.095,0.991,0.884
