MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
1:Del:C:0	0.0043321233408642	0.00019469121521979105	0.002911141434888123	0.004878567671839846	6.0621523152804004e-05	0.0007688272674840846	0.0033554729871684685	0.006441729377875163	0.015494156389468116	0.0005623733982793055	0.12926224552094936	0.01707312892191112	0.005917603257694281	0.07210382547229528	0.0451301858946681	0.04880424626171589	0.008897249288856983	0.00898730293069093
1:Del:C:1	0.0006505431151890661	0.0005787747025760837	0.0010884322864376371	0.0006969806809281565	0.00024390615879383404	5.546833684888952e-05	0.0021121035789292363	0.0014448791473841993	0.0016708629398272023	0.0005497587173522334	0.1831472112238407	0.01254730427172035	0.004774117821725667	0.013313110143353696	0.014906778302974998	0.022765531807672233	0.00218335233948892	0.002822073386414559
1:Del:C:2	0.00033059974161005814	0.0015913191553954674	0.0015306434580270433	0.0006423041741072666	0.00014087546285736606	0.00048357325149481765	0.0018866697563498748	0.00704143287264742	0.0011541141535872158	0.0001334310201491462	0.1637274719774723	0.005630218823207542	0.0013672783144284039	0.0004597248972277157	0.00713360317342449	0.004287913206676493	0.0012039896104138403	0.0015902678566635587
1:Del:C:3	0.0014375021528394427	0.004228795888517354	0.0072569241243036235	0.0015877597066872333	6.880433528294816e-05	0.0006562636894886964	0.006208350858692491	0.04034910994814709	0.008696129266536446	0.000316241441105376	0.05428770214319229	0.005123888074886054	0.0054412517679884335	0.0020136411732528357	0.0018059559643734246	0.004084308867750224	0.004922334966557926	0.0056586511389105
1:Del:C:4	0.005957565718563274	0.013359339563321556	0.0067438760279037524	0.004303189578204183	0.00011038468334390927	0.0002801673144858796	0.006834067512559158	0.10847666077017493	0.02574331587937195	0.0003592660922186042	0.03514643812552094	0.0015319178608478978	0.005942557918606326	0.001201952121919021	0.0011520501284667261	0.0018655493431031544	0.007798706850908143	0.010462900792408619
1:Del:C:5	0.04207174001312069	0.01975648752913824	0.015186727887735287	0.02375876778998645	1.1951885098824278e-05	0.004603005294629838	0.010924623383907602	0.26782023755833506	0.09878763956192416	0.0030704118685389403	0.007598584596744331	0.0017718966817483305	0.013263120610245096	0.0042584248547791505	0.00039943686337210236	0.001022045332356356	0.01888781065373367	0.03142448735437938
1:Del:T:0	0.0022495840830379166	0.00039339503426162993	0.002569019873772049	0.0032001498113095293	3.944471754948608e-06	0.0015438144929066765	0.0018355065526338876	0.0038986014887632337	0.008418334666930604	0.0005039480606683355	0.03988995760679245	0.01068202338181436	0.0019768392905825747	0.051202530632726846	0.03612044075503945	0.019035135236335918	0.006964454382250551	0.0061778475520259234
1:Del:T:1	0.0005472515760629904	0.001357112569239689	0.0029329253788091592	0.002681125793548515	9.534863784210756e-07	0.0007055867393501103	0.003263512871308194	0.007158347429940477	0.005491161035692153	5.018189236579928e-05	0.03154548180290746	0.00020161181106232107	0.005452872143941931	0.1018613933279994	0.035096901167999024	0.0076215591913205575	0.01035880371808374	0.00734145437629195
1:Del:T:2	0.00044516225889424277	0.001273295978862734	0.010879114702693187	0.0016108538639673497	0.00035148169910826255	0.0006572718311508652	0.025925558563321828	0.005911944436375052	0.0012582375460624463	0.0003348731553614925	0.021684000054374337	0.010738469236530363	0.045555247453739865	0.011571181059698574	0.01863779907114804	0.018734558667056263	0.004977225035338044	0.020709856711910106
1:Del:T:3	0.0011962122863042168	0.016558323499034487	0.026335907796747052	0.010454816306009891	0.0006015936421681545	0.001995822488097474	0.08194419965991984	0.021375311510037635	0.007126625660457648	0.0002533645039898147	0.022060784036293624	0.011149291016627103	0.07189828778617084	0.024551008054986598	0.01890608881600201	0.008683328524348326	0.008840569671592675	0.028736045104596996
1:Del:T:4	0.014939265080029145	0.0534692296013236	0.049510845844633875	0.03259638583811525	0.0009309739268792327	0.00370045543229935	0.1443891107966192	0.08073340308095794	0.01867219660713138	0.002351623876402289	0.006509047485706105	0.0049997494751005435	0.09391547163715586	0.008144152330914948	0.013600895316219492	0.004451248811383266	0.013023121396545321	0.0406458126015059
1:Del:T:5	0.8099987810850143	0.7935216543078423	0.800407822728157	0.7070054396614432	0.0043043809972931266	0.024299995051214558	0.42948371104811256	0.043187878275915956	0.41041756154191733	0.10696872172372889	2.43679154664278e-05	0.0686409414652735	0.2899442705322696	0.018170946116492014	0.004708789314703447	0.051687583703169365	0.010734070284596893	0.12209705792785953
1:Ins:C:0	0.00024308612382810678	0.0008843399885518011	0.0008839168275881093	0.0006987365537867074	0.0016002139571355655	0.00156591988139553	0.0009254377455636131	0.0013837201086099194	0.000922325515311968	0.0007355016072279306	0.004550480245670769	0.000180273677688092	0.0007993206622770166	0.0050286058540224806	0.0023793558246688927	0.5237838247418404	0.0016327095725864637	0.0021641650110905174
1:Ins:C:1	0.0001611511526425602	1.9908287665657553e-05	0.00039330236452769893	0.00011001735348600051	0.00011382095177395967	0.00035033455568282077	0.0001841083962972334	0.00035151141419191844	0.00045483248344226014	0.0017033614623142056	0.0045698310200896234	0.0015044804647914134	0.0001406705065892311	0.0021286827155563514	0.004301320399390534	0.015122904935851693	0.11815696582081728	0.00024039494576754805
1:Ins:C:2	4.6036616467972635e-05	3.589666246625711e-05	0.00042473592307942456	0.00010982395164319314	0.00023423772110618303	0.0005745805863284659	0.0003227230655011226	0.00025882508663926273	9.769591137228418e-05	0.0009441421749943401	0.004686654381221161	0.0004482907618512399	0.0005062120681031956	0.0013951981194668406	0.0009557238093111664	0.002272643582255114	0.07160912790510338	0.0007143472014831786
1:Ins:C:3	2.729035163383742e-05	0.00014656564680535667	0.0013692800105491187	0.0007120870005564939	0.00038042345957364884	0.0028261782028130254	0.001092059022266767	0.0015629822234768654	0.00021577076837274944	0.0019278218079125508	0.007667024512775242	6.435295224946458e-05	0.0012204701374594151	0.00022721756926330272	0.0007074701166857267	0.0009248902334365994	0.03734455550918938	0.0031012838767128415
1:Ins:C:4	0.0006647057593636419	0.0017122586101686467	0.002725416852044873	0.0013824447579099796	1.8995206628460436e-05	0.0013377625623252243	0.0009576937555357289	0.008342088674544357	0.0009786658753000665	0.1589770083129406	0.006671431646682322	0.0005909247657917734	0.0015465849052998238	3.8018256891518834e-05	5.330751726432936e-05	0.0007745658251524494	0.012177809209097177	0.0026243134116521105
1:Ins:C:5	0.00397929618586204	0.005190715955250198	0.02717862045043148	0.009491776512586512	0.011086127182934433	0.0673231568292249	0.016409034442185656	0.030364757862407714	0.007571534457674715	0.14328672759234906	0.005228715621633455	7.580057368613779e-05	0.010565425164531916	0.0059889927748008635	0.003124197939177975	4.378141660708934e-05	0.01367853206815198	0.018407039059093223
1:Ins:T:0	0.0006885409124879516	0.00014354895041947203	0.0004125490166916279	0.003541917501629541	0.00798940764796498	0.002697705873288214	0.0030667148384964094	0.001501996894585318	0.0033674119186616735	0.000258825246928609	0.02099603190086782	0.0	0.006587499751767609	0.05074161046184599	0.003509930180880474	0.03034055083990097	0.003922591881419067	0.012936930804571603
1:Ins:T:1	7.403268421057874e-05	0.0002624412070690596	8.962344983274307e-05	0.00031564079929921715	0.002255583752121311	0.000556774467586365	0.0005759581492020515	0.0003400534248794429	0.00070706373291614	0.0012486863349477062	0.05527771219611168	0.0016647180096333613	0.0006053994618923752	0.013190418619196863	0.004955937026243191	0.01440895497566089	0.16632184619276813	0.0016543652344262227
1:Ins:T:2	0.000337229523647693	0.0006968430294364225	0.0001212658673466649	0.006186150276334956	0.0012190879327863514	0.013578750801389105	0.0035120519555934624	0.01366212290026141	0.0018530019064201043	0.0013700080533635627	0.057144044041633604	0.0	0.007732378781656735	0.006421471990179271	0.0001644485617543978	0.002457150745758554	0.187049206293741	0.02973927742565138
1:Ins:T:3	0.0004122687732069608	0.00024194708789764262	7.228700422274415e-05	0.0034761402180447476	0.006048858580761589	0.006404341947927605	0.00319338918896392	0.006503489466849715	0.0014748702890938147	0.0006720150490036758	0.03131869237869978	0.0005332945405098144	0.010761150563484988	0.00958499456581194	0.0021755105444617585	0.0032060440366331023	0.10371154734515585	0.01959106697982895
