MutationType	ID83A	ID83B	ID83C	ID83D
1:Del:C:0	2.07E-04	7.45E-04	2.13E-04	2.19E-04
1:Del:C:1	3.06E-04	6.11E-04	5.13E-05	2.08E-04
1:Del:C:2	2.82E-04	6.15E-04	5.61E-05	1.07E-04
1:Del:C:3	9.42E-05	2.80E-04	6.65E-05	7.92E-05
1:Del:C:4	7.33E-05	2.17E-04	9.14E-05	6.15E-05
1:Del:C:5	3.91E-05	1.30E-04	1.76E-04	7.64E-05
1:Del:T:0	7.64E-05	2.69E-04	6.06E-05	2.54E-04
1:Del:T:1	5.68E-04	1.40E-47	4.02E-05	8.55E-04
1:Del:T:2	5.72E-05	1.62E-04	6.55E-05	1.51E-04
1:Del:T:3	8.86E-05	2.41E-04	8.53E-05	2.46E-04
1:Del:T:4	6.70E-05	2.66E-04	1.76E-04	2.10E-04
1:Del:T:5	2.59E-04	4.90E-04	2.54E-03	8.76E-04
1:Ins:C:0	5.93E-05	1.01E-04	5.65E-05	4.56E-04
1:Ins:C:1	2.74E-05	4.64E-05	2.17E-05	1.70E-04
1:Ins:C:2	2.32E-05	5.13E-05	8.67E-06	1.67E-04
1:Ins:C:3	1.59E-05	3.04E-05	1.07E-05	1.00E-04
1:Ins:C:4	1.72E-05	4.48E-05	3.60E-05	9.26E-05
1:Ins:C:5	5.72E-05	3.38E-04	1.71E-04	2.78E-04
1:Ins:T:0	7.76E-05	1.95E-04	4.35E-05	6.08E-04
1:Ins:T:1	7.65E-05	1.32E-04	2.36E-05	4.01E-04
1:Ins:T:2	1.08E-04	2.58E-04	8.87E-05	1.16E-04
1:Ins:T:3	5.54E-05	1.61E-04	6.73E-05	1.22E-04
1:Ins:T:4	3.33E-05	1.30E-04	6.13E-05	9.59E-05
1:Ins:T:5	4.35E-04	5.10E-03	2.45E-03	1.05E-03
2:Del:R:0	1.08E-04	6.75E-05	3.90E-04	1.55E-03
2:Del:R:1	1.78E-04	9.83E-06	2.19E-03	6.71E-03
2:Del:R:2	5.51E-05	5.61E-05	5.06E-04	1.65E-03
2:Del:R:3	1.74E-05	3.99E-05	1.55E-04	4.49E-04
2:Del:R:4	5.61E-06	2.19E-05	3.40E-05	8.93E-05
2:Del:R:5	4.28E-06	3.52E-05	7.20E-05	1.04E-04
3:Del:R:0	2.53E-05	5.15E-05	1.07E-05	9.77E-05
3:Del:R:1	6.79E-05	7.57E-05	6.98E-04	2.23E-03
3:Del:R:2	1.43E-05	2.46E-05	1.97E-04	6.37E-04
3:Del:R:3	6.12E-06	1.31E-05	5.96E-05	1.92E-04
3:Del:R:4	6.60E-06	1.09E-05	1.62E-05	6.89E-05
3:Del:R:5	7.62E-06	1.52E-05	1.42E-05	4.86E-05
4:Del:R:0	2.59E-05	8.07E-05	9.04E-06	1.10E-04
4:Del:R:1	2.85E-05	6.66E-05	3.12E-04	9.33E-04
4:Del:R:2	5.03E-06	4.00E-05	7.61E-05	2.07E-04
4:Del:R:3	7.79E-06	3.20E-05	2.76E-05	7.23E-05
4:Del:R:4	4.35E-06	1.42E-05	1.17E-05	5.58E-05
4:Del:R:5	2.96E-06	7.36E-06	1.22E-05	4.20E-05
5:Del:R:0	1.86E-04	1.23E-03	1.40E-47	2.42E-03
5:Del:R:1	3.09E-05	1.28E-04	2.90E-05	1.65E-04
5:Del:R:2	8.37E-06	2.72E-05	1.13E-05	6.20E-05
5:Del:R:3	2.21E-06	1.06E-05	1.10E-05	3.08E-05
5:Del:R:4	1.24E-06	6.21E-06	6.94E-06	1.64E-05
5:Del:R:5	1.83E-06	2.76E-06	3.73E-06	1.69E-05
2:Ins:R:0	6.69E-05	5.01E-04	3.44E-05	1.16E-03
2:Ins:R:1	3.13E-05	9.60E-05	1.34E-05	2.98E-04
2:Ins:R:2	2.01E-05	3.25E-05	1.59E-05	9.23E-05
