MutationType	ID83A	ID83B	ID83C	ID83D
1:Del:C:0	0.05773896750062704	0.04552287194877863	0.006532946881779935	0.010792121030390263
1:Del:C:1	0.029804608337581157	0.03478847809135914	0.0012673541903495788	0.005195366842672229
1:Del:C:2	0.012839372539892792	0.017358761979267	0.0013630012050271033	0.0019297055818606169
1:Del:C:3	0.008065366949886084	0.0084955083578825	0.004270235031144693	0.0015360823838273063
1:Del:C:4	0.004608164180535823	0.004477274320088327	0.009633076875470579	0.0010585206680116244
1:Del:C:5	0.0019778172601945697	0.001774931004820246	0.03402139429003	0.001606669740358484
1:Del:T:0	0.04356516536325216	0.02920303598046303	0.0016320254828315229	0.00803498990368098
1:Del:T:1	0.26757560551166537	1.401298464324817e-47	0.0016615265735890716	0.014701092879695352
1:Del:T:2	0.028760213907808065	0.01813800076022744	0.0024406112110591494	0.008200207650661468
1:Del:T:3	0.04739482130855322	0.015002109557390213	0.009683826300315558	0.008910847696242855
1:Del:T:4	0.023908998165279628	0.010826944075524807	0.03212068647146225	0.006318068703694735
1:Del:T:5	0.021702644992619754	0.0016991512106335482	0.5810987499356269	0.014426587664638646
1:Ins:C:0	0.01875946955755353	0.013553248774260283	0.0015769531266050763	0.0022883502274760304
1:Ins:C:1	0.005019971928559244	0.006694492939859628	0.0005930116093441029	0.0021214718377814278
1:Ins:C:2	0.0022995184431783854	0.0046726567088626325	0.0001304185416756809	0.0007594942586001707
1:Ins:C:3	0.0011663680226774887	0.004677341911010444	0.0004587272434582701	0.0013749142569577089
1:Ins:C:4	0.0005209246006415924	0.004172367916908115	0.0023134474409744143	0.0003580239456368872
1:Ins:C:5	0.0021619037046912127	0.021434390284121037	0.01419592373073101	0.0017944297015492338
1:Ins:T:0	0.031114039421081544	0.015504703177139163	0.0018160795360745398	0.004665441606994137
1:Ins:T:1	0.012357818754389882	0.02707622606307268	0.0004959875719214323	0.004113097171466506
1:Ins:T:2	0.010149758653715252	0.015044234991073609	0.003778434544801712	0.001561704404593911
1:Ins:T:3	0.011445199279114604	0.009984669927507638	0.0029172088007908313	0.0010796366852810024
1:Ins:T:4	0.009062921311706305	0.009317772663198411	0.004068840662948787	0.0011835018797864904
1:Ins:T:5	0.03469051390886307	0.223677549213171	0.1800142039358616	0.01638149359729141
2:Del:R:0	0.014328490626066923	0.007318897596560419	0.0029984408791642637	0.0514944970747456
2:Del:R:1	0.0052741664578206835	1.696712803095579e-05	0.009578227406309451	0.2057418702961877
2:Del:R:2	0.002048227299237624	0.0013966779268230311	0.0030073462339350954	0.05075881611206569
2:Del:R:3	0.00026365218532191647	0.0019287385750794783	0.003860375084914267	0.01680270890239626
2:Del:R:4	2.9681458224786185e-05	0.0011344269424444064	0.003806088985875249	0.0038567469525150953
2:Del:R:5	1.2118086578993825e-05	0.004538053062278777	0.012850416703149676	0.0023958808087627403
3:Del:R:0	0.005155277862213552	0.0048156102350912985	0.00028653280114667725	0.004709387572947889
3:Del:R:1	0.0016858878143830225	0.0050375810568220915	0.006549939489923417	0.07647395193576813
