Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,1.0,1.0,NO,N/A,38500.0%,37.86%,123.63%,25.09%,149.29,0.212,1.2126,0.076,0.704,0.916,0.179
3,1.0,0.99,NO,N/A,24200.0%,29.16%,112.43%,15.51%,88.86,0.1615,1.1476,0.041,0.485,0.95,0.409
4,0.95,0.85,YES,1.32e-02,23400.0%,25.7%,95.47%,13.11%,78.04,0.1301,1.0013,0.029,0.366,0.965,0.556
5*,0.92,0.69,YES,Most Stab Sigs,23000.0%,21.33%,92.35%,10.59%,77.23,0.1095,0.9461,0.02,0.36,0.976,0.562
6,0.77,-0.2,NO,N/A,24800.0%,20.8%,90.84%,10.25%,77.1,0.1036,0.9278,0.019,0.36,0.977,0.563
7,0.64,-0.45,NO,N/A,28500.0%,20.55%,88.73%,10.04%,77.2,0.1016,0.9245,0.017,0.361,0.979,0.562
8,0.58,-0.44,NO,N/A,40500.0%,20.12%,89.89%,9.81%,76.3,0.098,0.9161,0.016,0.353,0.98,0.571
9,0.48,-0.44,NO,N/A,64500.0%,19.6%,89.81%,9.4%,75.23,0.0967,0.9161,0.016,0.34,0.981,0.588
10,0.4,-0.56,NO,N/A,54500.0%,19.57%,92.0%,9.27%,75.31,0.0963,0.9131,0.016,0.341,0.981,0.587
11,0.32,-0.47,NO,N/A,56400.0%,18.7%,87.97%,8.85%,76.08,0.0923,0.9081,0.015,0.351,0.982,0.573
12,0.31,-0.5,NO,N/A,44400.0%,18.28%,89.03%,8.73%,74.93,0.0901,0.9105,0.015,0.337,0.982,0.591
13,0.27,-0.55,NO,N/A,52000.0%,17.48%,90.37%,8.07%,74.43,0.0882,0.8924,0.014,0.33,0.983,0.603
14,0.25,-0.53,NO,N/A,43800.0%,17.6%,89.58%,8.34%,74.78,0.0898,0.9084,0.014,0.333,0.984,0.598
15,0.2,-0.63,NO,N/A,37100.0%,16.94%,89.58%,7.91%,72.7,0.0862,0.876,0.013,0.311,0.985,0.627
16,0.19,-0.64,NO,N/A,44000.0%,16.37%,91.15%,7.72%,71.92,0.0844,0.8819,0.012,0.301,0.985,0.64
17,0.18,-0.59,NO,N/A,34300.0%,16.03%,88.49%,7.47%,68.91,0.0822,0.8652,0.012,0.272,0.986,0.676
18,0.15,-0.59,NO,N/A,44100.0%,15.77%,91.92%,7.25%,63.29,0.082,0.8368,0.011,0.218,0.987,0.746
19,0.16,-0.58,NO,N/A,41300.0%,15.18%,94.21%,6.99%,59.49,0.0796,0.8177,0.01,0.177,0.989,0.806
20,0.15,-0.55,NO,N/A,42700.0%,14.9%,93.24%,6.87%,56.86,0.0781,0.804,0.009,0.15,0.99,0.84
