Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S
CPCT02020810T	9	49	3	38	35	16	49	46	18	91	4	0	9	16	10	30	0	3	0
CPCT02020821T	45	113	44	121	64	0	97	0	33	156	13	40	43	16	69	6	41	17	0
CPCT02340100T	520	743	168	161	213	144	81	82	96	208	98	92	90	107	30	33	0	146	5
CPCT02080266T	12	3	37	29	36	38	61	29	21	0	14	12	17	42	36	15	34	26	26
CPCT02010941T	39	401	10	235	30	144	129	57	9	0	21	50	38	50	22	45	0	8	0
CPCT02020822T	15	274	11	110	111	42	100	68	85	93	39	81	125	22	11	48	7	21	1
CPCT02020819T	2	119	62	4	121	13	24	28	0	0	8	38	23	19	32	16	52	5	26
CPCT02050405T	19	130	30	44	35	35	71	53	39	71	5	25	11	0	22	18	0	0	4
CPCT02020837T	5	5	14	28	11	32	71	0	6	0	4	0	6	0	9	18	77	4	8
CPCT02340102T	21	60	37	34	14	15	37	25	11	0	7	23	15	8	23	7	5	7	14
DRUP01060021T	115	283	290	126	102	60	141	113	103	166	42	22	48	118	66	35	23	42	10
DRUP01060019T	198	0	158	42	10	74	88	0	21	430	8	0	40	0	9	0	0	62	0
DRUP01060018T	156	0	133	51	11	90	79	0	12	338	11	0	41	0	14	2	0	61	0
CPCT02070394T	292	8	367	0	0	41	141	881	352	0	17	0	3	0	58	0	217	17	0
CPCT02080269T	100	361	34	139	156	109	171	52	80	18	130	108	29	27	17	43	24	179	10
CPCT02030459TII	79	4	196	0	33	51	55	42	0	0	54	25	18	48	105	9	69	65	23
CPCT02050411T	42	229	52	96	79	13	46	38	38	65	11	44	29	82	21	35	0	14	23
CPCT02030547T	14	73	33	54	10	21	90	21	9	0	8	5	25	0	8	0	0	11	0
CPCT02020828T	9	30	8	37	17	9	48	0	3	0	3	5	4	6	15	6	49	4	2
CPCT02080270T	29	110	91	76	34	53	60	20	11	0	1	33	22	9	40	15	20	10	4
CPCT02060133T	6	1	2	25	8	0	27	0	12	12	1	3	4	23	2	0	4	7	8
CPCT02050276TII	31	64	19	32	28	46	33	24	5	20	9	2	15	5	16	4	47	6	4
CPCT02080271T	37	76	12	39	51	29	96	19	0	4	15	25	5	31	33	4	0	9	27
CPCT02050243T	11	19	49	19	14	27	78	4	28	0	0	25	2	0	82	9	79	7	0
CPCT02060126T	16	80	51	0	39	31	45	17	0	50	1	0	15	3	35	15	50	6	1
DRUP01010106T	97	113	42	12	16	129	52	363	1901	0	51	10	11	0	1	40	17	0	50
CPCT02050245T	36	91	252	65	57	9	78	26	35	0	0	26	12	46	63	30	52	12	6
CPCT02030548T	10	90	30	61	62	10	39	3	10	54	12	0	14	35	7	23	22	9	4
CPCT02050415T	20	135	12	73	44	17	58	30	11	44	10	51	26	47	15	17	34	29	5
CPCT02020853T	6	120	24	24	47	32	28	0	16	0	15	36	8	6	0	9	2	0	3
CPCT02020506TII	63	419	63	159	169	25	180	72	23	55	16	0	13	76	22	51	8	0	0
DRUP01080021T	128	141	177	16	170	138	44	53	40	109	42	3	39	10	50	24	18	88	3
CPCT02020854T	12	31	8	24	30	26	86	23	11	11	7	10	15	1	20	8	12	4	1
CPCT02010994T	18	134	46	44	40	0	27	23	0	28	8	14	20	45	25	2	2	0	8
DRUP01080022T	14	431	59	419	93	265	53	156	81	192	35	174	12	0	5	129	0	0	22
CPCT02020863T	61	282	31	115	157	82	68	81	31	58	16	17	63	49	32	32	0	16	11
CPCT02050276T	31	61	23	45	23	41	92	19	1	35	1	21	11	9	13	1	30	7	0
CPCT02030552T	17	144	22	12	44	17	61	0	4	70	12	38	25	0	16	12	14	4	2
CPCT02080275T	38	426	50	122	66	118	49	80	24	144	20	51	38	13	15	10	0	25	11
CPCT02030553T	13	613	79	99	191	13	141	117	58	174	3	108	160	48	25	103	0	7	0
CPCT02120062T	20	494	31	163	362	138	149	225	36	0	4	1	12	105	0	114	0	1	6
CPCT02020615T	115	60	33	78	54	40	141	38	46	34	52	14	65	42	75	4	35	53	16
CPCT02050421T	293	177	88	192	68	142	65	12	85	102	30	97	30	17	72	25	0	14	3
CPCT02120053T	38	155	21	80	69	11	85	64	39	0	15	59	23	35	49	19	23	0	0
CPCT02020626T	18	142	55	64	57	18	78	41	40	0	23	35	18	29	29	18	12	10	0
CPCT02120055T	77	38	57	37	26	5	182	0	10	84	8	0	9	15	25	1	0	3	16
CPCT02070422T	150	77	95	36	52	53	32	121	1348	9	35	49	51	56	28	54	117	26	44
CPCT02120058T	19	74	29	68	59	3	105	16	28	56	11	10	32	16	22	3	14	9	2
CPCT02170017T	99	90	82	58	44	46	61	29	22	34	40	2	12	59	39	0	37	65	5
CPCT02020609T	121	1008	122	256	193	134	172	163	160	82	23	77	158	88	55	52	0	31	13
CPCT02050249T	21	58	184	26	39	49	132	13	63	0	7	31	27	0	35	50	29	7	7
CPCT02060146T	110	0	126	42	11	70	115	0	21	185	8	0	16	0	0	10	0	43	0
CPCT02060049T	6	6	72	0	15	0	15	0	17	2	8	15	2	14	3	3	23	5	1
CPCT02050159T	58	414	97	79	109	66	29	91	50	0	10	12	19	87	76	61	0	12	4
CPCT02010550T	34	193	13	111	50	26	24	14	18	16	13	27	15	35	0	23	67	0	0
CPCT02010534T	0	4	5	37	6	0	9	8	12	0	2	7	5	8	0	7	4	11	3
CPCT02050079TII	0	0	11	0	14	11	57	0	6	42	3	2	3	1	1	4	25	14	7
CPCT02050170T	14223	0	2486	0	310	0	110	0	13	0	208	0	0	0	1193	17	205	293	705
CPCT02050168T	61	95	84	89	31	12	33	19	30	5	16	0	24	50	42	22	29	13	14
CPCT02020509T	0	18	31	24	15	0	32	20	8	5	6	0	3	11	16	5	0	17	0
CPCT02050073TII	6	24	36	31	16	22	44	46	15	0	18	32	16	30	47	17	40	21	0
CPCT02020511T	20	461	67	17	146	58	94	100	35	112	7	27	42	36	20	53	0	11	25
CPCT02010565T	9	113	89	98	43	5	53	33	23	72	13	10	51	37	24	7	74	21	29
CPCT02020517T	6	194	54	23	41	68	29	5	13	75	15	25	48	3	16	20	18	5	0
CPCT02010393TII	48	279	53	0	143	110	60	115	27	0	9	12	4	39	113	44	0	18	12
CPCT02050181T	533	6	667	25	6	69	43	0	13	0	17	29	28	71	41	202	0	29	0
CPCT02020519T	25	307	98	97	72	65	46	11	60	48	14	20	32	7	40	50	0	17	0
CPCT02020520T	14	354	34	51	145	116	49	92	54	0	23	32	18	92	47	25	0	10	5
CPCT02060092T	24	28	26	64	7	9	25	0	4	0	5	17	33	20	6	7	18	2	7
CPCT02080116T	79	558	132	201	218	134	47	64	67	0	36	54	173	81	36	55	96	5	4
CPCT02080113T	13	129	36	57	18	43	24	67	1	0	9	1	17	55	10	1	0	5	10
