MutationType	ID83A	ID83B
1:Del:C:0	2.31E-04	6.22E-04
1:Del:C:1	1.52E-04	3.30E-04
1:Del:C:2	7.39E-05	1.77E-04
1:Del:C:3	5.24E-05	4.76E-05
1:Del:C:4	6.53E-05	2.54E-05
1:Del:C:5	3.23E-04	3.72E-05
1:Del:T:0	2.28E-04	2.89E-04
1:Del:T:1	1.92E-04	8.94E-05
1:Del:T:2	1.49E-04	1.87E-04
1:Del:T:3	1.23E-04	1.09E-04
1:Del:T:4	3.12E-04	9.32E-05
1:Del:T:5	8.34E-03	2.10E-04
1:Ins:C:0	1.41E-04	5.14E-05
1:Ins:C:1	7.76E-04	7.91E-04
1:Ins:C:2	3.98E-04	4.09E-04
1:Ins:C:3	1.82E-04	1.90E-04
1:Ins:C:4	1.11E-04	6.76E-05
1:Ins:C:5	2.17E-04	3.90E-04
1:Ins:T:0	1.03E-04	4.38E-05
1:Ins:T:1	1.04E-03	1.20E-03
1:Ins:T:2	6.36E-04	6.65E-04
1:Ins:T:3	4.36E-04	4.65E-04
1:Ins:T:4	2.09E-04	1.77E-04
1:Ins:T:5	1.07E-02	1.20E-02
2:Del:R:0	9.14E-05	8.61E-05
2:Del:R:1	1.78E-04	5.45E-05
2:Del:R:2	4.30E-05	2.75E-05
2:Del:R:3	6.12E-05	1.40E-05
2:Del:R:4	2.87E-05	9.42E-06
2:Del:R:5	3.16E-05	3.71E-05
3:Del:R:0	3.00E-05	9.09E-05
3:Del:R:1	1.78E-04	5.66E-05
3:Del:R:2	4.50E-05	2.37E-05
3:Del:R:3	1.78E-05	1.75E-05
3:Del:R:4	3.48E-05	2.17E-05
3:Del:R:5	6.06E-05	5.20E-05
4:Del:R:0	2.19E-05	7.95E-05
4:Del:R:1	9.32E-05	7.62E-05
4:Del:R:2	1.80E-05	2.36E-05
4:Del:R:3	1.61E-05	1.44E-05
4:Del:R:4	2.07E-05	1.76E-05
4:Del:R:5	7.58E-06	8.73E-06
5:Del:R:0	4.38E-04	1.11E-03
5:Del:R:1	3.95E-05	1.01E-04
5:Del:R:2	1.13E-05	1.25E-05
5:Del:R:3	4.47E-06	5.85E-06
5:Del:R:4	1.63E-06	2.79E-06
5:Del:R:5	1.28E-06	2.63E-06
2:Ins:R:0	5.12E-05	3.40E-05
2:Ins:R:1	6.85E-05	3.17E-05
2:Ins:R:2	4.31E-05	3.15E-05
2:Ins:R:3	1.01E-05	1.37E-05
2:Ins:R:4	2.75E-05	4.78E-05
2:Ins:R:5	1.40E-04	2.90E-04
3:Ins:R:0	2.59E-05	3.41E-05
3:Ins:R:1	5.82E-05	3.21E-05
3:Ins:R:2	5.45E-06	1.41E-05
3:Ins:R:3	3.18E-06	4.37E-06
3:Ins:R:4	4.16E-06	5.80E-06
3:Ins:R:5	1.99E-05	3.27E-05
4:Ins:R:0	2.22E-05	2.62E-05
4:Ins:R:1	7.23E-05	4.14E-05
4:Ins:R:2	5.87E-06	9.46E-06
4:Ins:R:3	5.02E-06	6.78E-06
4:Ins:R:4	1.28E-05	1.43E-05
4:Ins:R:5	3.01E-05	2.35E-05
5:Ins:R:0	1.31E-04	2.62E-04
5:Ins:R:1	1.62E-04	1.07E-04
5:Ins:R:2	9.93E-06	1.33E-05
5:Ins:R:3	7.28E-06	7.80E-06
5:Ins:R:4	6.92E-06	7.06E-06
5:Ins:R:5	4.05E-06	5.71E-06
2:Del:M:1	1.70E-04	5.21E-05
3:Del:M:1	1.65E-05	7.58E-05
3:Del:M:2	7.87E-05	5.22E-05
4:Del:M:1	2.58E-05	6.92E-05
4:Del:M:2	3.81E-05	1.26E-04
4:Del:M:3	5.63E-05	8.25E-05
5:Del:M:1	6.96E-04	1.18E-03
5:Del:M:2	1.51E-03	1.95E-03
5:Del:M:3	1.19E-03	1.52E-03
5:Del:M:4	6.48E-04	8.30E-04
5:Del:M:5	6.29E-04	8.26E-04
