Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q
SP24708	0	67	55	1	13	0	44	62	57	18	37	0	17	0	30	24	0
SP24301	19	128	82	6	21	4	74	93	53	16	49	0	73	11	0	0	12
SP27201	0	80	104	7	10	1	56	52	68	14	44	0	38	14	0	4	5
SP28791	0	25	23	10	3	0	9	18	41	1	22	0	7	1	0	0	7
SP23739	22	21	23	3	19	0	30	38	46	4	19	0	10	1	0	16	1
SP24702	47	90	63	0	19	0	39	67	46	6	60	0	0	14	0	22	10
SP25332	5	20	13	5	14	1	8	35	7	9	7	0	0	7	2	16	5
SP28335	17	13	31	5	20	0	2	62	47	4	24	0	25	5	5	44	8
SP26709	10	70	23	4	14	0	8	21	11	1	2	0	38	7	17	0	6
SP25350	0	40	48	10	2	2	71	86	45	9	24	0	48	4	32	17	5
SP25380	10	75	96	10	14	5	62	37	78	12	55	0	19	8	0	14	9
SP24565	0	5	11	0	22	0	20	75	36	6	0	0	35	0	25	0	2
SP25833	8	92	34	0	16	0	34	53	60	4	47	0	29	13	18	0	3
SP25905	12	0	20	1	20	1	16	13	50	0	20	0	32	0	19	3	1
SP26439	1	24	18	2	9	2	1	6	13	0	30	7	20	13	0	12	3
SP24236	9	76	119	8	5	0	60	58	108	0	48	0	51	0	0	61	0
SP23925	0	0	105	0	30	0	1052	316	18	7	23	0	0	3	203	0	0
SP24815	17	69	88	3	27	2	25	91	68	23	19	0	47	0	0	87	10
SP27957	53	12	61	0	12	0	43	30	50	11	53	0	39	9	0	0	2
SP27603	0	32	39	0	14	1	21	49	53	5	48	0	61	8	38	0	10
SP27825	21	60	88	0	21	1	42	83	56	13	51	8	65	6	0	0	3
SP24135	12	47	79	5	291	3	75	105	95	31	197	0	100	20	0	0	4
SP26499	0	43	28	3	12	0	15	23	33	12	21	5	0	9	0	36	9
SP25518	0	59	91	2	13	11	53	18	115	0	83	0	0	0	98	9	5
SP28659	75	41	102	4	359	0	119	108	137	27	167	2	5	12	0	33	0
SP23622	0	44	51	0	2	7	42	95	57	11	42	0	5	3	16	4	13
SP27939	0	51	26	2	3	0	16	40	40	19	61	0	34	3	0	14	7
SP23754	6	9	18	2	5	1	8	5	21	4	16	3	25	0	3	3	0
SP29697	1	62	39	5	4	0	28	31	26	13	32	1	30	0	33	0	8
SP27339	13	43	36	0	12	2	7	64	40	10	28	0	28	10	0	15	4
SP29559	0	37	11	6	381	1	6	0	87	0	119	2	51	0	91	15	7
SP29331	8	29	69	1	23	0	27	38	81	21	51	0	25	3	63	0	14
SP26475	0	80	50	0	12	0	6	49	45	17	47	0	0	11	62	17	11
SP23775	16	55	80	0	333	0	72	70	102	20	122	0	126	6	0	18	0
SP28275	33	14	17	2	12	0	43	36	15	3	9	0	81	8	5	6	4
SP28581	7	63	72	3	17	0	51	51	53	5	64	0	13	8	0	0	14
SP23639	0	68	59	0	18	2	51	64	54	19	28	0	84	12	10	0	4
SP24391	0	55	44	0	12	2	30	48	58	7	42	0	34	0	76	18	0
SP28041	62	48	109	3	11	0	65	73	70	11	64	1	0	2	0	17	1
SP25494	132	28	172	1	545	4	135	111	299	1	290	0	32	2	74	114	16
SP26649	0	55	44	0	22	1	46	131	33	9	42	0	17	7	29	0	0
SP78927	6	34	5	0	1	0	1	0	7	0	0	0	0	1	0	4	4
SP78913	0	17	2	0	7	0	1	0	4	0	0	2	0	1	5	12	0
SP107375	17	40	10	3	16	1	1	0	17	0	22	12	34	3	15	0	4
SP107408	2	166	41	7	15	2	15	3	17	5	0	0	0	4	28	15	0
SP107439	0	21	6	0	0	3	1	0	11	0	2	0	0	243	0	0	0
SP78816	3	29	2	0	1	0	4	0	2	0	3	0	0	0	0	0	0
SP78663	47	73	4	8	23	0	6	2	3	0	0	0	34	0	0	0	11
SP78709	2	79	5	3	5	0	2	5	1	0	9	8	5	0	5	0	2
SP107462	46	101	5	10	4	0	0	0	9	0	0	0	0	0	37	11	0
SP78951	0	58	7	4	4	0	2	4	19	6	2	2	0	0	0	3	2
SP107435	10	61	14	7	0	0	7	0	8	0	22	0	7	0	60	0	3
SP78679	1	62	45	1	8	0	20	3	21	0	0	18	14	3	0	0	23
SP107360	0	129	25	7	22	2	16	13	0	17	1	37	0	6	23	0	0
SP78819	0	8	2	1	0	0	0	1	0	2	6	0	0	0	10	0	5
SP78821	0	58	8	1	0	2	0	4	20	0	16	0	4	5	13	6	4
SP107552	3	33	0	0	3	0	2	0	4	0	4	0	0	1	12	9	0
SP78865	13	12	2	2	3	0	0	0	2	0	0	0	17	0	0	0	14
SP107470	0	81	29	3	0	4	6	0	7	0	6	0	6	0	0	0	2
SP78673	4	0	5	0	0	0	8	0	7	0	9	0	0	1	0	7	6
SP78824	1	22	3	3	8	0	3	0	5	0	0	0	6	0	0	0	0
SP107550	5	24	7	6	0	0	0	0	5	0	0	0	0	0	0	8	7
SP78718	57	141	29	2	1	0	0	0	10	0	0	10	0	7	17	0	0
SP107451	13	40	6	4	3	0	0	5	0	0	10	5	0	2	0	0	2
SP107557	16	36	5	5	3	0	0	0	2	0	2	0	0	0	0	10	0
SP107358	0	21	5	0	4	2	13	0	8	0	9	7	1	2	2	15	4
SP78731	0	32	4	0	2	0	1	0	3	0	0	5	12	1	0	2	2
SP107455	0	28	4	0	0	0	0	0	5	1	0	4	7	0	0	0	9
SP107549	4	28	6	1	3	1	4	1	0	1	1	0	0	0	0	1	5
SP78814	0	34	3	3	8	2	0	0	14	0	7	0	0	4	17	4	17
SP107357	21	187	58	7	12	12	7	39	7	13	21	28	11	29	31	0	13
SP78919	10	55	4	3	12	2	8	0	6	0	0	0	0	1	0	6	5
SP107453	15	25	9	1	0	0	0	2	5	0	6	6	0	3	27	0	1
SP78719	0	2	2	0	0	0	3	0	0	2	0	0	0	1	0	1	3
SP78662	12	0	4	1	0	0	0	0	7	0	0	0	9	2	0	0	0
SP107457	8	98	0	2	6	2	3	0	8	0	0	5	2	2	40	0	9
SP107404	18	91	44	7	12	2	19	9	8	7	0	14	12	2	30	0	4
SP78714	7	33	12	6	1	0	3	0	10	0	4	0	0	2	0	0	6
SP107454	0	41	5	4	0	0	1	4	7	0	0	0	0	0	0	0	7
SP107359	0	159	49	4	17	0	14	14	22	0	15	42	0	13	1	0	6
SP78664	7	73	2	4	0	0	0	6	11	0	4	6	0	0	0	0	0
SP78931	0	71	9	1	4	0	0	0	0	0	0	8	0	0	0	3	7
SP78815	0	22	2	0	0	0	0	2	3	0	2	10	5	0	0	0	2
SP107466	11	70	25	1	4	0	4	11	9	8	1	10	36	1	0	11	0
SP78901	10	161	11	5	0	2	1	0	1	0	0	0	0	1	39	0	0
SP107384	5	157	39	8	208	6	10	4	45	24	129	16	5	20	11	42	11
SP107467	3	9	4	0	0	0	0	0	14	0	5	0	11	3	0	0	0
SP78680	19	12	2	0	2	0	0	0	7	0	0	1	2	0	0	0	0
SP78672	0	29	3	0	8	0	0	0	3	0	0	0	8	0	0	0	2
SP107365	17	38	12	2	3	0	6	18	7	5	3	3	0	4	0	26	0
SP78660	0	31	4	0	5	0	1	0	0	0	11	1	0	0	0	5	0
SP78659	0	4	7	0	0	0	1	0	1	0	2	0	0	0	38	0	0
SP107449	1	35	5	2	7	0	0	0	18	0	0	0	4	0	0	22	2
SP78813	20	19	4	0	1	0	1	6	5	0	4	14	4	0	6	0	0
SP78953	0	19	3	0	0	0	0	2	0	0	0	2	0	0	2	5	0
SP78804	54	14	2	2	8	0	10	1	12	0	1	0	24	0	0	0	4
SP107460	0	34	21	4	4	4	7	0	9	0	5	0	5	0	0	11	2
SP107548	20	69	0	5	3	0	1	3	9	0	4	0	0	7	0	4	8
SP78730	3	98	28	10	6	0	8	6	3	0	3	0	11	3	0	20	2
SP78727	5	58	6	2	1	0	1	2	6	0	8	20	0	1	0	0	0
SP78822	37	88	22	8	8	0	13	10	24	0	40	12	0	0	0	0	24
SP78818	10	59	8	3	2	0	0	4	7	0	4	0	0	0	0	2	2
SP78923	0	21	2	2	2	0	4	2	2	0	0	0	0	0	0	1	2
SP107405	6	153	31	9	1	1	30	11	20	10	22	42	7	0	0	16	0
SP107437	35	49	64	10	4	8	0	0	2	0	0	0	32	12	17	13	6
SP78675	16	54	4	3	5	0	1	2	8	9	6	0	2	0	3	11	2
SP107371	14	124	52	12	138	33	17	13	28	15	7	0	56	11	28	0	0
SP107556	28	90	15	0	1	0	0	1	6	0	9	0	22	0	11	5	2
SP78807	0	21	6	1	2	0	2	1	1	0	11	2	0	0	29	1	8
SP78945	0	57	0	4	2	0	1	2	5	0	0	11	3	0	0	0	5
SP107480	26	9	8	0	1	0	0	2	3	0	0	5	16	0	0	0	0
SP107448	9	36	2	7	4	2	2	5	7	0	0	0	0	0	0	13	2
SP107436	0	86	6	7	2	0	0	2	12	0	6	0	0	3	0	6	8
SP79150	0	3	2	0	1	2	0	4	1	0	1	3	0	0	0	0	3
SP107546	39	132	36	13	0	0	4	5	2	0	0	0	15	10	3	5	3
SP107459	0	39	15	1	3	0	9	15	1	2	0	0	11	5	10	0	0
SP78823	2	8	1	1	0	0	0	0	0	0	3	0	0	2	0	0	5
SP78666	25	22	6	0	1	0	4	0	5	0	2	0	0	1	5	5	5
SP78721	0	19	4	0	1	0	3	0	0	0	0	2	0	0	0	3	10
SP78665	0	126	4	3	8	0	0	6	0	0	12	9	0	0	7	3	5
SP78935	14	56	8	8	1	3	0	5	10	0	5	5	0	0	0	0	9
SP107458	36	179	13	11	15	1	11	21	8	0	6	10	12	0	0	4	10
SP79160	18	51	0	0	0	0	0	0	1	4	3	0	12	0	12	1	0
SP107479	13	78	5	4	9	0	0	0	1	1	0	0	12	0	3	0	12
SP107377	46	84	19	8	1	0	18	6	3	12	17	0	1	0	2	38	3
SP78937	15	116	19	0	1	0	0	0	51	0	11	0	0	4	39	32	13
SP107444	7	33	2	4	0	0	0	0	2	2	1	0	25	3	0	0	1
SP79144	5	82	6	3	9	1	3	0	11	0	17	1	20	0	24	0	11
SP107469	0	16	0	2	2	0	0	0	4	0	0	3	0	2	0	0	0
SP107373	0	117	7	0	12	15	7	20	8	0	6	60	2	9	0	25	0
SP107406	0	123	28	6	365	27	21	0	47	9	78	10	59	6	19	77	2
SP107369	0	161	50	0	7	2	13	8	2	20	4	25	48	7	33	7	8
SP107403	100	150	61	4	6	3	32	15	37	22	45	0	0	8	0	56	5
SP107363	8	137	37	6	0	48	29	0	0	21	0	26	33	27	0	11	8
