Samples	ID83A	ID83B	ID83C	ID83D	ID83E
SP77443	1.54E+00	3.50E+00	4.12E+00	1.45E+00	1.74E+00
SP72118	2.12E+00	3.19E+00	3.30E+00	8.79E-01	4.78E-01
SP76891	1.50E+00	3.29E+00	3.54E+00	3.80E-01	7.95E-01
SP125732	1.84E+01	1.68E+01	2.81E+00	3.85E-01	6.53E-01
SP125716	1.96E+00	2.77E+00	3.26E+00	1.27E+00	5.15E+00
SP125746	1.24E+02	1.19E+02	7.24E+00	3.91E-01	2.46E+00
SP125797	2.18E+00	3.37E+00	3.66E+00	7.50E-01	1.10E+00
SP76057	1.61E+00	3.45E+00	3.81E+00	8.98E-01	5.04E-01
SP69565	3.14E+00	4.47E+00	8.71E+00	6.68E+00	4.83E-01
SP75202	1.13E+00	3.22E+00	3.75E+00	6.91E-01	4.04E-01
SP110736	1.75E+00	2.15E+00	2.55E+00	5.84E-01	6.17E-01
SP107774	5.15E-01	2.52E+00	2.86E+00	6.64E-01	3.79E-01
SP110779	1.52E+00	4.37E+00	5.07E+00	7.42E-01	7.73E-01
SP107805	1.56E+00	3.70E+00	4.07E+00	1.01E+00	5.45E-01
SP110789	1.19E+00	2.71E+00	1.12E+01	9.94E+00	1.15E+00
SP71846	2.07E+00	4.24E+00	5.33E+00	1.11E+00	5.32E-01
SP70122	2.35E+00	2.33E+00	2.37E+00	5.44E-01	4.90E-01
SP71404	3.88E+00	5.01E+00	5.85E+00	9.76E-01	4.82E-01
SP76955	1.28E+00	2.46E+00	2.75E+00	5.02E-01	2.38E-01
SP107781	9.61E-01	2.32E+00	3.39E+00	1.07E+00	5.35E-01
SP70202	1.08E+00	2.65E+00	5.56E+00	5.63E+00	1.91E+00
SP70677	5.99E-01	1.75E+00	2.51E+00	8.16E-01	5.41E-01
SP70082	6.64E-01	1.88E+00	2.25E+00	6.64E-01	3.88E-01
SP70288	2.56E+00	3.22E+00	2.87E+00	6.53E-01	6.98E-01
SP70266	9.13E-01	2.68E+00	3.24E+00	6.96E-01	6.35E-01
SP107956	2.52E+00	3.94E+00	4.43E+00	1.07E+00	5.44E-01
SP70956	1.27E+00	2.28E+00	2.59E+00	7.22E-01	4.64E-01
SP108017	8.24E-01	2.32E+00	2.61E+00	4.16E-01	2.31E-01
SP71536	1.13E+00	2.03E+00	2.36E+00	8.44E-01	5.90E-01
SP70756	1.34E+00	3.36E+00	3.71E+00	8.06E-01	4.89E-01
SP76675	2.46E+00	4.36E+00	8.22E+00	6.64E+00	9.06E-01
SP71480	1.88E+00	2.66E+00	2.82E+00	7.14E-01	6.31E-01
SP70313	1.16E+00	3.42E+00	4.22E+00	9.84E-01	5.35E-01
SP73319	1.11E+00	1.84E+00	2.06E+00	9.72E-01	9.68E-01
SP107813	2.00E+00	2.39E+00	2.85E+00	7.75E-01	6.65E-01
