spectrum,cosine,total_mutations
Pancreas..SP125746,0.999497248695852,48087
Colon..SP110242,0.994516768418344,127596
Colon..SP96133,0.99060525561701,78537
Uterus..SP93540,0.989690215379998,98721
Stomach..SP85122,0.989680646610183,102241
Colon..SP18310,0.988888527430885,137239
Uterus..SP95454,0.986049549159022,28679
Uterus..SP94348,0.985643560453097,52057
Biliary..SP99325,0.984660839592385,129367
Skin..SP124384,0.984153619993781,22917
Colon..SP21017,0.982263224832318,117019
Colon..SP18121,0.981922230098117,101828
Stomach..SP84392,0.981665075282517,103359
Uterus..SP89909,0.980966118199052,12729
Liver..SP107012,0.9809052475381,30189
Uterus..SP90989,0.980215675429605,53145
Uterus..SP94741,0.979167892854913,58331
Stomach..SP135287,0.978837495655488,65366
Colon..SP17172,0.978341901116085,41648
Colon..SP22383,0.977454664895933,80643
Uterus..SP94917,0.975935276071416,18287
Kidney..SP102897,0.973997236464801,13767
Uterus..SP92460,0.971950538189966,14441
Uterus..SP92364,0.971000640826432,62213
Colon..SP19215,0.96735761733143,75237
Stomach..SP84982,0.959711890760748,53699
Liver..SP98845,0.959037714633669,9354
Stomach..SP84439,0.945325748484281,96780
Stomach..SP84384,0.938135531056001,102325
Kidney..SP123975,0.919210681361836,2304
Pancreas..SP125732,0.907402154632634,7751
Esophagus..SP111119,0.907154283909107,3978
Esophagus..SP110847,0.905021189279928,1762
