spectrum,cosine,total_mutations
Colon..CPCT02170035T,0.993170925869894,215305
Colon..DRUP01230004T,0.993154898603039,266720
Colon..DRUP01050002T,0.992014610595571,273001
Colon..CPCT02050279T,0.990673076474164,203391
Colon..CPCT02030357T,0.990609412567274,297595
Colon..CPCT02120042T,0.989195815118534,285235
Colon..DRUP01030018T,0.989057791409935,298744
Colon..DRUP01010018T,0.988655443032138,244495
Colon..DRUP01340016T,0.988576614544997,241598
Colon..DRUP01020053T,0.988252691090327,310351
Colon..DRUP01040016T,0.987759123348957,219550
Colon..DRUP01010025T,0.985434385784735,212071
Colon..CPCT02100019T,0.983559526428893,168915
Colon..DRUP01090003T,0.983298433663272,191057
Colon..WIDE01010460T,0.983162737576216,287211
Stomach..CPCT02030347T,0.981884594296634,237747
Colon..DRUP01050017T,0.981693094151375,112429
Colon..CPCT02010882T,0.981544927362004,266146
Breast..DRUP01010037T,0.98152391382143,66514
Pancreas..CPCT02210016T,0.98132868679714,278104
Biliary..DRUP01050048T,0.981258036289054,164150
Colon..DRUP01010047TII,0.979342186935337,177387
Colon..CPCT02010786T,0.978528272617276,153709
Colon..DRUP01050001T,0.977776630887527,183476
Colon..DRUP01050028T,0.977543625061605,93587
Colon..DRUP01010051T,0.976960488858039,186409
Colon..DRUP01010047T,0.975979715637357,209399
Biliary..DRUP01080031T,0.975786696064221,111698
Other..CPCT02010441T,0.975523091682917,111463
Stomach..DRUP01070085T,0.973604243476912,138422
Colon..DRUP01340017T,0.970958610694917,268974
Breast..DRUP01010148T,0.970347655930171,161623
Colon..DRUP01070080T,0.96992103550974,175689
Colon..DRUP01010123T,0.969681175516637,281494
Colon..DRUP01010122T,0.969427289932076,221813
Prostate..CPCT02220030T,0.968168939678355,150302
Bladder..DRUP01010020T,0.966471024087807,111853
Colon..DRUP01070001T,0.964098046459075,147030
Lung..CPCT02020308T,0.960419222736396,103695
Bladder..CPCT02080273T,0.95923985790286,145297
Colon..CPCT02080048T,0.955850513505822,48927
Colon..CPCT02050211T,0.954016201252677,150965
Colon..WIDE01010606T,0.953878376339003,224978
Prostate..DRUP01050049T,0.952738748213558,104677
Prostate..CPCT02330125T,0.951902274061156,113795
Uterus..DRUP01110002T,0.948778144199408,125213
Prostate..CPCT02050443T,0.943306992292124,105784
Prostate..CPCT02020704T,0.941239136320246,93895
Breast..CPCT02020680T,0.937785968600764,63926
Breast..CPCT02020514T,0.937089537411932,55831
Bladder..CPCT02020986T,0.932888570866645,102367
Prostate..DRUP01070038T,0.932816979725395,38148
Colon..CPCT02250005T,0.932353681029498,58970
Prostate..CPCT02070140T,0.93119804061047,62833
Prostate..CPCT02020704TII,0.928617472394593,98280
Prostate..CPCT02070023T,0.922880790119649,177102
Biliary..DRUP01010142T,0.920892432491466,78676
Uterus..DRUP01010022T,0.917826382653454,73674
Esophagus..CPCT02130140T,0.911894537484797,106215
Prostate..CPCT02070023TII,0.911885597156911,192320
Breast..WIDE01010069T,0.906857475228385,135801
Prostate..DRUP01070026TII,0.904426918665152,133876
Prostate..DRUP01070015T,0.90337942906237,94168
Prostate..DRUP01070008T,0.903120017080644,162033
Lung..CPCT02011050T,0.902116398482509,60363
Prostate..CPCT02070164T,0.901015455432091,45771
Prostate..CPCT02010654T,0.900005059114505,75699
