"short_visual","R","n"
"ANY",NA,761404
"<AA>[AAAAAA]",9,2183
"<TT>[TTTTTT]",9,2154
"<AA>[AAAAAA]",8,572
"<TT>[TTTTTT]",8,569
"<AA>[AAAAAAAA]",10,547
"<TT>[TTTTTTTT]",10,533
"<TT>[TTTTTTTT]",11,275
"<AA>[AAAAAAAAAA]",12,272
"<TT>[TTTTTTTTTT]",12,257
"<AA>[AAAAAAAA]",11,255
"<TT>[TTTT]",7,129
"<AA>[AAAA]",7,124
"<AA>[AAAAAAAAAA]",13,118
"<TT>[TTTTTTTTTT]",13,91
"<TT>[TT]",5,82
"<AA>[AA]",5,78
"<TT>[TTTT]",6,55
"<TT>[TTTTTTTTTTTT]",14,43
"<AA>[AAAA]",6,39
"<GG>[GGGGGG]",8,27
"<AA>[AAAAAAAAAAAA]",14,24
"<GG>[GGGGGGGG]",11,23
"<CC>[CCCCCC]",8,21
"<CC>[CCCCCCCC]",11,20
"<GG>[GGGGGGGG]",10,19
"<CC>[CCCCCC]",9,17
"<CC>[CCCC]",7,16
"<TT>[TTTTTTTTTTTT]",15,14
"<AA>[AAAAAAAAAAAA]",15,12
"<CC>[CCCCCCCC]",10,12
"<GG>[GGGG]",7,10
"<GG>[GGGGGG]",9,7
"<GG>[GGGGGGGGGG]",12,6
"<AA>[AAAAAAAAAAAAAA]",16,5
"<CC>[CCCCCCCCCC]",12,5
"<CC>[CCCC]",6,5
"<CC>[CC]",5,4
"<GG>[GG]",5,3
"<AA>[AAAAAAAAAAAAAA]",17,2
"<GG>[GGGG]",6,2
"<CC>[CCCCCCCCCC]",13,1
"<TT>[TTTTTTTTTTTTTTTT]",18,1
