Samples	ID1	ID2	ID4	ID5	ID6	ID8	ID9	ID14	ID19	ID20	ID21	ID25
SP135192	0	0	0	0	0	0	2	0	0	0	0	0
SP135335	14	11	0	31	0	0	0	0	0	0	0	0
SP135278	3	5	0	0	5	0	0	0	0	0	11	0
SP135287	9441	54838	0	0	0	0	0	0	0	0	0	0
SP135345	49	71	0	163	0	0	0	0	0	0	0	0
SP85122	15147	85293	0	0	0	0	0	0	0	0	0	0
SP84384	11846	89792	0	0	0	0	0	0	0	0	0	0
SP135184	0	0	0	7	0	0	0	0	0	0	0	0
SP135226	132	97	0	0	0	0	0	0	0	0	0	0
SP135436	608	698	0	0	0	0	0	0	0	0	0	0
SP135262	38	22	34	39	0	0	0	0	0	0	0	0
SP135431	857	775	0	0	0	0	0	0	0	0	0	0
SP135425	286	253	0	301	0	0	0	0	0	0	0	0
SP135222	274	198	0	0	0	0	0	0	0	0	0	0
SP135230	106	149	0	0	0	0	55	0	0	0	0	0
SP135205	36	63	0	0	0	0	0	0	0	0	0	0
SP135180	0	0	0	5	0	0	0	0	0	0	0	0
SP135213	87	153	0	0	112	0	0	0	0	0	0	0
SP135217	0	0	0	0	0	1	0	0	0	0	0	0
SP135405	316	262	0	230	0	0	0	0	0	0	0	0
SP135238	0	8	0	0	0	0	0	0	0	0	0	0
SP135270	285	267	0	0	169	144	0	0	0	0	0	0
SP135411	84	103	0	97	0	0	0	0	0	0	0	0
SP135188	37	44	0	83	0	0	0	36	0	0	0	0
SP135194	166	201	0	0	0	0	0	0	0	0	0	0
SP135186	162	147	0	0	0	0	124	0	0	0	0	0
SP135420	188	335	0	254	0	0	0	0	0	0	0	0
SP135258	41	29	0	0	0	0	0	0	0	0	0	0
SP135234	599	547	0	0	0	0	0	0	0	0	0	0
SP135293	0	0	0	0	3	0	0	0	2	0	0	0
SP135393	141	186	0	144	0	0	0	126	0	0	0	0
SP135299	293	207	0	0	0	0	190	127	0	0	0	0
SP135415	61	36	0	0	0	0	48	0	0	0	53	0
SP135310	0	0	0	0	0	0	0	0	0	0	1	0
SP135323	16	20	0	0	0	35	76	0	0	0	0	0
SP135390	8	9	0	0	0	0	0	0	0	0	0	28
SP135209	17	16	19	0	0	0	14	10	0	0	0	0
SP135240	441	253	0	0	0	0	0	0	0	0	0	0
SP135182	1005	1823	0	0	0	0	0	0	0	0	0	0
SP85251	181	79	89	0	0	0	67	0	0	0	0	0
SP84408	110	75	0	0	0	0	96	0	0	0	0	0
SP84491	1673	1574	0	0	0	0	0	0	0	0	0	0
SP84743	0	995	0	0	0	0	0	2189	0	0	0	0
SP83967	130	168	110	0	0	0	73	0	0	0	0	0
SP105253	1148	934	0	0	0	0	0	0	0	0	0	0
SP84998	376	539	0	0	0	0	0	0	0	0	0	0
SP84062	67	23	0	121	0	0	0	0	0	0	0	0
SP84982	5045	47931	0	0	0	0	0	0	0	0	0	0
