Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
SP107470	2.93E+00	7.99E-01	4.59E-01	6.65E-02	6.09E-01	2.28E-01	3.14E+00
SP78673	2.48E-01	2.60E-01	4.30E-01	4.29E-01	6.58E-01	0.00E+00	6.35E-01
SP78824	1.19E+00	2.85E-01	2.01E-01	4.45E-01	4.15E-01	0.00E+00	1.21E+00
SP107550	1.40E+00	4.33E-01	1.12E-01	0.00E+00	6.33E-01	0.00E+00	1.38E+00
SP78718	2.96E+00	8.96E-01	3.09E-01	3.02E-01	7.01E-01	9.07E-02	3.10E+00
SP107451	1.87E+00	4.34E-01	2.86E-01	4.35E-01	5.49E-01	2.05E-01	1.81E+00
SP107557	1.37E+00	3.71E-01	7.63E-02	5.22E-01	5.42E-01	0.00E+00	1.50E+00
SP107358	8.76E-01	4.50E-01	6.22E-01	7.34E-01	8.37E-01	2.49E-01	1.39E+00
SP78731	1.56E+00	3.56E-01	1.86E-01	4.24E-01	6.08E-01	0.00E+00	1.68E+00
SP107455	1.32E+00	3.41E-01	1.48E-01	0.00E+00	6.11E-01	0.00E+00	1.56E+00
SP107549	1.32E+00	3.43E-01	2.89E-01	3.85E-01	1.51E-01	1.51E-01	1.42E+00
SP78814	1.68E+00	4.21E-01	3.60E-01	6.20E-01	1.21E+00	3.05E-01	2.02E+00
SP107357	5.56E+00	1.36E+00	1.38E+00	1.16E+00	1.71E+00	8.16E-01	4.89E+00
SP78919	2.20E+00	3.25E-01	3.67E-01	5.18E-01	6.15E-01	1.75E-01	2.29E+00
SP107453	1.38E+00	4.89E-01	3.90E-01	2.41E-01	7.11E-01	1.00E-02	1.43E+00
SP78719	1.68E-01	2.43E-01	2.39E-01	0.00E+00	9.20E-02	2.13E-01	2.84E-01
SP78662	4.45E-01	3.24E-01	1.29E-01	7.00E-02	4.53E-01	0.00E+00	3.13E-01
SP107457	3.19E+00	4.42E-01	4.37E-01	5.56E-01	9.18E-01	2.86E-01	3.24E+00
SP107404	2.80E+00	1.17E+00	8.85E-01	7.41E-01	9.18E-01	3.17E-01	2.87E+00
SP78714	1.62E+00	6.08E-01	3.48E-01	2.64E-01	5.22E-01	0.00E+00	1.66E+00
SP107454	1.90E+00	3.46E-01	2.76E-01	3.30E-02	5.11E-01	0.00E+00	1.97E+00
SP107359	5.40E+00	1.20E+00	7.07E-01	9.13E-01	1.31E+00	0.00E+00	5.53E+00
SP78664	3.04E+00	2.69E-01	2.97E-01	1.00E-02	5.17E-01	0.00E+00	3.04E+00
SP78931	3.18E+00	4.78E-01	9.45E-02	3.35E-01	3.29E-01	0.00E+00	3.31E+00
SP78815	1.09E+00	3.29E-01	2.91E-01	1.88E-01	4.66E-01	0.00E+00	1.21E+00
SP107466	2.49E+00	9.32E-01	7.91E-01	5.45E-01	1.35E+00	1.75E-01	2.35E+00
SP78901	5.19E+00	6.62E-01	4.16E-01	3.02E-01	3.37E-01	2.23E-01	5.25E+00
SP107384	4.56E+00	1.32E+00	1.34E+00	2.75E+00	3.26E+00	6.12E-01	4.49E+00
SP107467	5.55E-01	4.06E-01	1.14E-01	1.90E-01	5.98E-01	0.00E+00	6.33E-01
SP78680	4.50E-01	2.07E-01	0.00E+00	2.11E-01	3.41E-01	1.00E-02	2.88E-01
SP78672	1.36E+00	2.50E-01	0.00E+00	4.43E-01	3.82E-01	0.00E+00	1.42E+00
