MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
1:Del:C:0	0.017072503907547797	0.0106989004049683	0.0767610215395689	0.008995215614559128	0.007181327941361814	0.022216919102065733	0.032053063595085404	0.011517550245625898	0.032891480680555106	0.006854745321179507	0.3750418259203434	0.00587482899234601	0.04558381686569191	0.03541052550281165	0.050618506853934375	0.005262599228590261	0.01458704844582826	0.048784943712380485	0.051758108413778245	0.05256722551055095
1:Del:C:1	0.00536341383238323	0.003683628791186493	0.18930673237890006	0.011064134197367822	0.016563452116315602	0.05439792161807418	0.002900138539262116	0.013239892309065908	0.022508611764060334	0.0009469720238121227	0.06358352787792683	0.0031912063090567245	0.03905493791913614	0.0160816207449534	0.04247527518571587	0.0005798991632764228	0.003344108847959433	0.019417449294123798	0.035899459143462306	0.017150582284290294
1:Del:C:2	0.0051486305111757245	0.0019263605779087812	0.17542335852980614	0.0041420979649410584	0.001561471415188862	0.032503988686949016	0.007480457822457538	0.0024382826872169972	0.00454039437303436	0.002133036528539378	0.024948515947908163	3.260659985244274e-05	0.0160491386260815	0.010717057256260886	0.015211532277753577	0.002232757419842528	0.004551785640942398	0.0012167108419816942	0.017902228202306105	0.019863897816029662
1:Del:C:3	0.003912056755507365	0.0021579375315923244	0.0545772937964648	0.0012962325295666232	0.005142947779750102	0.016905951917578932	0.004495254938483413	0.005144799855188466	0.008269945040447056	0.0016826088503012215	0.012256890969147206	0.002963538068870548	0.005772826730535598	0.012506998566095717	0.020592171433672774	0.005884654931287514	0.00023851530044339598	0.012106744190095924	0.005596361866919324	0.01248531884746626
1:Del:C:4	0.006853715890611056	0.0076278623950202015	0.04077779818151612	0.0050598688755417245	0.0029464157798474843	0.001932766997924773	0.003579271147973486	0.0025609069178085518	0.005786601674044505	0.001283731895156688	0.006831608054490061	0.0001152569823898375	0.009873329219408334	0.010056841948535294	0.007120315406209557	0.005783875958295539	0.0011526437939028255	0.007711944002913924	0.007245175123243825	0.011040333025011933
1:Del:C:5	0.020410882415744708	0.024027637979015706	0.026736872924957425	0.005490122140035965	0.0051112321193795655	0.00032227373107161837	0.0021690671465330524	0.004483464298245963	0.0019073636585380882	2.8006629193555456e-09	0.0004013778004446067	0.0020413518398129326	0.007169873698112497	0.008350996112276333	0.004004565989016555	0.008234581876604353	0.0010466196314212084	0.023204166942741723	0.010459505305625498	0.010760991799033946
1:Del:T:0	0.008927707650582307	0.009176122270073393	0.03801197183318436	0.002814331735717133	0.006099241364572663	0.07860320593928918	0.003609152077769977	0.011981951389461756	0.0875300910230726	0.09338110513985157	0.030582389038463588	0.03310211275744223	0.01604491737438366	0.025015815207734705	0.05581969605118502	0.0025070766087037554	0.004102507490606513	0.030195106747560204	0.0454314774314571	0.05293501394626219
1:Del:T:1	0.0052035666871961435	0.006087386703584343	0.03618373924866319	0.0016632242006016896	0.003234235594281927	0.0561698457878083	0.0034512976469704883	0.006656695218407549	0.015334275575296487	0.16424199163913727	0.011688363001449034	0.00565424634667579	0.016456047659012256	0.006406534345005639	0.01426365488267038	0.0009691930034023244	0.0034306459949948478	0.0420184334856458	0.01983739237417467	0.028464996632392284
1:Del:T:2	0.004551457760171616	0.005714849905143637	0.018677670108154416	0.008677746820903848	0.015173361459746957	0.03170202802633867	0.0005747958692154497	0.014609088897705078	0.011795377562812064	0.13144715920090674	0.02500301132327877	0.0015533135274017696	0.013947617432277183	0.018811597112216985	0.034928439686773345	0.002389968540155678	0.0014422463721894018	0.028810032381443307	0.0193263813079966	0.026790424357168375
1:Del:T:3	0.01140033182746265	0.009032843895256519	0.02362962756305933	0.012379083175910638	0.008569562855991536	0.012897523473075125	0.01309090647380799	0.008131238202331588	0.003532956262386051	0.23356182381510734	0.014457853472558782	4.920956067508086e-05	0.017186257620633114	0.011316859825747087	0.013303253638441674	0.006958321888814681	0.0032338809687644243	0.002916540191617969	0.010495742867642549	0.0140210781877704
