MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
1:Del:C:0	2.02E-05	1.23E-04	3.68E-04	1.11E-03	2.87E-03	1.15E-03	2.94E-03
1:Del:C:1	6.78E-06	4.79E-05	2.42E-04	3.55E-04	7.02E-04	4.95E-04	2.06E-03
1:Del:C:2	6.74E-06	3.30E-05	1.26E-04	2.29E-04	4.75E-04	2.72E-04	1.26E-03
1:Del:C:3	7.24E-06	3.96E-05	9.78E-05	1.61E-04	3.10E-04	0.00E+00	5.93E-04
1:Del:C:4	5.38E-06	5.62E-05	1.07E-04	1.18E-04	3.15E-04	2.33E-05	6.24E-04
1:Del:C:5	1.89E-05	2.20E-04	2.41E-04	1.07E-04	3.39E-04	3.06E-04	4.73E-04
1:Del:T:0	9.23E-06	5.83E-05	3.23E-04	4.44E-04	1.32E-03	5.59E-04	3.12E-03
1:Del:T:1	7.07E-06	3.34E-05	1.86E-04	3.24E-04	4.61E-04	2.17E-04	1.12E-03
1:Del:T:2	1.38E-05	4.09E-05	1.75E-04	2.76E-04	6.58E-04	1.43E-04	8.77E-04
1:Del:T:3	1.92E-05	5.65E-05	1.54E-04	3.66E-04	7.82E-04	4.28E-04	1.28E-03
1:Del:T:4	2.80E-05	1.06E-04	1.75E-04	3.11E-04	7.15E-04	3.59E-04	1.77E-03
1:Del:T:5	3.05E-04	2.09E-03	1.81E-03	8.49E-04	1.93E-03	2.10E-03	2.02E-03
1:Ins:C:0	4.80E-05	4.57E-05	1.84E-05	5.28E-05	3.49E-04	2.32E-04	1.26E-03
1:Ins:C:1	1.26E-05	1.82E-05	4.41E-05	1.26E-04	2.85E-04	1.74E-04	6.92E-04
1:Ins:C:2	1.44E-05	5.58E-06	4.53E-05	7.19E-05	2.40E-04	1.21E-04	5.23E-04
1:Ins:C:3	1.36E-05	1.29E-05	5.20E-05	6.28E-05	1.24E-04	1.27E-04	2.37E-04
1:Ins:C:4	5.85E-05	4.97E-05	1.96E-05	5.33E-05	1.13E-04	1.03E-04	5.40E-04
1:Ins:C:5	4.73E-04	3.08E-04	4.21E-05	3.07E-05	6.66E-05	2.30E-04	4.01E-03
1:Ins:T:0	1.47E-04	7.11E-05	1.66E-05	1.21E-04	5.16E-04	3.37E-04	1.81E-03
1:Ins:T:1	3.95E-05	2.80E-47	1.25E-04	2.22E-04	6.68E-04	2.93E-04	2.06E-03
1:Ins:T:2	3.14E-05	5.60E-05	4.75E-05	1.01E-04	3.03E-04	1.61E-04	8.09E-04
1:Ins:T:3	5.44E-05	3.94E-05	6.88E-05	1.14E-04	2.24E-04	1.28E-04	3.75E-04
1:Ins:T:4	4.62E-04	8.01E-10	1.53E-05	9.12E-05	2.04E-04	1.24E-04	4.31E-05
1:Ins:T:5	1.19E-03	1.95E-03	8.72E-04	7.81E-04	4.59E-03	1.11E-04	2.86E-02
2:Del:R:0	5.35E-06	3.77E-05	2.36E-04	2.56E-04	3.29E-04	3.40E-04	1.04E-03
2:Del:R:1	6.87E-06	6.66E-05	9.23E-04	2.52E-04	4.93E-04	1.79E-04	1.00E-03
2:Del:R:2	4.02E-06	3.55E-05	2.98E-04	1.26E-04	2.38E-04	1.97E-04	3.90E-04
2:Del:R:3	6.48E-06	3.95E-05	1.76E-04	7.99E-05	1.63E-04	1.91E-04	3.90E-04
2:Del:R:4	2.79E-06	6.02E-05	2.21E-04	4.95E-05	2.68E-04	2.12E-04	5.93E-04
2:Del:R:5	3.12E-47	1.11E-04	2.82E-04	1.17E-04	3.54E-04	3.99E-04	8.12E-04
3:Del:R:0	3.20E-06	1.92E-05	1.47E-04	1.85E-04	1.61E-04	1.36E-04	3.01E-04
3:Del:R:1	3.18E-06	6.73E-05	8.23E-04	2.00E-04	2.69E-04	3.20E-04	6.17E-04
3:Del:R:2	6.99E-07	2.49E-05	3.20E-04	8.04E-05	1.12E-04	6.72E-05	1.98E-04
3:Del:R:3	9.24E-07	1.59E-05	9.48E-05	3.03E-05	4.37E-05	8.56E-05	5.74E-05
3:Del:R:4	1.04E-06	5.59E-06	9.40E-05	1.57E-05	9.87E-05	1.20E-05	1.28E-04
3:Del:R:5	9.07E-07	1.45E-05	7.59E-05	1.32E-05	7.62E-05	6.92E-05	8.62E-05
4:Del:R:0	5.23E-06	1.24E-05	1.54E-04	1.65E-04	1.29E-04	1.29E-04	2.89E-04
4:Del:R:1	5.12E-07	5.36E-05	8.07E-04	2.06E-04	9.75E-04	4.95E-04	2.06E-03
4:Del:R:2	3.75E-07	2.23E-05	2.97E-04	2.01E-05	3.26E-04	2.42E-04	5.03E-04
4:Del:R:3	3.81E-07	2.47E-05	2.04E-04	2.10E-05	2.26E-04	1.76E-04	2.66E-04
4:Del:R:4	2.92E-06	1.25E-05	1.41E-04	2.36E-05	1.27E-04	8.93E-05	1.87E-04
4:Del:R:5	1.88E-06	1.24E-05	9.11E-05	1.87E-05	7.88E-05	8.63E-05	9.36E-05
5:Del:R:0	1.29E-10	8.19E-10	1.44E-05	8.82E-04	4.85E-07	8.82E-04	1.50E-05
5:Del:R:1	1.58E-10	1.17E-06	3.38E-04	9.15E-05	3.70E-04	2.57E-04	7.19E-04
5:Del:R:2	2.43E-06	1.29E-05	1.15E-04	1.82E-05	1.27E-04	1.17E-04	1.56E-04
5:Del:R:3	6.20E-07	7.11E-06	3.86E-05	2.34E-05	6.78E-05	4.75E-05	7.39E-05
5:Del:R:4	3.38E-07	2.82E-06	2.92E-05	5.45E-06	3.71E-05	2.47E-05	4.63E-05
5:Del:R:5	1.41E-06	3.31E-06	2.03E-05	1.19E-06	1.75E-05	1.12E-05	3.82E-05
2:Ins:R:0	6.29E-05	7.01E-05	3.42E-05	1.04E-04	1.73E-04	3.35E-04	9.91E-04
2:Ins:R:1	1.80E-05	3.43E-05	5.46E-05	1.17E-04	3.92E-04	1.82E-04	8.60E-04
2:Ins:R:2	1.81E-05	2.39E-05	7.96E-07	7.92E-05	1.84E-04	1.43E-04	3.14E-04
2:Ins:R:3	6.34E-05	2.21E-05	2.57E-05	3.82E-05	5.85E-06	9.30E-05	4.76E-05
2:Ins:R:4	3.30E-04	6.14E-05	2.53E-05	1.34E-09	5.18E-09	1.11E-04	3.33E-04
2:Ins:R:5	6.91E-04	4.82E-04	4.56E-05	6.12E-05	1.87E-05	3.51E-04	5.97E-03
3:Ins:R:0	1.69E-05	2.95E-05	5.69E-05	6.89E-05	5.99E-05	1.96E-04	3.79E-04
3:Ins:R:1	1.24E-05	6.61E-06	1.44E-05	8.52E-05	2.50E-04	1.11E-04	5.29E-04
3:Ins:R:2	9.07E-06	6.88E-06	9.14E-06	3.24E-05	2.88E-05	1.85E-06	3.81E-05
3:Ins:R:3	1.40E-05	3.34E-06	3.23E-06	1.49E-06	6.32E-06	1.29E-05	4.80E-05
3:Ins:R:4	2.40E-05	8.00E-06	1.28E-09	1.01E-05	2.90E-06	1.40E-06	1.05E-04
3:Ins:R:5	7.83E-05	5.71E-05	2.00E-09	3.43E-06	7.94E-05	8.80E-05	6.32E-04
4:Ins:R:0	3.00E-05	5.60E-05	1.18E-09	6.11E-06	3.93E-05	2.58E-04	2.67E-04
4:Ins:R:1	1.74E-05	9.34E-06	6.07E-05	6.65E-05	3.60E-04	1.29E-04	9.79E-04
4:Ins:R:2	8.97E-06	1.55E-05	3.23E-06	9.28E-06	9.61E-06	4.69E-05	1.12E-04
4:Ins:R:3	1.61E-05	1.49E-05	6.18E-06	3.34E-06	5.75E-09	5.19E-05	1.19E-04
4:Ins:R:4	2.72E-05	2.37E-05	1.80E-05	1.57E-05	5.50E-05	6.38E-05	2.47E-04
4:Ins:R:5	5.49E-05	3.34E-05	2.15E-05	1.76E-05	1.67E-04	7.64E-05	6.33E-04
5:Ins:R:0	9.28E-05	4.38E-05	7.00E-10	5.01E-06	2.18E-09	1.84E-03	4.04E-06
5:Ins:R:1	1.65E-05	1.73E-05	1.21E-04	2.11E-04	1.62E-03	3.72E-04	3.58E-03
5:Ins:R:2	1.07E-05	9.88E-06	0.00E+00	1.70E-05	6.23E-05	5.83E-05	9.94E-05
5:Ins:R:3	6.71E-06	5.56E-06	2.03E-05	5.24E-06	6.88E-05	4.03E-05	1.53E-04
5:Ins:R:4	1.04E-05	3.77E-06	3.29E-09	1.55E-08	5.99E-05	1.25E-06	1.72E-04
5:Ins:R:5	4.57E-06	2.04E-06	1.00E-05	1.43E-05	5.67E-05	6.92E-06	1.48E-04
2:Del:M:1	7.52E-06	6.20E-05	5.47E-04	2.78E-04	5.44E-04	3.16E-04	5.84E-04
3:Del:M:1	1.21E-06	1.80E-05	1.14E-04	1.56E-04	1.71E-04	1.77E-05	2.26E-04
3:Del:M:2	7.40E-06	3.86E-05	4.56E-04	1.48E-04	1.50E-04	8.13E-05	2.51E-04
4:Del:M:1	3.67E-06	3.04E-05	1.63E-04	1.60E-04	6.68E-05	2.48E-04	1.87E-04
4:Del:M:2	3.34E-06	4.41E-06	3.78E-04	1.63E-04	5.79E-04	2.50E-04	7.51E-04
4:Del:M:3	2.02E-06	1.48E-06	5.23E-04	2.01E-04	7.78E-04	3.41E-04	1.45E-03
5:Del:M:1	5.04E-06	4.25E-05	9.70E-05	6.87E-04	1.30E-05	6.51E-04	8.82E-05
5:Del:M:2	4.15E-06	2.46E-05	1.53E-04	4.07E-04	3.57E-04	2.42E-04	4.15E-04
5:Del:M:3	4.45E-06	2.60E-05	2.13E-04	2.31E-04	3.50E-04	2.84E-04	7.00E-04
5:Del:M:4	1.71E-06	2.79E-06	1.67E-04	1.54E-04	2.74E-04	1.86E-04	5.61E-04
