Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
CPCT02060192T	58	18	14	124	36	12	45	4
CPCT02011090T	6	30	14	27	23	7	47	29
CPCT02070463T	75	60	24	32	13	89	24	22
CPCT02011094T	0	24	0	26	22	16	48	26
CPCT02030458T	58	39	5	80	21	14	31	30
CPCT02060282T	0	43	16	17	12	0	21	37
DRUP01090012T	0	184	28	116	29	0	38	40
CPCT02090042T	40	70	7	64	29	18	50	32
CPCT02340078T	5	19	4	69	12	8	20	16
WIDE01010040T	566	41	61	28	33	79	60	24
CPCT02020683T	899	71	90	211	0	99	0	0
CPCT02020691T	168	116	142	173	101	55	29	40
DRUP01010077T	22	145	23	71	48	36	47	37
DRUP01050021T	1027	213	1613	228	0	0	0	749
CPCT02080206T	6	34	15	68	25	14	23	10
CPCT02060292T	345	133	39	33	26	67	0	0
CPCT02060290T	7	16	20	25	34	15	33	16
CPCT02090044T	389	79	0	74	114	0	0	651
WIDE01010138T	77	94	39	93	21	93	8	43
CPCT02130062T	75	63	71	107	86	46	4	35
WIDE01010160T	106	139	145	63	48	33	20	37
CPCT02020706T	46	9	0	129	0	25	0	0
CPCT02070313T	19	43	59	82	14	15	48	22
WIDE01010187T	454	61	54	39	141	52	56	38
WIDE01010169T	79	308	221	57	158	48	57	72
CPCT02100161T	701	418	230	106	189	81	77	24
CPCT02070317T	0	114	104	65	49	0	51	35
WIDE01010239T	0	182	45	69	0	29	43	41
WIDE01010233T	0	184	221	73	42	48	0	68
CPCT02070322T	42	50	18	108	52	14	23	8
WIDE01010262T	395	4	117	51	73	104	42	25
WIDE01010267T	8	146	142	49	50	17	78	57
WIDE01010293T	0	5	0	21	0	0	20	31
WIDE01010167T	38	32	5	38	32	7	24	38
CPCT02060211T	56	15	162	174	134	4	34	20
DRUP01080012T	856	48	209	518	57	140	0	0
WIDE01010356T	60	50	33	65	42	167	43	53
WIDE01010374T	237	22	38	0	0	52	0	0
WIDE01010393T	486	77	219	66	326	105	56	36
CPCT02090036T	0	262	313	93	0	0	0	0
CPCT02340018TII	297	47	120	269	174	322	7	14
CPCT02340088T	37	36	67	70	24	42	78	40
WIDE01010452T	43	190	19	41	54	17	28	19
CPCT02080227T	78	105	25	167	25	32	29	5
CPCT02060230T	61	320	0	86	48	0	0	0
CPCT02020750T	18	15	5	57	23	12	29	20
CPCT02060241T	44	23	83	78	0	0	47	0
CPCT02060245T	20	31	96	121	94	14	11	10
CPCT02070319T	68	42	36	112	80	26	39	33
CPCT02010856T	71	71	55	48	0	0	317	0
CPCT02090052T	0	21	147	66	161	0	0	99
CPCT02090053T	13	13	81	67	35	18	41	19
CPCT02070357T	396	170	536	146	657	348	0	0
CPCT02090057T	47	0	8	41	52	13	41	0
CPCT02270035T	13	132	41	85	50	15	34	31
CPCT02060254T	0	78	237	68	160	0	0	0
CPCT02070365T	33	33	47	38	25	14	35	34
CPCT02060258T	7	42	8	58	21	25	24	29
CPCT02080247T	47	100	66	160	49	27	82	49
CPCT02020794T	101	156	73	105	82	45	373	30
CPCT02020790T	40	44	23	62	72	16	49	28
CPCT02060253T	24	35	19	54	42	14	42	57
CPCT02020775T	20	61	43	53	37	1	49	36
CPCT02030513T	36	115	21	124	95	54	65	15
CPCT02380051T	11	17	50	67	12	16	22	27
CPCT02080248T	60	45	81	103	13	10	23	13
CPCT02070371T	173	0	85	85	23	29	0	0
CPCT02070366T	35	26	16	78	29	20	16	26
CPCT02050392T	89	33	42	117	28	5	40	6
CPCT02130147T	738	337	109	73	0	146	0	0
CPCT02020812T	0	86	54	55	22	31	0	28
CPCT02020820T	64	75	17	116	5	75	25	36
DRUP01090014T	27	210	213	89	74	18	13	51
CPCT02060240T	111	161	60	89	37	19	48	44
DRUP01060024T	361	421	87	92	0	141	0	0
CPCT02020848T	58	0	0	54	33	25	46	59
CPCT02010648T	96	0	79	91	73	142	0	0
CPCT02060130T	74	59	56	69	16	34	80	41
CPCT02010649T	0	318	39	164	0	0	59	0
CPCT02060127T	0	158	41	87	73	0	36	0
CPCT02340106T	29	73	16	109	54	42	32	45
CPCT02150034T	179	246	151	61	128	38	27	52
CPCT02030415T	486	0	134	345	374	0	0	366
CPCT02060235T	24	58	9	32	21	14	51	58
CPCT02010625T	58	199	0	104	29	0	0	0
CPCT02060275T	8	73	102	73	25	14	25	29
CPCT02340026T	15	14	49	105	55	13	41	40
CPCT02090063T	113	82	30	20	11	9	22	19
CPCT02010549T	68	21	56	218	71	0	0	0
CPCT02060066T	53	33	22	34	16	19	31	27
CPCT02020450T	11	39	2	17	32	17	21	3
CPCT02010406TII	69	2	29	32	31	12	28	33
CPCT02050167T	44	62	52	29	35	12	40	26
CPCT02110036T	44	6	22	68	39	14	30	21
CPCT02010599T	2	38	83	49	31	28	39	17
CPCT02010595T	19	53	59	15	11	11	40	16
CPCT02100091T	595	70	22	62	267	329	120	197
CPCT02060104T	23	2	1	25	15	10	18	18
CPCT02010600T	12	176	27	64	26	23	62	45
CPCT02110040T	0	286	188	228	357	81	0	121
CPCT02340018T	325	40	122	183	130	412	0	0
CPCT02050225T	18	101	56	77	25	21	84	20
CPCT02040141T	110	105	18	224	0	0	0	0
CPCT02340020T	55	24	83	98	33	19	21	11
CPCT02080139T	56	0	0	133	0	0	0	0
CPCT02060061T	0	96	488	51	73	0	97	0
CPCT02070051T	173	66	23	86	0	0	0	0
CPCT02010408TII	24	74	16	60	25	48	75	46
CPCT02010429T	54	65	3	45	28	16	22	24
CPCT02020438T	71	37	58	43	96	117	105	22
CPCT02040072T	51	44	63	49	141	31	24	44
CPCT02020428T	38	246	0	0	0	0	0	47
CPCT02010494T	47	58	41	43	50	20	145	22
CPCT02070095T	33	102	69	45	108	39	19	14
DRUP01070006T	0	17	7	44	11	8	10	0
DRUP01070005T	29	114	73	73	112	47	63	52
CPCT02020465T	18	12	0	28	54	17	24	27
CPCT02030325T	3	137	46	50	94	13	48	42
CPCT02090011T	0	76	138	71	49	60	35	51
CPCT02060071T	160	246	57	70	0	70	53	0
DRUP01070010T	12	131	27	67	60	40	29	49
CPCT02070111T	25	11	19	60	0	15	54	0
CPCT02070098T	22	103	100	24	72	18	21	29
CPCT02090012T	23	46	92	22	139	17	184	26
DRUP01090001T	20	122	59	41	31	9	43	20
CPCT02070108T	65	12	49	55	79	20	15	28
CPCT02010548T	10	58	12	40	30	15	30	32
CPCT02090014T	2	177	77	41	58	40	55	56
CPCT02010559T	40	150	0	80	0	37	48	34
CPCT02080102T	65	119	131	80	54	52	93	95
CPCT02030422T	39	42	15	82	21	6	16	14
CPCT02070249T	570	142	38	65	97	106	36	73
DRUP01070029T	53	147	67	159	0	0	0	0
CPCT02070247T	48	22	2	104	15	7	37	28
DRUP01010053T	33	123	25	77	29	18	26	61
DRUP01100003T	831	92	30	637	217	460	83	138
CPCT02070257T	26	239	165	123	23	1	51	36
CPCT02340046T	65	12	9	144	40	3	14	3
DRUP01080008T	124	120	131	361	54	29	138	145
DRUP01340002T	52	6	44	110	45	16	24	39
CPCT02010715T	51	52	7	212	27	13	16	7
WIDE01010465T	0	94	19	50	0	0	76	46
WIDE01010487T	37	33	31	55	47	23	55	53
WIDE01010492T	0	13	79	60	94	0	47	61
WIDE01010497T	61	23	11	40	26	41	26	51
WIDE01010521T	279	284	232	48	139	96	82	49
WIDE01010519T	448	62	37	51	38	106	34	20
WIDE01010527T	0	0	0	23	25	14	0	16
WIDE01010517T	38	0	30	33	91	36	0	75
WIDE01010699T	56	65	13	17	21	33	21	23
WIDE01010713T	80	342	175	66	5	60	90	60
