Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
CPCT02010704T	12	10	10	2	0	0	118	22	6	0	14	22	10	9	8	6	1	45
CPCT02010705T	7	49	0	12	18	0	69	30	6	7	4	19	27	45	2	14	5	0
CPCT02250003T	0	2	0	0	2	348	42	28	107	218	340	0	0	69	62	4	3205	0
CPCT02010698T	6	59	7	8	63	91	32	10	7	8	22	0	16	24	6	0	5	1
WIDE01010622T	57	202	131	25	20	54	22	47	3	17	81	0	71	58	28	21	12	80
WIDE01010631T	170	262	8	16	90	1	15	24	75	17	26	0	58	17	38	49	23	54
WIDE01010635T	130	49	11	52	229	51	0	17	76	24	0	9	3	129	61	107	15	0
WIDE01010636T	96	276	410	58	9	52	27	85	26	48	28	35	47	5	14	23	7	32
WIDE01010658T	16	37	404	39	48	77	20	84	10	110	16	2	45	7	19	15	22	16
WIDE01010504T	15	56	5	1	0	6	13	26	10	2	9	5	20	27	4	2	21	22
WIDE01010493T	5	142	6	5	35	6	29	7	0	2	16	33	11	7	4	0	20	10
WIDE01010304T	3	19	8	0	5	12	10	10	6	16	0	6	15	22	8	9	3	0
WIDE01010568T	22	36	16	2	7	114	18	9	28	24	52	0	35	0	12	9	2	7
WIDE01010464T	60	291	31	41	122	0	36	242	19	30	60	0	25	109	15	15	22	78
WIDE01010467T	6	13	19	1	0	2	7	7	1	4	0	8	21	17	4	13	7	5
WIDE01010486T	12	11	24	0	8	20	5	9	4	10	3	0	22	23	2	12	8	3
WIDE01010516T	241	371	24	24	191	38	16	6	14	0	5	18	68	36	10	18	18	0
WIDE01010510T	186	248	0	0	0	0	5	2	7	0	13	561	0	0	2	0	0	0
WIDE01010583T	15	54	4	1	15	80	5	41	3	13	35	2	28	38	13	4	3	0
WIDE01010566T	519	244	21	18	37	33	18	11	99	0	20	34	7	29	17	150	12	43
WIDE01010578T	18242	204	0	2342	2013	0	23	0	220	0	0	0	162	161	31	750	0	0
WIDE01010599T	108	335	30	13	164	19	26	30	14	13	37	51	0	33	7	0	25	0
WIDE01010604T	97	258	0	0	209	0	42	43	31	99	49	113	0	0	12	20	18	39
WIDE01010614T	436	553	14	30	61	0	22	15	34	45	17	19	8	37	132	14	35	15
WIDE01010662T	46	174	8	17	166	0	41	37	11	9	7	21	56	91	11	0	9	0
WIDE01010672T	137	79	0	13	95	0	20	1	18	6	28	45	2	24	5	13	15	1
WIDE01010686T	1	6	1	11	0	14	22	17	2	4	3	7	5	20	10	9	5	0
WIDE01010532T	228	219	35	1	104	97	4	42	13	13	45	45	5	42	9	10	30	37
WIDE01010703T	9	7	20	7	5	6	17	24	8	0	23	0	13	44	6	2	1	16
WIDE01010712T	42	14	5	1	10	58	19	27	1	1	0	44	41	4	14	8	0	22
WIDE01010721T	40	117	23	0	0	38	27	37	22	12	21	35	61	8	7	27	23	48
WIDE01010663T	46	82	3	0	30	43	13	14	1	10	30	49	1	30	10	22	9	11
