Samples	ID83A	ID83B	ID83C	ID83D	ID83E
SP124389	1.57E+00	8.50E-01	1.97E+00	1.25E+00	4.87E-01
SP124362	4.25E+00	8.88E-01	2.64E+00	4.95E+00	7.58E-01
SP124394	5.65E+00	6.15E-01	1.79E+00	6.20E+00	5.75E-01
SP124334	2.87E+00	9.34E-01	2.41E+00	3.77E+00	6.62E-01
SP124339	1.30E+00	3.86E-01	1.16E+00	1.31E+00	6.49E-01
SP124454	2.55E+00	8.84E-01	2.58E+00	3.31E+00	5.82E-01
SP124380	3.15E+00	9.03E-01	2.15E+00	3.50E+00	7.40E-01
SP124273	7.27E-01	1.10E+00	1.74E+00	7.05E-01	6.63E-01
SP124357	1.79E+00	9.46E-01	2.05E+00	1.70E+00	6.47E-01
SP124399	5.90E+00	9.93E-01	3.51E+00	7.52E+00	6.08E-01
SP124311	8.18E+00	7.94E-01	3.02E+00	9.71E+00	1.00E+00
SP124355	1.22E+00	5.45E-01	1.40E+00	1.54E+00	5.30E-01
SP124434	3.36E+00	9.28E-01	2.37E+00	3.92E+00	6.96E-01
SP124428	1.24E+01	1.41E+00	4.68E+00	1.49E+01	1.08E+00
SP124449	2.96E+00	1.18E+00	2.82E+00	2.32E+00	5.36E-01
SP124298	1.67E+01	1.23E+00	4.88E+00	2.01E+01	1.24E+00
SP124431	7.02E+00	6.65E-01	2.37E+00	8.15E+00	7.53E-01
SP124396	2.67E+00	1.65E+00	3.33E+00	3.86E+00	8.78E-01
SP124409	4.08E+00	1.14E+00	3.94E+00	5.13E+00	9.73E-01
SP124341	1.84E+00	8.20E-01	2.63E+00	7.13E-01	5.10E-01
SP124353	1.16E+00	2.97E-01	1.38E+00	1.12E+00	5.14E-01
SP124278	5.57E-01	1.13E+00	1.77E+00	1.00E+00	5.92E-01
SP124376	4.30E+00	9.22E-01	2.50E+00	5.05E+00	9.54E-01
SP124346	1.41E+00	8.99E-01	2.40E+00	1.19E+00	6.82E-01
SP124439	5.52E+00	1.10E+00	2.14E+00	4.78E+00	7.55E-01
