Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
SP116536	6.82E-01	6.01E-01	0.00E+00	5.94E-01	9.08E-01	1.18E+00	6.75E-02	3.75E-01	6.51E-01	2.17E-01	2.08E-01	7.31E-01
SP116539	4.33E-01	8.93E-02	0.00E+00	2.06E-01	4.10E-01	5.84E-01	2.34E-01	9.06E-02	3.31E-01	0.00E+00	1.23E-01	0.00E+00
SP116542	1.43E-01	2.20E-01	0.00E+00	2.06E-01	4.13E-01	5.56E-01	0.00E+00	1.04E-01	2.24E-01	2.53E-01	1.06E-01	5.12E-01
SP116545	0.00E+00	1.88E-01	0.00E+00	3.59E-01	6.18E-01	6.45E-01	1.06E-01	2.38E-01	0.00E+00	1.34E-01	3.15E-02	1.17E-01
SP116548	2.59E-01	3.43E-01	0.00E+00	3.45E-01	5.03E-01	4.98E-01	7.77E-02	2.29E-01	4.00E-01	3.05E-01	6.03E-02	3.77E-01
SP116550	1.31E-01	8.54E-02	4.82E-02	0.00E+00	1.34E-01	7.25E-02	0.00E+00	1.00E-02	0.00E+00	1.56E-01	0.00E+00	8.25E-02
SP116553	2.18E-01	3.75E-01	4.77E-02	1.46E-01	4.02E-01	3.63E-01	1.75E-01	3.61E-01	4.55E-02	7.87E-02	1.86E-01	3.57E-01
SP116557	0.00E+00	0.00E+00	1.34E-01	0.00E+00	1.27E-01	1.50E-01	1.88E-01	1.80E-01	0.00E+00	4.55E-02	2.23E-02	2.43E-01
SP116559	1.24E-01	3.32E-01	0.00E+00	2.82E-01	7.56E-01	6.84E-01	0.00E+00	2.55E-01	3.35E-01	1.62E-01	1.63E-01	4.00E-01
SP116562	4.14E-01	4.16E-01	1.90E-01	1.56E-01	2.69E-01	2.05E-01	1.37E-01	3.39E-01	4.11E-01	2.61E-01	0.00E+00	4.02E-01
SP116564	2.88E-01	2.93E-01	1.52E-01	3.28E-01	4.52E-01	4.44E-01	3.60E-01	5.02E-01	2.71E-01	3.94E-01	1.57E-01	4.98E-01
SP116571	1.79E-01	1.60E-01	0.00E+00	3.15E-01	3.41E-01	1.97E-01	1.41E-01	1.76E-01	2.08E-01	2.19E-01	1.43E-01	2.66E-01
SP116393	0.00E+00	0.00E+00	1.00E-02	0.00E+00	0.00E+00	2.97E-02	7.46E-02	8.12E-02	0.00E+00	0.00E+00	7.02E-02	3.55E-02
SP116442	0.00E+00	0.00E+00	0.00E+00	4.00E-02	1.40E-01	1.16E-01	0.00E+00	2.00E-02	0.00E+00	3.59E-02	0.00E+00	1.19E-01
SP116446	0.00E+00	8.82E-02	0.00E+00	1.02E-01	1.03E-01	2.01E-01	1.00E-01	2.62E-01	0.00E+00	1.15E-01	2.38E-01	1.36E-01
SP116419	6.92E-01	2.95E-01	0.00E+00	5.66E-01	1.51E+00	1.61E+00	3.65E-01	9.01E-01	8.31E-01	3.17E-01	2.98E-01	8.46E-01
SP116383	2.34E+00	1.47E+00	1.72E-01	2.08E+00	1.66E+00	2.56E+00	1.45E+00	9.96E-01	1.55E+00	1.21E+00	8.59E-01	1.58E+00
SP116385	9.94E-01	7.56E-01	0.00E+00	5.20E-01	9.03E-01	1.01E+00	8.34E-01	9.10E-01	5.15E-01	8.57E-01	6.26E-01	1.26E+00
