Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
SP53460	6.11E+00	7.29E-01	5.88E-01	2.17E+00	5.98E-01	5.62E+00
SP50827	1.27E+01	1.37E+00	1.87E+00	2.59E+00	6.09E-01	1.10E+01
SP50263	1.39E+00	9.60E-01	1.43E+00	1.99E+00	2.78E-01	1.66E+00
SP50317	1.60E+00	1.21E+00	1.17E+00	2.38E+00	0.00E+00	2.24E+00
SP54113	8.59E+00	1.75E+00	1.82E+00	3.72E+00	6.73E-01	9.66E+00
SP50406	2.81E-01	5.70E-02	1.69E-01	1.12E-01	1.72E-01	2.56E-01
SP51824	3.24E+00	8.80E-01	1.41E+00	1.70E+00	2.59E-01	2.79E+00
SP55387	1.42E+00	1.27E-01	4.78E-01	6.40E-01	1.16E-01	1.43E+00
SP52779	9.57E+00	8.61E-01	1.57E+00	1.88E+00	9.02E-01	9.10E+00
SP55235	1.65E+01	1.39E+00	1.72E+00	2.79E+00	0.00E+00	1.65E+01
SP50713	2.03E+00	3.20E-01	6.06E-01	1.36E+00	0.00E+00	1.51E+00
SP50611	1.39E+01	8.86E-01	1.34E+00	2.03E+00	2.85E-01	1.35E+01
SP50485	1.51E+00	3.97E-01	7.03E-01	1.09E+00	0.00E+00	8.92E-01
SP51037	8.81E-01	6.67E-01	9.91E-01	1.08E+00	2.00E-02	8.25E-01
SP55142	1.07E+01	2.93E+00	2.81E+00	5.48E+00	1.04E+00	7.83E+00
SP53387	8.75E+00	8.56E-01	1.10E+00	2.28E+00	1.43E+00	7.89E+00
SP54745	5.61E+00	1.34E+00	1.65E+00	3.06E+00	1.31E+00	3.76E+00
SP52284	1.42E+00	9.09E-01	1.45E+00	1.71E+00	2.05E-01	1.42E+00
SP53618	1.60E+01	9.41E-01	1.50E+00	2.14E+00	7.00E-01	1.66E+01
SP52232	5.58E+00	4.09E-01	2.56E-01	1.47E+00	4.14E-01	5.25E+00
SP50412	9.29E-01	3.27E-01	5.50E-01	9.52E-01	4.22E-01	7.86E-01
SP50321	3.44E+00	1.33E-01	1.14E+00	1.68E+00	9.11E-01	2.91E+00
SP53548	9.66E-01	5.81E-01	1.07E+00	1.54E+00	1.06E+00	9.25E-01
SP55004	1.18E-01	4.00E-02	2.03E-01	3.75E-01	2.10E-01	3.29E-01
SP56079	8.77E+00	5.77E-01	1.02E+00	1.47E+00	0.00E+00	8.65E+00
SP56168	1.97E+00	8.26E-01	1.29E+00	3.14E+00	1.09E+00	2.35E+00
SP54363	8.85E+00	1.23E+00	2.05E+00	1.90E+00	7.06E-01	8.42E+00
SP53810	4.15E+01	1.90E+00	1.46E+00	2.29E+00	5.20E-01	4.23E+01
SP50518	1.09E+00	6.59E-01	1.38E+00	1.91E+00	7.94E-01	1.80E+00
SP56303	1.95E+00	1.33E+00	1.76E+00	2.94E+00	9.18E-01	2.54E+00
SP55711	1.54E+00	5.55E-01	1.41E+00	2.76E+00	7.03E-01	1.94E+00
SP55509	1.54E+01	9.27E-01	1.45E+00	2.03E+00	0.00E+00	1.56E+01
SP55309	6.37E-01	2.54E-01	4.28E-01	8.34E-01	4.46E-01	6.36E-01
SP52607	9.49E-01	1.00E-01	5.75E-01	9.97E-01	6.22E-01	7.85E-01
SP52667	5.64E+00	8.34E-01	1.02E+00	2.13E+00	0.00E+00	4.57E+00
SP51446	1.35E+00	3.65E-01	1.27E+00	1.83E+00	9.17E-01	1.96E+00
SP50592	1.20E+00	5.11E-01	1.30E+00	2.39E+00	9.85E-01	2.00E+00
SP53073	3.15E+00	8.60E-01	1.08E+00	1.83E+00	5.93E-01	2.34E+00
SP56638	6.73E+00	9.44E-01	1.81E+00	1.91E+00	1.03E+00	6.22E+00
SP56537	3.41E+00	1.69E+00	1.96E+00	2.09E+00	5.00E-02	2.70E+00
SP57586	4.33E+00	1.34E+00	1.76E+00	2.30E+00	8.30E-01	2.71E+00
SP56541	5.10E+00	1.12E+00	9.41E-01	2.24E+00	8.88E-01	4.09E+00
SP56553	6.42E+00	1.91E+00	2.90E+00	2.72E+00	9.95E-01	4.71E+00
SP56771	1.82E+00	1.33E+00	1.82E+00	1.76E+00	6.80E-01	1.46E+00
SP57941	1.59E+01	1.57E+00	1.80E+00	2.88E+00	6.38E-01	1.47E+01
SP57818	1.04E+01	1.33E+00	1.67E+00	2.71E+00	7.76E-01	1.07E+01
SP56460	2.60E+00	1.62E+00	2.53E+00	2.43E+00	8.46E-01	1.75E+00
SP56474	1.74E+00	1.46E+00	1.68E+00	1.61E+00	3.32E-01	1.44E+00
SP56704	5.78E+00	1.58E+00	1.63E+00	2.29E+00	6.59E-01	5.96E+00
SP56533	2.66E+00	1.43E+00	1.72E+00	2.34E+00	1.00E-02	2.01E+00
SP56730	4.06E+00	1.49E+00	2.10E+00	2.42E+00	9.68E-01	3.01E+00
SP59245	4.07E+00	1.78E+00	2.04E+00	3.88E+00	1.60E+00	2.57E+00
SP57024	2.74E+00	8.58E-01	1.70E+00	1.73E+00	6.63E-01	1.62E+00
SP57933	5.24E+00	4.33E+00	4.26E+00	6.85E+00	1.25E+00	4.12E+00
SP56754	4.35E+00	1.16E+00	1.48E+00	1.92E+00	5.33E-01	3.04E+00
SP56827	4.99E+00	8.79E-01	1.04E+00	1.63E+00	0.00E+00	4.67E+00
SP57084	3.19E+00	1.76E+00	2.39E+00	2.42E+00	8.08E-01	2.53E+00
SP57538	3.09E+00	1.59E+00	1.59E+00	2.52E+00	7.88E-01	1.63E+00
