Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
SP116536	14	9	0	11	0	18	0	0	25	8	0	0	0	0	0	0	1	8	0	6
SP116539	0	0	0	3	0	2	4	0	11	3	0	0	0	0	0	0	0	0	0	0
SP116542	3	0	0	2	0	6	0	1	7	1	0	1	2	0	0	0	0	7	0	0
SP116545	1	0	0	4	5	11	0	0	4	0	0	0	0	0	4	0	0	0	0	0
SP116548	6	0	0	3	5	0	1	0	9	5	0	2	2	0	4	0	0	3	0	0
SP116550	1	1	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SP116553	10	2	0	1	4	4	0	0	2	0	2	0	0	0	0	0	0	6	4	0
SP116557	0	0	1	0	0	0	2	0	2	0	0	4	0	0	0	0	0	0	0	0
SP116559	4	0	0	3	8	2	0	0	7	3	1	1	0	5	0	2	0	4	0	0
SP116562	17	7	1	0	0	6	0	0	0	5	0	0	1	0	3	0	0	6	0	0
SP116564	4	1	0	6	2	0	3	2	2	1	4	5	5	0	0	0	0	4	3	4
SP116571	2	1	0	9	4	0	1	0	3	1	1	0	2	0	0	0	0	2	0	0
SP116393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
SP116442	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SP116446	1	0	0	1	0	0	0	0	4	0	2	1	1	0	0	0	0	0	0	0
SP116419	3	3	0	8	11	36	1	3	12	15	0	0	0	0	3	8	0	13	1	14
SP116383	51	88	3	90	24	40	42	44	19	19	0	0	18	0	6	4	12	43	0	0
SP116385	47	17	0	12	6	16	10	5	6	5	0	32	9	0	8	0	8	26	19	0
SP116440	26	4	0	12	0	0	4	37	0	13	0	17	0	0	0	29	0	26	0	11
SP116450	88	75	2	38	14	33	0	75	2	20	0	22	10	2	0	20	0	22	10	11
SP116493	25	0	0	2	4	14	1	0	12	3	0	0	2	0	0	12	1	4	3	0
SP116391	13	0	0	15	3	1	0	6	7	0	0	0	0	0	2	3	0	0	2	22
SP116401	9	13	0	1	3	5	0	8	8	4	0	0	5	4	0	0	1	3	0	2
SP116409	33	8	0	11	5	17	2	0	5	6	0	0	14	0	0	4	7	29	0	3
SP116416	1	0	0	3	0	12	2	0	5	1	0	0	1	0	0	4	2	0	0	0
SP116424	2	2	0	1	1	5	2	0	1	5	0	5	4	0	0	0	0	5	1	0
SP116515	0	9	2	7	4	27	11	12	8	7	0	0	0	0	6	0	0	1	0	0
SP116499	11	7	5	33	35	31	13	0	1	7	0	0	1	0	0	0	1	0	8	5
SP116505	130	0	2	57	26	0	3	5	0	1	0	35	0	0	0	0	2	0	7	10
SP116509	5	13	2	31	38	0	14	0	19	6	0	0	3	33	0	4	2	6	3	3
SP116437	6	5	0	2	6	9	0	6	11	9	0	0	0	0	0	0	0	4	2	5
SP116512	32	9	0	15	41	63	4	26	0	4	0	0	159	0	0	0	0	28	1	4
SP116465	7	1	0	34	12	0	6	0	1	1	0	0	40	0	0	0	4	75	11	0
SP116496	46	93	0	32	21	53	42	96	71	16	0	0	13	0	0	0	12	27	0	30
SP116525	20	30	0	30	20	48	2	0	52	9	0	7	5	0	1	0	0	17	13	0
SP116481	8	0	1	3	4	6	2	0	0	0	0	0	0	0	0	3	0	0	0	14
SP116586	2	1	0	3	20	3	7	10	8	2	0	11	0	0	0	3	1	2	1	1
SP116528	162	19	0	15	23	0	4	8	28	6	0	33	11	0	52	0	3	0	11	0
SP116589	66	49	6	37	83	0	36	19	0	12	0	0	5	0	0	45	0	10	5	22
SP116406	8	10	0	21	37	0	0	0	0	1	0	13	7	0	0	0	0	8	7	5
SP116484	2	0	2	3	3	17	0	0	0	1	0	12	1	0	0	0	0	0	0	2
SP116453	10	4	1	7	13	17	0	17	5	2	0	3	2	0	0	6	3	3	6	0
SP116469	23	87	0	7	13	80	30	149	2	19	0	0	13	0	0	3	6	0	0	0
SP116578	20	232	0	18	10	39	113	149	38	26	0	0	20	0	0	38	0	16	0	0
