Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
CPCT02230106T	2193	0.98	1284.024	58.551%	380.825	52.811%	0.5189	0.985
CPCT02060199T	321	0.977	209.295	65.201%	55.755	53.338%	0.63943	0.981
DRUP01330005T	3435	0.989	2067.838	60.199%	717.561	51.166%	2.9161	0.993
CPCT02120150T	2364	0.99	1422.676	60.181%	497.118	49.871%	2.18418	0.994
CPCT02060248T	1433	0.995	573.035	39.988%	157.08	26.75%	0.34127	0.996
CPCT02060255T	1389	0.992	631.712	45.48%	195.195	34.028%	0.3916	0.994
DRUP01010088T	1166	0.978	940.553	80.665%	343.343	82.278%	2.67404	0.987
CPCT02440014T	3327	0.992	1799.285	54.081%	641.497	45.448%	2.67146	0.994
CPCT02050384T	1500	0.99	678.289	45.219%	179.775	31.597%	0.44976	0.992
CPCT02030519T	3251	0.992	1578.304	48.548%	531.462	35.87%	2.97217	0.994
CPCT02050380T	4442	0.995	2023.893	45.563%	701.922	33.82%	1.77684	0.996
CPCT02130140T	74708	0.999	14323.528	19.173%	4712.974	9.436%	1.12409	0.999
CPCT02220056T	1672	0.99	924.568	55.297%	318.212	44.586%	2.53021	0.993
DRUP01210003T	2385	0.988	1392.841	58.4%	475.032	47.405%	3.32112	0.991
DRUP01050030T	996	0.983	370.287	37.177%	78.656	27.037%	0.20429	0.983
CPCT02210067T	2002	0.995	903.774	45.144%	333.769	34.185%	2.56457	0.996
CPCT02150021T	3058	0.992	1620.594	52.995%	557.024	41.897%	2.64381	0.994
CPCT02080255T	2933	0.99	1677.329	57.188%	566.198	45.504%	2.66278	0.993
CPCT02330124T	1978	0.988	1166.316	58.964%	407.026	49.445%	3.15589	0.992
CPCT02100186T	2254	0.992	1208.247	53.605%	420.929	43.531%	2.18503	0.995
CPCT02050403T	849	0.983	356.736	42.018%	74.233	27.232%	0.24431	0.983
DRUP01330013T	2696	0.988	1699.916	63.053%	589.351	54.765%	2.71273	0.992
DRUP01050033T	1243	0.983	542.009	43.605%	119.463	29.697%	0.38978	0.983
DRUP01440001T	3608	0.988	2179.634	60.411%	776.765	53.228%	3.1378	0.992
CPCT02040156T	1968	0.996	657.009	33.385%	185.768	21.985%	0.25373	0.997
DRUP01340013T	3437	0.991	1924.263	55.987%	689.079	46.246%	3.02072	0.994
CPCT02080141T	2263	0.988	1299.936	57.443%	459.207	47.688%	3.50454	0.991
CPCT02010662T	2536	0.991	781.356	30.811%	198.35	22.178%	0.17889	0.992
CPCT02120069T	1780	0.975	1458.155	81.919%	503.64	81.796%	3.03022	0.984
CPCT02100126T	3391	0.989	1956.677	57.702%	681.086	48.084%	3.55414	0.992
CPCT02380021T	2541	0.994	1265.771	49.814%	431.398	38.166%	2.38185	0.996
CPCT02020622T	4316	0.985	2886.012	66.868%	1027.303	62.338%	2.66403	0.99
CPCT02340034T	1857	0.988	1203.665	64.818%	403.62	54.231%	2.60778	0.992
CPCT02210033T	2790	0.991	1174.563	42.099%	320.355	28.362%	0.32183	0.993
CPCT02050163T	2034	0.996	498.686	24.518%	104.362	14.066%	0.10103	0.997
CPCT02030277T	3736	0.991	2176.107	58.247%	815.841	47.984%	2.40106	0.994
CPCT02100064T	1487	0.992	742.044	49.902%	259.307	39.452%	2.74118	0.994
CPCT02010569T	3876	0.996	1721.942	44.426%	580.696	32.088%	1.57239	0.998
CPCT02110032T	833	0.98	449.224	53.928%	112.962	44.076%	0.41732	0.984
CPCT02340011T	1145	0.991	649.033	56.684%	217.893	44.443%	2.66355	0.994
CPCT02330033T	1458	0.987	688.471	47.22%	197.118	38.704%	0.41303	0.99
CPCT02040119T	1161	0.979	632.689	54.495%	158.346	41.349%	0.38727	0.981
CPCT02020536T	1796	0.982	785.023	43.71%	174.445	34.848%	0.24376	0.984
CPCT02340012T	1724	0.994	882.583	51.194%	305.286	39.559%	2.65024	0.996
CPCT02020527T	614	0.966	465.015	75.735%	134.599	70.42%	1.48464	0.974
CPCT02020526T	2396	0.987	1596.617	66.637%	584.725	56.925%	2.19218	0.991
CPCT02100098T	1334	0.988	900.216	67.482%	319.396	59.811%	2.36192	0.993
CPCT02230029T	1747	0.994	889.981	50.943%	299.604	38.844%	1.69394	0.997
CPCT02230030T	2370	0.99	1471.846	62.103%	514.028	53.447%	2.12507	0.994
CPCT02230034T	1908	0.994	948.795	49.727%	317.991	37.189%	2.6106	0.995
