MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
1:Del:C:0	0.000315379067997128	0.00079812640355442	0.0016484224396970148	0.002127842688948363	0.0014411177892338855	0.050354611921867444	0.004903219958457612	0.4152854263782501	0.025082026057064014	0.015878935366532117	0.02406510332471953	0.12844950800469745	0.011345579500053873	0.003732434681929817
1:Del:C:1	0.0006628142680870042	0.0012855247789048008	0.001196192137495018	0.0027048448134883076	0.04394912410513356	0.01915601116423204	0.0009550749897607602	0.08618682771556906	0.042361641096968015	0.051317849992578886	0.010323163645183512	0.000467783886205666	0.040471816923993625	0.07721469339519672
1:Del:C:2	0.00013597603837297355	0.0015854436570589313	0.0011903726730088237	0.00035355697880731893	0.03055504947900772	0.0023100847251771484	0.0020094144986069293	0.024978503701829594	0.009462013980091798	0.038339777156458116	0.01014045250689378	0.005507073035744838	0.02653227497657099	0.036301198650346575
1:Del:C:3	0.000659432274142091	0.0009351852749938417	0.00308949777201633	0.001114824169718416	0.01758319327607751	6.911740674695466e-05	0.0022571841746359665	0.029377464312337908	0.001214740629150981	0.004063346753415686	0.0024051440825041937	0.0005706427196373909	0.01707745360448712	0.015530550965584276
1:Del:C:4	0.0002793578613909631	0.000811333662393281	0.008380098865104628	6.263301172239722e-05	0.002666913916139038	2.863526501116098e-05	0.003384427131850316	0.014080795959420129	0.0006134561451440845	0.009845349620351839	0.008048594441452507	0.0003697858525737274	0.015337083615710298	0.012677926884182823
1:Del:C:5	0.0005055552809949404	0.0001825372207703957	0.04539016563740006	4.567676245731178e-05	0.0005787447891172804	0.005787483431955138	0.0017644664797414578	0.0023409081419860024	0.01139944495201462	0.004883802772706076	0.05615596324762919	0.0003597838389299568	0.013665553612135142	0.0042062361064360235
1:Del:T:0	3.14362672270363e-05	0.00017389205606740176	0.0010593527943274239	0.001234103172249661	0.05887445621045117	0.010595826391186164	0.0011932425743040654	0.027856535528015057	0.05305100109086425	0.16715630795806646	0.02315188374137506	0.12242399363563891	0.0265678493132026	0.02277387698881057
1:Del:T:1	0.0005222609568954795	7.57703616886829e-05	0.0008467821902740979	0.0014414899951179904	0.06014691529925585	0.0023113891929824604	0.0014902468936816148	0.020240269130543994	0.01800273148015549	0.07669473775590632	0.005248005814892167	0.027625777847504196	0.012435060422687912	0.013504454183756707
1:Del:T:2	0.0013156524588703179	6.1027683259453624e-05	0.0020097117329778767	0.0037581645313912305	0.03464982223154948	0.0019420926057819089	0.0019555018678829583	0.07270943233204889	0.011111320861123203	0.06168662697779837	0.009449752964956133	0.020533401040683543	0.017591049964953528	0.00547430375751901
1:Del:T:3	0.0030483222915790977	0.0009618618842796423	0.003931132145226002	0.006754147055657995	0.007910434249060927	0.009488532367504491	0.002269707367081537	0.12005321756005287	0.0048903592160581865	0.034277450932422654	0.013865195233956911	0.016886448918958196	0.03389133402626612	0.03675117297973884
1:Del:T:4	0.0049082832071871965	0.00572340477599937	0.02003631801344454	0.0038260096256885843	0.00335521064203931	0.015229855468201095	0.0077289956319145856	0.08288055619224906	0.0009370032849255949	0.02765134346889454	0.012851554534336174	0.006303537751821295	0.07025397771853022	0.02797907615010786
