COSMIC_83	Koh_476
INS:repeats:4:0	Ins4:U4:R0
INS:repeats:4:2	Ins4:U1:R(5,9)
DEL:C:1:0	T[Del(C):R1]A
DEL:repeats:2:5+	Del2:U2:R(5,9)
INS:repeats:5+:0	Ins(5,):M
INS:repeats:4:2	Ins4:U4:R2
INS:T:1:5+	G[Ins(T):R10]A
DEL:C:1:0	G[Del(C):R1]A
INS:repeats:5+:4	Ins(5,):U(3,):R(5,9)
DEL:repeats:2:1	Del2:U2:R2
DEL:repeats:5+:1	Del5:U1:R(5,9)
DEL:repeats:2:0	Del2:U1:R1
DEL:MH:5+:3	Del(7,):M3
DEL:MH:5+:2	Del(7,):M2
INS:T:1:5+	G[Ins(T):R9]G
INS:repeats:2:1	Ins2:U2:R1
DEL:T:1:0	A[Del(T):R1]G
INS:repeats:5+:0	Ins(5,):R0
DEL:T:1:5+	A[Del(T):R6]G
DEL:T:1:1	G[Del(T):R2]G
INS:repeats:2:1	Ins2:U1:R2
INS:repeats:5+:5+	Ins(5,):U2:R(5,9)
DEL:T:1:5+	A[Del(T):R12]C
DEL:MH:3:2	Del3:M2
DEL:repeats:5+:0	Del9:U(2,):R1
DEL:repeats:3:5+	Del3:U3:R(5,9)
DEL:T:1:0	C[Del(T):R1]A
DEL:T:1:5+	A[Del(T):R10]C
DEL:repeats:2:0	Del2:U(2,):R1
DEL:repeats:5+:0	Del9:U1:R1
INS:repeats:4:0	Ins(2,4):M
INS:repeats:5+:1	Ins(5,):M
INS:repeats:2:0	Ins(2,4):M
DEL:repeats:3:0	Del3:U(2,):R1
DEL:C:1:5+	G[Del(C):R7]G
DEL:C:1:1	A[Del(C):R2]T
INS:repeats:5+:1	Ins(5,):U(3,):R1
INS:T:1:2	A[Ins(T):R2]A
DEL:T:1:3	C[Del(T):R4]C
DEL:T:1:1	C[Del(T):R2]G
DEL:T:1:5+	A[Del(T):R9]A
DEL:repeats:5+:0	Del(10,):U(2,):R1
DEL:T:1:3	C[Del(T):R4]A
INS:C:1:5+	G[Ins(C):R9]A
DEL:MH:5+:5+	Del(7,):M(6,)
INS:repeats:4:5+	Ins4:U4:R(5,9)
DEL:T:1:1	A[Del(T):R2]C
INS:T:1:5+	C[Ins(T):R10]G
DEL:C:1:0	A[Del(C):R1]T
DEL:T:1:2	C[Del(T):R3]G
DEL:repeats:3:1	Del3:U3:R2
INS:repeats:5+:5+	Ins(5,):U(3,):R(5,9)
DEL:MH:5+:4	Del(7,):M4
DEL:T:1:5+	C[Del(T):R12]A
INS:repeats:5+:3	Ins(5,):U(3,):R(5,9)
DEL:MH:5+:1	Del(7,):M1
DEL:C:1:3	A[Del(C):R4]T
DEL:repeats:4:0	Del4:U1:R1
INS:T:1:5+	G[Ins(T):R12]C
INS:repeats:5+:0	Ins(5,):U(3,):R(5,9)
DEL:MH:5+:5+	Del(7,):M4
DEL:MH:2:1	Del2:M1
INS:repeats:3:0	Ins3:U3:R0
INS:repeats:3:1	Ins3:U3:R1
INS:C:1:0	G[Ins(C):R0]T
DEL:C:1:2	A[Del(C):R3]T
DEL:MH:4:1	Del4:M1
DEL:repeats:5+:0	Del(10,):U1:R1
