Study	Cancer.Types	Scale	Sample.Names	Sample.Accuracy	DBS8.Mutations
PCAWG-WGS	ColoRect-AdenoCA	genome	SP96133	0.932	141
PCAWG-WGS	ColoRect-AdenoCA	genome	SP110242	0.905	204
PCAWG-WGS	ColoRect-AdenoCA	genome	SP114330	0.949	35
PCAWG-WGS	Eso-AdenoCA	genome	SP111058	0.904	8
PCAWG-WGS	Eso-AdenoCA	genome	SP111094	0.98	247
PCAWG-WGS	Eso-AdenoCA	genome	SP111026	0.908	12
PCAWG-WGS	Eso-AdenoCA	genome	SP110859	0.902	18
PCAWG-WGS	Eso-AdenoCA	genome	SP111069	0.913	4
PCAWG-WGS	Eso-AdenoCA	genome	SP111175	0.903	4
