Samples	ID1	ID2	ID3	ID4	ID5	ID6	ID8	ID9	ID10	ID11	ID13	ID14	ID18	ID19	ID25
CPCT02070445T	333	332	0	0	0	0	0	209	0	0	0	0	0	0	0
CPCT02020894T	266	243	212	0	0	0	0	0	0	0	0	0	0	0	0
CPCT02020896T	121	265	0	0	0	0	0	141	0	0	0	0	0	0	0
CPCT02140101T	647	157	464	0	0	0	0	364	0	361	0	0	0	0	0
CPCT02210040T	485	355	0	0	0	0	0	0	0	0	0	0	271	0	0
DRUP01010020T	12556	61607	0	0	0	0	0	0	0	0	0	0	0	0	0
CPCT02020902T	222	274	0	0	0	0	612	0	275	0	0	0	0	0	0
CPCT02070443T	310	389	0	0	0	0	0	164	0	0	0	0	0	0	0
CPCT02080295T	831	366	0	0	0	0	0	0	0	0	0	0	450	0	0
CPCT02020916T	111	164	332	0	241	0	0	0	0	119	0	0	0	0	0
CPCT02020915T	365	195	0	0	0	0	0	0	0	0	0	0	0	0	0
CPCT02160036T	196	89	0	0	0	0	101	0	0	0	0	0	0	180	0
CPCT02120184T	165	159	188	0	296	0	332	0	0	0	0	0	0	0	0
CPCT02050315T	145	0	0	0	165	0	0	0	0	0	0	0	0	161	0
CPCT02120182T	235	118	171	0	0	0	106	0	0	0	0	0	0	0	0
CPCT02020940T	94	0	0	0	239	0	97	0	0	65	0	0	0	0	0
CPCT02010712T	1338	755	0	0	0	0	0	0	0	0	0	0	0	0	0
CPCT02070294T	121	103	0	81	0	0	93	0	0	0	0	0	0	203	0
CPCT02070299T	408	555	490	0	0	0	0	0	0	0	0	0	0	244	0
CPCT02050437T	1006	588	0	0	0	0	0	0	0	0	0	0	0	0	0
CPCT02050436T	224	149	867	0	0	0	215	307	0	0	0	0	0	0	0
CPCT02020952T	393	436	0	0	0	0	0	261	0	0	0	0	0	0	0
CPCT02020642TII	407	665	0	0	0	769	1746	0	0	0	0	0	0	0	0
CPCT02020958T	142	77	419	0	233	0	0	0	0	0	0	0	0	0	0
CPCT02020684T	27	0	0	0	0	0	117	0	0	0	0	0	0	155	0
WIDE01010111T	351	85	341	0	295	247	0	0	0	0	0	0	0	0	0
CPCT02020958TII	154	87	415	0	236	0	0	0	0	0	0	0	0	0	0
CPCT02020972T	680	850	0	0	0	0	0	433	0	0	0	0	0	0	0
CPCT02020971T	174	74	235	0	0	0	0	0	0	0	0	0	0	0	0
CPCT02330103T	338	336	0	0	0	0	189	0	0	0	0	0	0	207	0
WIDE01010148T	640	470	0	0	0	0	0	0	0	0	0	0	635	0	0
CPCT02070480T	135	156	0	0	0	0	121	0	0	0	0	0	0	101	0
CPCT02360014T	338	0	0	0	0	1375	594	0	0	0	0	0	0	505	0
CPCT02140107T	196	170	0	0	0	0	1022	0	390	0	0	0	0	0	0
CPCT02070485T	352	596	0	0	0	0	235	282	0	0	0	0	0	0	0
WIDE01010202T	457	413	0	0	0	0	0	208	0	0	0	0	0	0	0
CPCT02020583TII	1002	569	0	0	0	0	0	360	0	0	0	0	0	0	0
CPCT02020703T	181	83	280	0	0	0	229	0	0	0	0	0	0	359	0
CPCT02020973T	308	149	301	0	240	0	0	0	0	0	0	0	0	0	0
CPCT02020940TII	266	0	0	0	427	0	0	0	0	0	0	0	0	0	0
WIDE01010230T	381	90	0	0	0	0	0	0	0	0	0	0	0	0	0
CPCT02320002T	123	163	0	107	0	0	192	0	0	0	0	0	0	199	0
CPCT02050351T	145	65	95	0	0	0	96	0	0	0	0	0	0	113	0
CPCT02020979T	325	185	0	0	0	0	130	0	0	0	0	0	0	0	0
CPCT02080315T	268	154	282	0	0	0	515	0	0	0	0	0	0	176	0
