Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
SP107784	5.14E+00	1.09E+01	8.03E+00	8.99E-01	2.61E+00	1.90E+00	1.17E+01	5.43E+00	1.63E+00	5.23E-01	5.28E-01	1.80E+00	2.37E+00
SP110824	1.70E+00	3.44E+00	2.37E+00	1.64E-01	1.53E+00	1.66E+00	4.11E+00	7.84E-01	1.37E+00	0.00E+00	4.38E-01	2.30E-01	8.39E-01
SP76843	5.41E+00	5.46E+00	7.40E+00	6.13E-01	2.01E+00	1.60E+00	5.95E+00	2.73E+00	1.25E+00	0.00E+00	4.67E-01	5.55E-01	1.05E+00
SP71456	3.83E+00	6.04E+00	5.39E+00	9.47E-01	2.58E+00	2.08E+00	7.02E+00	1.27E+00	1.82E+00	1.84E-01	5.21E-01	3.96E-01	1.11E+00
SP108065	5.73E+00	2.69E+00	6.94E+00	3.65E-01	1.63E+00	1.77E+00	3.03E+00	1.35E+00	1.50E+00	0.00E+00	5.23E-01	4.00E-02	8.41E-01
SP70860	7.26E+00	3.06E+00	8.61E+00	7.94E-01	1.66E+00	1.38E+00	3.36E+00	1.45E+00	1.37E+00	3.86E-01	4.03E-01	5.44E-01	7.05E-01
SP71084	3.09E+00	3.69E+00	4.87E+00	2.03E-01	1.89E+00	2.17E+00	4.21E+00	1.38E+00	1.35E+00	4.70E-01	2.81E-01	1.80E-01	7.70E-01
SP72262	1.51E+00	4.43E+00	2.44E+00	8.70E-01	2.24E+00	1.76E+00	5.44E+00	7.40E-01	1.39E+00	4.63E-01	5.76E-01	8.80E-01	1.04E+00
SP69705	5.52E+00	2.53E+00	6.72E+00	7.78E-01	1.58E+00	1.38E+00	3.18E+00	1.25E+00	1.34E+00	3.89E-01	4.20E-01	1.80E-01	1.42E+00
SP107786	5.15E+00	5.77E+00	7.04E+00	1.90E+00	2.80E+00	5.06E+00	7.05E+00	2.51E+00	3.11E+00	2.74E-01	4.70E-01	8.80E-01	1.41E+00
