Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
SP77443	33	290	14	43	58	58	184	17	0	11	5	0	5
SP72118	136	289	0	25	59	13	57	32	42	3	2	0	5
SP76891	137	211	0	0	41	20	83	0	35	0	12	0	8
SP125732	5752	271	382	0	116	0	995	227	0	0	0	0	0
SP125716	105	319	0	33	43	40	21	21	24	53	12	81	12
SP125746	31869	5082	9416	0	0	0	0	984	67	0	39	0	0
SP125797	262	240	0	14	53	4	0	14	57	15	10	59	12
SP76057	63	240	0	13	30	46	98	42	25	1	0	0	15
SP69565	331	349	0	450	187	53	0	51	58	2	1	5	1
SP75202	61	128	0	4	71	40	0	3	55	5	4	1	0
SP110736	170	206	0	11	20	14	4	27	39	1	10	0	31
SP107774	4	347	0	17	31	28	40	24	28	0	5	0	18
SP110779	80	174	0	18	66	1	206	20	26	4	8	1	24
SP107805	42	149	55	20	43	32	139	5	18	3	5	1	20
SP110789	67	162	0	648	110	0	11	3	7	1	15	5	140
SP71846	126	241	0	28	150	7	0	20	43	0	8	0	8
SP70122	142	294	22	6	24	22	37	25	19	2	3	0	27
SP71404	428	506	0	6	96	72	68	27	33	1	3	1	40
SP76955	34	293	0	5	30	30	43	77	20	1	0	0	4
SP107781	80	77	0	14	54	44	0	2	38	0	4	0	7
SP70202	38	149	0	439	34	88	52	16	10	19	11	3	0
SP70677	0	36	26	11	7	43	47	1	29	0	8	1	1
SP70082	29	66	0	7	32	21	0	9	37	2	6	7	0
SP70288	314	297	0	12	20	28	59	29	44	4	16	0	12
SP70266	28	126	0	13	16	37	79	20	60	6	16	0	0
SP107956	199	365	0	30	73	36	0	19	53	3	13	0	52
SP70956	91	124	0	12	58	33	0	11	25	5	8	0	13
SP108017	64	103	0	4	51	13	0	10	27	1	4	2	10
SP71536	54	146	0	35	31	21	8	20	24	0	10	0	10
SP70756	127	136	0	12	46	33	45	2	47	1	10	0	4
SP76675	145	414	0	481	145	49	45	40	38	7	6	0	0
SP71480	95	258	0	16	8	3	104	25	43	5	1	0	11
SP70313	70	116	0	14	54	47	10	5	62	0	6	0	7
SP73319	40	167	17	27	22	43	7	19	17	6	3	0	0
SP107813	163	253	0	16	83	12	0	36	25	5	7	0	33
SP77339	27	245	32	17	56	18	25	15	41	1	7	0	0
SP76017	99	113	0	17	45	15	44	0	42	0	1	0	13
SP76915	108	80	0	29	82	27	86	24	18	2	9	0	22
SP71974	288	594	68	752	0	123	96	79	0	18	3	0	68
SP70178	172	356	29	28	58	31	51	14	56	1	6	0	14
SP107920	102	165	0	21	35	17	112	36	0	4	18	0	13
SP110798	49	206	5	9	48	23	0	29	35	0	0	1	12
SP107952	86	229	0	23	18	41	122	6	46	0	27	0	35
SP70465	19	144	4	15	89	37	20	6	50	4	11	0	13
SP70780	170	297	0	17	27	26	32	40	40	4	8	0	22
SP110803	27	76	4	47	28	172	0	0	3	0	13	2	9
SP107915	80	180	0	6	50	27	0	38	30	9	6	1	4
SP71132	202	369	0	11	48	16	92	42	41	0	5	2	4
SP71552	103	295	0	37	60	71	16	33	42	6	15	0	40
SP69573	50	140	0	13	30	36	2	14	9	0	6	0	9
SP75681	25	160	0	2	0	30	190	38	0	0	10	0	21
SP107874	150	406	0	23	62	26	27	37	38	1	3	2	38
SP110816	37	128	0	15	23	26	0	31	38	3	3	0	4
SP77203	808	332	0	995	49	92	0	42	47	4	1	0	50
SP76515	0	213	123	25	46	52	37	26	30	2	12	0	0
SP110770	183	172	4	6	40	49	79	31	23	0	7	0	20
SP69812	48	94	0	8	44	23	0	0	40	0	0	0	7
SP76136	177	301	28	58	70	268	26	9	54	0	13	0	54
SP70106	47	0	0	240	36	24	0	242	8	4	4	0	62
SP108059	67	122	0	21	25	24	54	13	38	6	13	0	1
SP108020	104	184	0	51	11	18	78	18	61	4	3	0	1
SP76867	149	221	0	17	57	26	8	15	24	6	12	0	8
SP108088	102	184	0	13	51	51	0	13	55	6	2	5	12
SP71734	91	172	0	10	21	36	46	17	39	4	7	0	13
SP76001	30	91	0	11	47	29	17	5	30	4	0	0	0
SP108033	132	254	0	12	30	60	0	2	24	3	5	0	20
SP110822	134	260	0	36	79	11	0	16	37	8	9	0	65
SP69762	126	148	0	20	43	14	27	19	40	9	3	0	14
SP107945	107	249	0	32	52	20	11	34	71	2	6	0	10
SP107770	54	126	0	20	32	32	47	17	27	9	7	0	11
SP73263	161	284	0	9	29	23	15	15	30	0	15	0	23
SP77131	106	365	0	7	34	30	76	45	34	2	6	1	24
SP75322	601	549	0	15	108	69	44	123	8	9	14	0	223
SP70046	16	106	0	4	31	6	81	18	6	6	11	0	18
SP70932	71	245	0	14	32	63	51	21	25	0	2	0	0
SP71758	0	79	7	36	3	173	12	10	2	2	5	0	1
SP71228	326	269	0	31	60	52	135	35	96	4	11	0	30
SP76353	0	67	59	3	44	6	0	13	36	4	3	0	22
SP69587	28	107	0	1	4	4	42	9	11	0	0	0	2
SP69898	347	579	0	25	46	8	78	52	118	11	0	3	15
