Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
SP127630	1.30E+01	8.29E+00	1.79E+01	2.20E+00	1.63E+00	8.37E+00	2.76E+00	7.95E-01
SP127634	8.98E+00	8.27E+00	1.82E+01	7.45E+00	5.54E+00	1.34E+01	7.77E+00	7.77E-01
SP127636	8.96E+00	8.28E+00	1.46E+01	3.82E+00	1.72E+00	8.52E+00	3.82E+00	6.60E-01
SP127628	5.66E+00	4.92E+00	8.77E+00	2.10E+00	5.02E-01	4.83E+00	1.75E+00	3.04E-01
SP127640	1.10E+01	6.68E+00	1.57E+01	3.39E+00	1.77E+00	6.46E+00	2.91E+00	4.39E-01
SP127638	1.21E+01	1.59E+01	2.39E+01	3.74E+00	1.99E+00	1.18E+01	1.64E+00	4.62E-01
SP127632	2.17E+01	7.90E+00	2.61E+01	7.47E+00	3.05E+00	1.24E+01	2.59E+00	6.93E-01
SP59388	4.18E+00	3.99E+00	6.61E+00	1.07E+00	4.87E-01	3.13E+00	1.15E+00	1.93E-01
SP116649	9.29E+00	6.40E+00	1.30E+01	4.30E+00	1.22E+00	7.08E+00	3.92E+00	0.00E+00
SP59416	5.44E+00	3.85E+00	7.87E+00	2.56E+00	1.12E+00	3.93E+00	2.15E+00	2.27E-01
SP124977	9.09E+00	5.16E+00	1.14E+01	2.19E+00	1.01E+00	4.27E+00	1.38E+00	6.14E-01
SP59356	3.85E+00	3.12E+00	5.38E+00	2.22E+00	7.53E-01	2.44E+00	1.51E+00	0.00E+00
SP116612	7.63E+00	3.51E+00	9.43E+00	3.40E+00	1.72E+00	3.84E+00	1.63E+00	0.00E+00
SP116659	5.10E+00	7.21E+00	1.05E+01	3.86E+00	1.24E+00	7.35E+00	3.39E+00	3.43E-01
SP116668	1.67E+01	1.32E+01	2.70E+01	1.28E+01	1.55E+00	1.96E+01	1.15E+01	3.43E-01
SP116630	2.37E+01	8.79E+00	2.89E+01	3.11E+00	2.18E+00	3.75E+00	1.00E+00	0.00E+00
SP59412	9.40E+00	6.08E+00	1.25E+01	3.17E+00	1.35E+00	5.83E+00	2.38E+00	2.83E-01
