	InsDel1a	InsDel1b	InsDel1c	InsDel2a	InsDel2b	InsDel2c	InsDel3a	InsDel3b	InsDel4	InsDel5a	InsDel5b	InsDel5c	InsDel6	InsDel7	InsDel8	InsDel9	InsDel10	InsDel11	InsDel12	InsDel13	InsDel14	InsDel15	InsDel16	InsDel17	InsDel18	InsDel19a	InsDel19b	InsDel23	InsDel_A_alpha	InsDel_A_beta	InsDel_B	InsDel_C	InsDel_D	InsDel_E	InsDel_F	InsDel_G	InsDel_H	InsDel_I	InsDel_J	InsDel_K	InsDel_L	InsDel_M	InsDel_N_alpha	InsDel_N_beta
"C[Ins(T):R(0,4)]C"	0.005027083	0.013489698	0.005403418	0.000638559	0.001723856	0.000356473	0.004455915	0.004897411	0.001251892	0.006901219	0.004222123	0.005483415	0.001508952	0.000317358	0.001594948	0.002453442	0.0060728	0.05736055	0.00432281	0.022005835	0.001987393	0	0.074654378	0.001936977	0.000844094	0.010054411	0.003834633	0.00748577	0.001620568	0.018168729	0.0025745	0.006296015	0.001835447	0.021550114	0.000461066	0.005451898	0.003275842	0.018080415	0.002019751	0.016037889	0.007478603	1.91E-05	0.002820547	0.001688093
"C[Ins(T):R(0,4)]G"	0.005097352	0.005527498	0.007548599	0.00053473	0.003600682	0.000243436	0.007745686	0.044096075	0.000892235	0.008386671	0.008448555	0.006717831	0.001215671	0.000968078	0.002729636	0.002094766	0.006206136	0.06271101	0.003081581	0.004510432	0.002125967	0	0.031336406	0.008887538	0.000482127	0.006062178	0.000825169	0.004485079	0.003416284	0.003226882	0.003164304	0.002822379	0.002289901	0.001735159	0.002104421	0.007777807	0.002094281	0.000253037	0.000970486	0.017528496	0.001195282	0.000102196	0.00201211	0.001268275
"G[Ins(T):R(0,4)]A"	0.00114105	0.000633648	0.000520758	0.00029415	0.000647971	7.99E-05	0.004488345	0.003574293	0.000841301	0.008289408	0.005997328	0.007276161	0.001872121	0.000131481	0.000925781	0.007222303	0.008574511	0.03799963	0.010774068	0.003234369	0.005035435	0	0.057142857	0.011866917	0.001193551	0.012648675	0.00443812	0.003886826	0.007581897	0.004565833	0.00234281	0.004080379	0.000565438	0.068918517	0.002026211	0.104908547	0.001935561	0.032273085	0.000571208	0.001525426	0.002638593	8.02E-05	0.000159207	0.000848762
"G[Ins(T):R(0,4)]C"	0.000791363	0.000324257	0.001493355	0.000181197	0.000411996	0.000104601	0.002351876	0.002765967	0.000536314	0.004363446	0.002701797	0.00186283	0.001213631	0.000142916	0.000543123	0.002437943	0.002961564	0.050254098	0.002289729	0.0045553	0.001296842	0	0.085714286	0.001330107	0.000428367	0.002618094	0.000894221	0.001030289	0.007965028	0.011611722	0.001617932	0.000331243	0.00030208	0.001262295	0.000564032	0.112229934	0.001713845	0.02837217	0.000566876	0.000771467	0.004587729	2.44E-05	0.000210596	0.000516592
"G[Ins(T):R(0,4)]G"	0.002956132	0.000427269	0.003180925	0.001595236	0.002141813	0.000130008	0.007074867	0.037192134	0.000823023	0.006987749	0.005448375	0.00441772	0.002704158	0.000891199	0.001391922	0.002966473	0.00473037	0.048417994	0.008123438	0.00120167	0.005701503	0	0.040552995	0.003336539	0.000600594	0.007554389	0.005101796	0.004907369	0.016158569	0.001418696	0.00304113	0.000201312	0.003599456	0.002049843	0.00126027	0.200617446	0.001054749	0.01767311	0.001174443	0.00206965	0.003936608	0.025203823	0.000310663	0.00172476
"A[Ins(T):R(5,7)]A"	0.06931215	0.110741001	0.077482697	0.013531718	0.028774672	0.002931013	0.004670378	0.001585207	0.000987069	0.003461512	0.012395145	0.021414569	0.001500618	0.009370679	0.003779964	0.002635523	0.013913206	0.009121114	0.007218695	0.005429497	0.006531166	0	0	4.20E-06	0.003432986	0.002966683	0.005028706	0.000634453	0.005514753	0.011391194	0.001290054	0.004845124	0.038258904	0.005357376	0.002544043	0.00986081	0.010188983	0.002971543	0.013358408	0.017041864	0.022361899	0.001413649	0.053407252	0.030576527
"A[Ins(T):R(5,7)]C"	0.081269196	0.07656931	0.096616609	0.010523218	0.02014604	0.003053363	0.009235635	0.001324829	0.003727538	0.002241018	0.015468975	0.019088676	0.001327341	0.00532281	0.002514256	0.004851103	0.010732823	0.006780014	0.017142799	0.007396107	0.007458647	0	0	0.000974991	0.004809636	0.006233258	0.002957747	0.001567711	0.004211857	0.021015412	0.000517672	0.001152532	0.030294822	0.012884734	0.003162817	0.013621005	0.006850471	0.00925703	0.003364341	0.020818063	0.009683863	0.004543056	0.03264162	0.033187888
"A[Ins(T):R(5,7)]G"	0.079393917	0.030937218	0.097023269	0.015115802	0.027514198	0.003893898	0.012532786	0.007844397	0.004253447	0.002890499	0.018680062	0.016044528	0.00110979	0.009305556	0.002387576	0.005163622	0.010066686	0.007158452	0.010849263	0.005410745	0.00232814	0	0	0.001201247	0.002705468	0.006564496	0.007230137	0.002095279	0.003994955	0.012458989	0.000636762	0.009565932	0.043340852	0.006738607	0.003457019	0.012939171	0.0032189	0.019814991	0.005389228	0.018052233	0.021933593	0.004538577	0.030917104	0.030652406
"C[Ins(T):R(5,7)]A"	0.029809227	0.077907335	0.035028716	0.006185334	0.011533331	0.001031113	0.002999176	0.00132451	0.000578829	0.001263955	0.005918318	0.010033921	0.000382466	0.005135548	0.001258168	0.000842138	0.007183178	0.004273036	0.003661413	0.001982328	0.002659009	0	0.000921659	0.000844258	0.003202523	0.002895386	0.001637232	0.001331879	0.003964218	0.002614929	0.000547335	0.001471343	0.014170611	0.004708543	0.001509716	0.009874367	0.005171806	0.003169082	0.004898025	0.014004147	0.019792087	0.00159239	0.017125821	0.014177489
"C[Ins(T):R(5,7)]C"	0.044779034	0.066647823	0.055442151	0.006371095	0.010940538	0.001785584	0.004654323	0.001670796	0.001033211	0.001538405	0.009443309	0.011975529	0.000510549	0.003351581	0.001687226	0.001425312	0.007040393	0.005053086	0.00301563	0.004199147	0.002763845	0	0.001843318	0.000378457	0.001719842	0.002391019	0.00247023	0.000507541	0.002369417	0.012681686	0.000304616	0.001470139	0.015368882	0.006210017	0.003683468	0.004855489	0.012834365	0.0099851	0.002750562	0.014316927	0.019116243	0.003042276	0.014649425	0.017806931
"C[Ins(T):R(5,7)]G"	0.040438176	0.025125624	0.048970723	0.005830026	0.013228583	0.002466561	0.004292874	0.003679411	0.001685353	0.001446755	0.011843221	0.008316648	0.000424512	0.004719175	0.00106808	0.001102637	0.005858068	0.004270092	0.006371202	0.002082089	0.002410107	0	0	0.000835171	0.000886112	0.005238126	0.001470867	0.001566318	0.003175202	0.003392844	0.000641904	0.001291285	0.021282231	0.006126139	0.001526486	0.005435991	0.012586795	0.003087244	0.002683879	0.01424075	0.019493789	0.001512181	0.01168902	0.017160988
"G[Ins(T):R(5,7)]A"	0.025584462	0.047204547	0.030751238	0.006521584	0.015329403	0.001801953	0.001759857	0.000663004	0.000977684	0.001081028	0.004686469	0.008510201	0.001122218	0.003988686	0.000487112	0.002197613	0.004226939	0.003684556	0.005777806	0.000854361	0.003888856	0	0	0.00064299	0.00248443	0.001449651	0.002362494	0.000885064	0.002306146	0.004647856	0.000555238	0.006802904	0.02655899	0.001999925	0.000737522	0.011109053	0.008228059	0.000138277	0.006460412	0.010679136	0.004916603	0.003209617	0.019039732	0.011514243
"G[Ins(T):R(5,7)]C"	0.0380969	0.052880263	0.046183869	0.005915109	0.014126653	0.002627534	0.002469882	0.000626901	0.001278972	0.001231962	0.006058693	0.009273657	0.000807268	0.003925862	0.001085797	0.002221374	0.009082262	0.002504603	0.007649204	0.005812672	0.002912581	0	0	0.001313637	0.001925375	0.003868896	0.003368672	0.002834153	0.00456365	0.009607499	0.000498044	0.006442788	0.030109824	0.001553642	0.000596042	0.008404468	0.011225897	0.006309003	0.00402558	0.006074369	0.000977855	3.05E-05	0.01789211	0.014573884
"G[Ins(T):R(5,7)]G"	0.043061966	0.017594125	0.057044722	0.009273226	0.024516098	0.003411775	0.004116086	0.003542031	0.005099595	0.001782117	0.009545541	0.010124501	0.001009602	0.006781501	0.002379246	0.002144443	0.008586451	0.003468292	0.00522052	0.00371514	0.003434386	0	0	5.74E-06	0.002288143	0.002263216	0.004836243	0.000735233	0.003893921	0.006194466	0.000505369	0.001250781	0.054201339	0.003789606	0.001025327	0.013803228	0.00545521	0.006132159	0.010940101	0.007300748	0.007738103	0.003116378	0.017211043	0.017130657
"A[Ins(T):R(8,)]A"	0.063440703	0.033327194	0.048759618	0.015887535	0.002262436	0.002485697	0.007727444	0.000509765	0.002156464	0.000680109	0.008874088	0.005458245	0.00187406	0.010531677	0.001491929	0.001497327	0.014994596	0.001135123	0.004294918	0.002654899	0.00832318	0	0	0.000977036	0.004880772	0.005862897	0.008957869	0.000747013	0.003704577	0.008216312	0.001115821	0.008312343	0.058891196	0.006306347	0.004496225	0.007658521	0.004633141	0.005943086	0.009786132	0.001635744	0.02136507	4.93E-05	0.018764573	0.028028809
"A[Ins(T):R(8,)]C"	0.062405779	0.040189275	0.047545257	0.015110377	0.002201644	0.002336909	0.006175325	0.000495931	0.001928526	0.000593555	0.009536374	0.00617299	0.001822801	0.007115994	0.002015389	0.002109255	0.010535938	0.002109592	0.004586432	0.00213744	0.005527153	0	0	0.001236969	0.005684451	0.005787037	0.009446823	0.001564605	0.007426277	0.010484859	0.000618063	0.005014355	0.048461274	0.005765252	0.000842151	0.008961685	0.00269398	0.002926392	0.0051826	0.001639027	0.023762698	5.90E-05	0.020970402	0.025580311
"A[Ins(T):R(8,)]G"	0.052350276	0.011135549	0.038200285	0.015429569	0.001049977	0.00208337	0.008213786	0.000671837	0.003596476	0.000810133	0.006524468	0.005137331	0.002040514	0.007037324	0.001398207	0.000483824	0.011728825	0.001345831	0.002740855	0.00081237	0.003733866	0	0	0.000346767	0.006029714	0.00685379	0.005200613	0.000525855	0.005663065	0.010692085	0.00069811	0.003930798	0.050700435	0.010313365	0.001195661	0.005792191	0.008874882	0.006186717	0.006253948	0.002969768	0.021665586	0.001609898	0.012409575	0.021449726
"C[Ins(T):R(8,)]A"	0.031362328	0.013104946	0.028518232	0.008041298	0.00038642	0.00107462	0.002937643	0.000350539	0.000492633	0.000369459	0.00564807	0.004207945	0.000594587	0.00511475	0.000817302	0.000703693	0.00429618	5.27E-06	0.001299704	0.000563114	0.002518142	0	0	0.001308583	0.002069984	0.002505601	0.002944459	0.001730501	0.003820366	0.004526503	0.000466399	0.007753321	0.033272231	0.001334085	0.001945303	0.004262973	0.003965864	0.010319975	0.005290192	0.002489225	0.012120341	7.65E-05	0.010286911	0.013808807
"C[Ins(T):R(8,)]C"	0.041226702	0.025778106	0.032246539	0.009638682	0.000995749	0.001100404	0.004263503	0.000584408	0.001037803	0.000614366	0.005803295	0.001610389	0.000576222	0.005374796	0.000663984	0.002013007	0.004795103	0.000562647	0.002149107	0.000743146	0.003359183	0	0	0.001293817	0.002501456	0.004923971	0.003633573	0.002155254	0.002759826	0.00667733	0.000325636	0.000334451	0.039435688	0.005556369	0.000720837	0.00277811	0.003861632	0.000129811	0.003946937	0.001627754	0.011812942	0.001544346	0.020421364	0.014369641
"C[Ins(T):R(8,)]G"	0.03943035	0.007157932	0.030645816	0.0121337	0.001183732	0.002736013	0.003918901	0.000381603	0.00214522	0.00054718	0.004703456	0.005186735	0.000543179	0.006633895	0.000919738	0.000576199	0.006393638	0.001344074	0.003450298	0.001471087	0.002266891	0	0	0.000367893	0.002213744	0.00409534	0.005321745	0.00139721	0.006321963	0.003606395	0.000212122	0.008146321	0.051931906	0.004041081	0.001165206	0.002824847	0.004112311	0.006385196	0.004014097	0.002003908	0.018550143	0.000128662	0.013026518	0.0168268
"G[Ins(T):R(8,)]A"	0.029109799	0.010647992	0.020444574	0.008539645	0.000778094	0.000810861	0.002694426	0.000229213	0.002211699	0.000374098	0.004164399	0.004093265	0.000513089	0.00544419	0.001723421	0.000485948	0.006246106	0.000761292	0.00184853	0.000703529	0.002795517	0	0	0.000841645	0.003034231	0.002014835	0.005711485	0.000423897	0.003367756	0.004800261	0.00070873	0.008081757	0.040351027	0.001735839	0.001329348	0.004787651	0.001900545	0.003191657	0.006489837	0.000973597	0.003414824	4.80E-05	0.006816071	0.012072488
"G[Ins(T):R(8,)]C"	0.031906539	0.014166183	0.019763666	0.00984488	0.000566866	0.001414201	0.00273824	0.000293406	0.001706838	0.000316887	0.003963321	0.001922896	0.00048081	0.004389023	0.000696342	0.000780172	0.006995131	0.000183686	0.004006901	0.000480867	0.003809635	0	0	0.000845167	0.003258991	0.002702597	0.005588727	0.00018421	0.001655963	0.004317976	0.000362336	0.002625478	0.03895776	0.002813164	0.001713625	0.004314201	0.004522364	0.003179429	0.005552072	0.001506228	0.002888889	5.05E-05	0.009474895	0.011621818
"G[Ins(T):R(8,)]G"	0.032034406	0.004322802	0.020358822	0.010847754	0.000699432	0.001396684	0.003107388	0.000237241	0.001775304	0.000450353	0.003692746	0.000912127	0.000687135	0.005351514	0.00108291	0.000676154	0.004268365	0.000370887	0.002705549	0.000773025	0.002897863	0	0	0.000176393	0.002426872	0.002673465	0.005396198	0.00106092	0.0036554	0.004337586	0.000894012	0.005998859	0.053349451	0.001568346	0.000627521	0.001153594	0.001804168	0.009918313	0.008086225	0.001445114	0.005075716	0.000105046	0.007198212	0.012928649
"Del(2,4):R1"	0.000484701	0.000765775	0.001419366	0.002681526	0.000611496	0.001726941	0.014566607	0.007632982	0.029178113	0.045096403	0.018882945	0.030021598	0.016790611	0.003020997	0.042821519	0.021086408	0.01554214	0.000196556	0.011503687	0.016548955	0.00987515	0	0	0.06800433	0.015774018	0.032692314	0.020761339	0.033956498	0.105595745	0.012533655	0.068793344	0.016686845	0.000468824	0.015676288	0.097947141	0.009024591	0.007765645	0.031498922	0.022416659	0.000991824	0.000953777	0.016344497	0.000356821	0.004415915
"Del(5,):R1"	0.001237279	0.000402682	0.000626824	0.000817033	0.000328597	0.000151512	0.020096727	0.00679055	0.004425056	0.052922243	0.048086496	0.030656693	0.075185504	0.000139019	0.18914189	0.01281606	0.054001129	0.001174349	0.021772715	0.037796863	0.008492095	0.000274236	0	0.052255848	0.013731822	0.040284968	0.140287182	0.017664966	0.00623465	0.002474363	0.121784801	0.008274246	0.000394491	0.003816658	0.012128799	0.004479426	0.076879866	0.00014204	0.003348756	0.00041431	0.000215519	0.002724286	4.42E-05	0.001537942
"Del(2,8):U(1,2):R(2,4)"	0.001937392	0.00078079	0.001846616	0.006144707	0.00937562	0.002467839	0.046250968	0.031207391	0.194563557	0.030922446	0.019241953	0.055805431	0.008546772	0.006973119	0.021287316	0.017995023	0.024728055	0.001742124	0.013844135	0.008539871	0.010021961	0	0	0.017552681	0.021005283	0.036060942	0.016898412	0.098066526	0.032044472	0.013951881	0.032758973	0.017524977	0.001529407	0.018557422	0.353094016	0.014279438	0.014514993	0.006083245	0.039755584	0.001537736	0.000510956	0.007832883	0.002478814	0.016879386
"Del(2,):U(1,2):R(5,)"	0.000630683	0.000265112	0.000445691	0.003027307	0.002379463	0.013588505	0.019019207	0.00854735	0.035247738	0.006468239	0.004491216	0.012559584	0.00460795	0.022557011	0.003783291	0.012620013	0.011505794	0.000184209	0.146007844	0.003542891	0.002104655	0	0	0.002399485	0.011381522	0.022720138	0.008236141	0.001829139	0.005621179	0.005494634	0.008287842	0.006826163	0.003990127	0.005858234	0.042930783	0.001587654	0.005037958	0.003234928	0.226225804	0.000654981	0.005444703	0.039008475	0.007637149	0.00358395
"Del(3,):U(3,):R2"	0.003250064	0.000701221	0.001577946	0.003195669	0.004423181	0.000661808	0.006945559	0.00125356	0.16583363	0.012324847	0.013219042	0.051379285	0.011635895	0.002922051	0.011068564	0.018725291	0.020543121	0.001359365	0.01945622	0.004522793	0.004185648	0	0	0.015074938	0.004399913	0.046486533	0.017584106	0.002888773	0.00877279	0.009578597	0.012176778	0.003665724	0.000350826	0.011093744	0.032120055	0.008135791	0.03961724	0.005828326	0.011657425	0.000950225	0.000230369	0.006046279	0.00090401	0.014855905
"Del(3,):U(3,):R(3,)"	0.000712239	0.000247032	0.001481587	0.001977453	0.000889723	0.00113105	0.005204241	0.000482975	0.083680858	0.003117521	0.0043745	0.020700479	0.002045816	0.003203908	0.001846372	0.010053537	0.008182426	0.000387698	0.225929181	0.001057307	0.001539149	0.000137118	0	0.001578227	0.002991096	0.02329774	0.006511812	0.000588507	0.004101934	0.006830801	0.002258814	0.003060585	0.000912516	0.002899291	0.008639867	0.002959285	0.013841171	0.013688476	0.028238485	0.000347226	0.000770534	0.007490464	0.000880202	0.007091277
"Ins(2,4):R0"	0.003100414	0.007082903	0.000643893	0.005749013	0.000191476	0.002369427	0.019449375	0.00921768	0.003615264	0.005961908	0.004028671	0.00269444	0.013716449	0.001800161	0.004070955	0.002584577	0.02518235	0.000391117	0.009425333	0.037439131	0.034139675	0	0	0.040554307	0.003720122	0.049406308	0.040664581	0.000906269	0.004802105	0.032737498	0.003275801	0.037604451	0.003546424	0.12008181	0.00399509	0.009103531	0.012781676	0.02115449	0.018151226	0.001939204	0.008547925	0.131975411	0.000289545	0.002507997
"Ins(5,):R0"	0.003379946	0.001402018	0.000433792	0.006465457	2.55E-05	0.002350969	0.0224929	0.00619104	0.005010318	0.00354821	0.002016873	0.001296424	0.018850092	0.002491906	0.002447361	0.000166659	0.040799884	0.000781047	0.00811743	0.044323755	0.016206323	0	0	0.006962884	0.007400866	0.076024025	0.273135138	0.002522281	0.009073963	0.012473991	0.005881142	0.015697127	0.000804426	0.021937688	0.001769259	0.013276148	0.011427487	0.00726095	0.007732297	0.00031395	0.009199949	5.62E-05	5.94E-05	0.00087329
"Ins(2,4):R1"	0.001286386	0.001238192	0.000650564	0.001177695	0.000138858	0.000300035	0.008405572	0.004214968	0.003273667	0.017019036	0.007647178	0.015592344	0.002203274	0.000164754	0.009276571	0.005304693	0.043561006	0.000589335	0.005130174	0.014845728	0.00306576	0	0	0.253063942	0.003483443	0.018800519	0.013246158	0.005056558	0.009316301	0.016765993	0.007998436	0.00704111	0.00135866	0.033859689	0.004605636	0.011107867	0.005100955	0.006868695	0.002044381	0.000562584	0.001839856	0.003131036	5.72E-05	0.004375822
"Ins(5,):R1"	0.00096944	0.001056491	0.000253182	0.000550457	0.000109251	2.78E-05	0.008975807	0.002109184	0.002518344	0.009802939	0.013602877	0.020366573	0.005702367	2.10E-05	0.021982	0.008749878	0.119387811	0.001365016	0.006524283	0.017031249	0.014393196	0	0	0.004790167	0.000366669	0.016968938	0.014415727	0.001134711	0.005840076	0.010910571	0.003690235	0.018510283	0.000463553	0.003552573	0.00228885	0.003661538	0.009571449	0.000147684	0.000990143	0.000804903	0.00026414	0.009999772	3.90E-05	0.005388597
"Ins(2,):R(2,4)"	0.002286885	0.002032533	0.00409961	0.003988093	0.002500489	0.001680775	0.007314809	0.005245366	0.004385548	0.019614251	0.005262637	0.011121456	0.004268172	0.003664177	0.006513322	0.00486462	0.028977749	0.001168175	0.003202852	0.011456127	0.004896181	0	0	0.084945825	0.009152437	0.019155625	0.012964954	0.002359598	0.006936528	0.010002231	0.006594115	0.009212633	0.011920337	0.015510888	0.003021987	0.007710158	0.006213301	0.000169319	0.006387763	0.009011366	0.029984457	4.48E-05	0.000988071	0.006169473
"Ins(2,):R(5,)"	0.020296705	0.002944055	0.012607934	0.021494028	0.008122608	0.009369635	0.006187388	0.001271443	0.004765597	0.002775108	0.002026074	0.007462746	0.00384674	0.017630842	0.005192831	0.00360951	0.017081972	0.001536451	0.019058887	0.008339635	0.006879357	0	0	0.004834464	0.007158195	0.015732974	0.011393768	0.000310051	0.007197793	0.006591837	0.002149634	0.00430495	0.078257423	0.011467818	0.004536486	0.00689078	0.005033212	0.00300917	0.020594789	0.008646179	0.207695144	0.004867153	0.006400697	0.018793223
"Del(2,5):M1"	0.000765846	0.000380131	0.000727385	0.003226185	0.001922954	0.001109987	0.013934367	0.008437578	0.062853628	0.037569666	0.01668576	0.034902667	0.016107022	0.003181487	0.046311461	0.019450913	0.024398424	0.000581927	0.014984227	0.010137311	0.005155046	0	0	0.058820456	0.011479692	0.031882571	0.022394764	0.052113582	0.039201208	0.012095237	0.066907292	0.0026732	0.000995465	0.015757863	0.249016452	0.005641425	0.012112927	0.009812959	0.024882291	0.000327284	0.000566899	0.014636067	0.000445103	0.006773154
"Del(3,5):M2"	0.000841809	0.000562255	0.000679914	0.001807001	0.001857799	0.000549432	0.006638775	0.00103455	0.094549319	0.016700306	0.009764823	0.04032092	0.017208484	0.001273179	0.023305978	0.013148184	0.013603319	0.000775728	0.015384714	0.004158798	0.005505388	0	0	0.026347138	0.00805186	0.027554586	0.015604002	0.004264135	0.006220424	0.008769504	0.028816486	0.009620872	0.000641761	0.008157668	0.024955233	0.002204902	0.016663762	0.00637579	0.010020495	0.00027154	0.000376179	0.001443778	0.00042849	0.008668409
"Del(4,5):M(3,4)"	0.001030921	0.000254454	0.000861142	0.00125809	0.000540447	0.000216502	0.004335867	0.00049193	0.040060077	0.006947875	0.00574386	0.017765165	0.011685702	0.000685198	0.006690193	0.009293575	0.006785223	0.000782187	0.00600379	0.001154326	0.002012074	0	0	0.007071299	0.002120687	0.019051319	0.007430925	0.001659387	0.002235079	0.001347446	0.009764886	0.004459744	0.000250523	0.003861867	0.026024508	0.001159124	0.002107208	0.000170259	0.003044333	0.000235791	0.000230678	0.001563889	0.000119317	0.00359644
"Del(6,):M1"	0.000710182	0.000220216	0.000320897	0.000597683	9.54E-05	0.000313688	0.014859717	0.006027835	0.004626497	0.036172496	0.037533937	0.026891564	0.098441111	0.000259006	0.1605524	0.011260734	0.039173363	0.000390927	0.019298054	0.031245437	0.007732088	0.000685589	0	0.046328324	0.011845354	0.025595375	0.051953	0.004670146	0.003529483	0.004126294	0.096918025	0.003097479	0.000356073	0.005249063	0.008925552	0.005716168	0.040687534	0.006863992	0.013674779	0.000101264	0.000170276	0.004436788	6.25E-05	0.001731748
"Del(6,):M2"	0.000447624	0.000272705	0.000362057	0.000295991	0.000117515	5.68E-05	0.01337796	0.004532612	0.002170678	0.021587781	0.024202453	0.024992794	0.189781175	5.74E-05	0.095339351	0.011745812	0.028589738	0.000583779	0.007606241	0.019786301	0.003870233	0.000411353	0	0.049270335	0.008448381	0.019295028	0.021728386	0.006122083	0.002548363	0.003454821	0.059491951	0.001323767	0.000257194	0.004957349	0.008703621	0.010545466	0.029279683	0.003419297	0.001781506	0.000231045	0.000152849	0.003096021	2.88E-05	0.002517196
"Del(6,):M3"	0.000261757	4.64E-05	0.000137744	0.000372952	0.000102407	8.05E-05	0.007287615	0.002592711	0.001650073	0.010137184	0.012500611	0.014349266	0.145036674	7.56E-05	0.04752245	0.007152973	0.017268846	0.000394109	0.00601436	0.008590695	0.003188456	0.000274236	0	0.027129607	0.004314005	0.011217164	0.008772649	0.00169066	0.002653467	0.001272761	0.025634489	0.002384465	0.000167701	0.004414841	0.00457282	0.007006215	0.01968549	0.000218233	0.00198387	6.76E-05	0.000143362	0.001504852	3.37E-05	0.001716495
"Del(6,):M(4,)"	0.00106769	0.00017317	0.000301892	0.000595574	0.000192932	0.000142973	0.007634097	0.003289762	0.003616412	0.007814441	0.011076371	0.021763111	0.157347445	0.00018415	0.042505065	0.008145343	0.031194875	0.000977603	0.008288657	0.015828934	0.008226212	0.000411353	0	0.021509324	0.005295567	0.017960344	0.011257729	0.001339805	0.006101166	0.003296235	0.019319415	0.001824641	0.00025965	0.005578712	0.005762313	0.00847665	0.280822659	0.003471974	0.004705511	0.000144977	0.000366692	0.006856114	2.83E-05	0.004477695
Complex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
