	InsDel1a	InsDel1b	InsDel1c	InsDel2a	InsDel2b	InsDel2c	InsDel3a	InsDel3b	InsDel4	InsDel5a	InsDel5b	InsDel5c	InsDel6	InsDel7	InsDel8	InsDel9	InsDel10	InsDel11	InsDel12	InsDel13	InsDel14	InsDel15	InsDel16	InsDel17	InsDel18	InsDel19a	InsDel19b	InsDel23	InsDel_A_alpha	InsDel_A_beta	InsDel_B	InsDel_C	InsDel_D	InsDel_E	InsDel_F	InsDel_G	InsDel_H	InsDel_I	InsDel_J	InsDel_K	InsDel_L	InsDel_M	InsDel_N_alpha	InsDel_N_beta
"A[Del(T):R(1,4)]A"	0.003248984	0.014919939	0.004270477	0.004778028	0.004892116	0.002855796	0.026921569	0.018389709	0.005777632	0.057130362	0.029109764	0.019389763	0.01028228	0.003174668	0.016285424	0.041544978	0.019374052	0.000769555	0.017698899	0.208411945	0.007935732	0.015357192	0	0.007830881	0.291612715	0.021794821	0.011593218	0.128384453	0.006617853	0.011260749	0.028857274	0.238374329	0.001493621	0.008098017	0.003208921	0.004901428	0.033372195	0.060041351	0.008137732	0.076039122	0.000589972	0.02961211	0.015755657	0.007732362
"A[Del(T):R(1,4)]C"	0.001712893	0.011192533	0.002488212	0.00147223	0.004816179	0.003095797	0.012902181	0.00448861	0.00325588	0.044736412	0.023120842	0.01333707	0.004341132	0.001191643	0.00903198	0.019016119	0.01124765	0.000382617	0.010139338	0.007353553	0.004593587	0.042232278	0	0.003635375	0.187506248	0.008268084	0.005303873	0.010059245	0.004067506	0.004160057	0.022079807	0.001351438	0.000513335	0.00362677	0.000970381	0.006599228	0.014647205	0.014158806	0.00119154	0.060518749	0.000282573	0.006220542	0.005316519	0.003229347
"A[Del(T):R(1,4)]G"	0.001339597	0.004658254	0.001199035	0.001175898	0.004541196	0.001184823	0.012093892	0.011930061	0.001291692	0.040600657	0.019974368	0.010997235	0.005421338	0.00102502	0.01164652	0.024835522	0.005728362	0.000193802	0.014746085	0.008276243	0.004065188	0.039215686	0	0.001526377	0.095551553	0.008636365	0.004264115	0.03979916	0.004086096	0.004211154	0.022274085	0.005874944	0.000186474	0.002423131	0.001950905	0.00112498	0.008019105	0.032120698	0.001465462	0.035667861	0.000322171	0.006486823	0.00409853	0.002596515
"C[Del(T):R(1,4)]A"	0.000657188	0.000543055	0.002002199	0.001893144	0.005233391	0.00124727	0.024959147	0.024865545	0.00485952	0.02596574	0.021391873	0.016444385	0.006806976	0.001433266	0.010011889	0.033798089	0.012302415	0.000586296	0.017620128	0.049982325	0.008075552	0.019059372	0	0.004958382	0.001925333	0.012669092	0.006425879	0.074509954	0.009144315	0.006348606	0.020265569	0.062514211	0.000568441	0.003220359	0.00035145	0.008384919	0.009820164	0.028232952	0.001841405	0.009413472	0.000479376	0.006222985	0.002634557	0.003750072
"C[Del(T):R(1,4)]C"	0.00092859	0.000941563	0.00128856	0.002256344	0.006986451	0.00278008	0.015631942	0.013089966	0.003164454	0.029042724	0.019212466	0.010762596	0.0056998	0.002061013	0.009657356	0.027617632	0.008728891	0.000192519	0.016719243	0.00729234	0.008969039	0.059097765	0	0.002381766	0.002682464	0.014322422	0.007876206	0.008960198	0.012068836	0.008142604	0.023579951	0.01113793	0.00041582	0.010523817	0.001184373	0.006423122	0.006670806	0.014072265	0.002283716	0.008404286	0.000429802	0.014798115	0.001942098	0.002817571
"C[Del(T):R(1,4)]G"	0.001080203	0.000451204	0.001053572	0.001121388	0.00540694	0.000942324	0.018774655	0.025198088	0.005330576	0.027556088	0.02386508	0.016258067	0.007872112	0.000980169	0.010178163	0.037169671	0.006887681	0.000584064	0.018909262	0.006855387	0.005022981	0.062251474	0	0.003324159	0.001021413	0.014405035	0.00602247	0.02557067	0.016444722	0.004178168	0.023075149	0.002340754	0.000602433	0.002403143	0.000800107	0.004862614	0.004221452	0.003249978	0.001887067	0.003647363	0.00018528	0.002930308	0.001358789	0.003090761
"G[Del(T):R(1,4)]A"	0.001405142	0.002880267	0.000743418	0.001697184	0.004996746	0.007181093	0.008343977	0.007845165	0.002585989	0.019339108	0.012788042	0.006608934	0.005430355	0.00141165	0.00763457	0.023950445	0.00947104	0.000193659	0.011435244	0.100472451	0.008505455	0.017139723	0	0.003931768	0.004000301	0.007706045	0.005363113	0.0690808	0.005236113	0.003842305	0.014730467	0.070558673	0.000205565	0.004650723	0.000344354	0.002895119	0.006173539	0.01051281	0.001284405	0.015736781	0.000254241	0.010112147	0.01135335	0.003128832
"G[Del(T):R(1,4)]C"	0.000742856	0.002160006	0.000872345	0.001245705	0.004631103	0.009019206	0.00675713	0.003793183	0.001705763	0.020358486	0.010065197	0.006135866	0.004607687	0.000856706	0.007139057	0.018211844	0.006282264	4.46E-06	0.011535979	0.005497894	0.004736322	0.041409571	0	0.000758958	0.002311819	0.005222153	0.004075947	0.007290637	0.003988632	0.004802629	0.014931728	0.006831376	0.000253984	0.001184958	0.000280854	0.005766398	0.008322636	0.014339413	0.000874883	0.009720283	0.000197886	0.001591983	0.007386226	0.00229366
"G[Del(T):R(1,4)]G"	0.000915359	0.002689726	0.001103554	0.001900853	0.004076845	0.006034014	0.009587013	0.009854948	0.0016063	0.018574858	0.011533004	0.010554789	0.006823085	0.001367178	0.007272013	0.027549135	0.004855268	0.000193612	0.008883158	0.00618351	0.006549762	0.048676813	0	0.001816012	0.002021564	0.009771878	0.007468618	0.028024301	0.005741554	0.003486651	0.016185353	0.006332908	0.000310314	0.003794315	0.000377893	0.004253446	0.010018482	0.003402365	0.001830152	0.006318869	0.000184609	0.006618334	0.004908008	0.002663776
"A[Del(T):R(5,7)]A"	0.004137638	0.03190108	0.003773951	0.05566095	0.124100284	0.024217832	0.013036817	0.004721558	0.016125014	0.015250044	0.008210372	0.014021041	0.005696781	0.049137513	0.006747656	0.024338314	0.007452372	0.001851918	0.007382768	0.019156991	0.005817803	0.010695187	0	0.000999468	0.047025617	0.004164691	0.002920855	0.00531081	0.006987959	0.004307402	0.005696027	0.028752735	0.007512348	0.002536991	0.004922366	0.003143975	0.005328726	0.003155912	0.023729739	0.146177514	0.008555891	0.004802822	0.13555458	0.042795053
"A[Del(T):R(5,7)]C"	0.003349538	0.022449151	0.003982472	0.031496935	0.049811119	0.044093418	0.005976251	0.002510975	0.009357488	0.009798625	0.005105102	0.010597525	0.002521331	0.02172783	0.003466424	0.013860289	0.005286801	0.001323084	0.005397212	0.003582248	0.002328168	0.023310023	0	0.000379592	0.039008893	0.002172377	0.001563489	0.00176263	0.001987843	0.008153033	0.003700042	0.015498622	0.003883046	0.003777362	0.003169214	0.003619314	0.001041495	0.00335251	0.017098132	0.06389481	0.008984301	7.13E-05	0.03626364	0.028116211
"A[Del(T):R(5,7)]G"	0.002009387	0.011793292	0.002232629	0.025099812	0.081230269	0.016057355	0.006043153	0.00373155	0.003966665	0.011186836	0.005403079	0.005331719	0.00451732	0.030200349	0.003321229	0.01814495	0.005600285	0.001116508	0.002384958	0.002042348	0.00425785	0.018510901	0	0.000370222	0.056311923	0.00296424	0.003739252	0.003848806	0.002388085	0.001799221	0.004127214	0.017956875	0.002438446	0.002440032	0.002464002	0.004725458	0.003536994	0.013914234	0.016011187	0.06222817	0.008495876	0.011397134	0.058111245	0.021690074
"C[Del(T):R(5,7)]A"	0.002150183	0.017741084	0.001738091	0.022092199	0.068589831	0.012084502	0.011355052	0.005958105	0.006701084	0.006072252	0.005831553	0.008001638	0.00155164	0.025811838	0.002532851	0.013739032	0.004306724	0.001127145	0.00262947	0.006761297	0.005685766	0.011517894	0	0.000394983	0.000992419	0.002033778	0.000956591	0.002133192	0.002355148	0.003146739	0.002263048	0.015922901	0.002662453	0.005481387	0.001086177	0.007594681	0.00398599	0.000208826	0.012765921	0.025099282	0.002680485	0.003475491	0.0319866	0.016743354
"C[Del(T):R(5,7)]C"	0.001053824	0.005437111	0.003956853	0.017451915	0.055371094	0.060635547	0.007990936	0.005015163	0.005338394	0.006153717	0.006186845	0.004648417	0.00118144	0.023214511	0.001775666	0.013080682	0.001446534	0.000353981	0.00800283	0.002489334	0.001821223	0.033456739	0	3.92E-06	0.001654792	0.002865127	0.001381515	0.00129236	0.003433948	0.002814979	0.002965858	0.016099751	0.002044864	0.001244818	0.001411569	0.004810379	0.003191083	0.000125108	0.010449865	0.014786622	0.005557361	0.003291049	0.019552117	0.015811678
"C[Del(T):R(5,7)]G"	0.000520998	0.002817062	0.001221059	0.014897517	0.064472246	0.010572066	0.005817244	0.005168683	0.002897755	0.005512231	0.004935098	0.006188168	0.001616259	0.021929364	0.001112632	0.013809295	0.001492341	5.13E-06	0.003504735	0.001116354	0.002901203	0.021390374	0	0.00041043	0.000345749	0.001778904	0.002665435	0.002476872	0.001638112	0.000904183	0.002133472	0.008917483	0.001394052	0.000646217	0.000494039	0.004302165	0.003813526	0.003534998	0.006799818	0.014969741	0.001978036	0.001601348	0.020385894	0.012909295
"G[Del(T):R(5,7)]A"	0.000585024	0.004537402	0.000809286	0.01241293	0.050667645	0.052816721	0.004122933	0.001937313	0.004787738	0.005087406	0.004699018	0.004529833	0.001315163	0.019005175	0.002783952	0.013874599	0.004253424	0.000552009	0.004300042	0.005121223	0.002636762	0.007130125	0	0.000183322	0.001407878	0.003021661	0.001168975	0.000666475	0.001328092	0.002353661	0.002457292	0.003498499	0.001012472	0.000911454	0.002927923	0.00298513	0.002030793	0.000145802	0.008773457	0.017500724	0.002970044	0.001739374	0.041855541	0.008920153
"G[Del(T):R(5,7)]C"	0.000507211	0.003276454	0.00059806	0.011159032	0.033574914	0.042771619	0.006256035	0.001703703	0.00440727	0.004071256	0.004368404	0.003714979	0.001954896	0.013671583	0.001127381	0.009929031	0.002806935	0.000367705	0.00462003	0.001840176	0.001340571	0.02166461	0	0.000190023	0.000821686	0.002634295	0.001439211	0.001605838	0.001084023	0.002422091	0.001943078	0.01289921	0.001766685	0.001671269	0.000344763	0.003182537	0.002099026	0.000104413	0.006803796	0.010577673	0.005362517	4.93E-05	0.016660417	0.009482874
"G[Del(T):R(5,7)]G"	0.000442265	0.00271365	0.001885542	0.009504922	0.037534086	0.036766004	0.004968148	0.002571547	0.002183763	0.004867027	0.003697536	0.004446883	0.002122796	0.015130087	0.00269197	0.016963663	0.001328451	0.000758728	0.005906472	0.001388735	0.003166011	0.019470725	0	0.000856354	0.000875686	0.002304183	0.001359794	0.001458363	0.001122165	0.004023467	0.001862483	0.005113406	0.001156926	0.001519317	0.001979492	0.001969404	0.001598814	0.000169319	0.00454614	0.009051356	0.004145579	0.001543532	0.026599771	0.008222277
"A[Del(T):R(8,)]A"	0.002312836	0.017098585	0.001475308	0.111750109	0.018919153	0.040699475	0.005481993	0.00085588	0.025974825	0.000879775	0.000252815	0.002212729	0.001735095	0.092620882	0.004004293	0.005634149	0.002923662	0.001083693	0.001740984	0.003841115	0.011290839	0	0	0.000410146	0.007318824	0.001431307	0.002463846	0.000149831	0.006440283	0.002971018	0.000341677	0.001334996	0.018968442	0.007217802	0.00255209	0.008412988	0.004429751	0.00326691	0.040252059	0.013934258	0.015833128	0.006480715	0.052847331	0.0606624
"A[Del(T):R(8,)]C"	0.002264596	0.00668221	0.002573813	0.075166974	0.004440021	0.092471034	0.00345312	0.000554959	0.009242662	0.00115725	0.000271519	0.002414963	0.001065852	0.056477621	0.002030694	0.006698258	0.002559174	0.001298722	0.000476405	0.001246693	0.002152148	0	0	0.00063254	0.003917108	0.001612654	0.001126591	0.002551519	0.006729351	0.004592818	0.000613623	0.003013265	0.01342513	0.004124488	0.001719806	0.008477258	0.001464802	0.003297952	0.027865267	0.012379478	0.025495645	0.012213077	0.016699192	0.046811809
"A[Del(T):R(8,)]G"	0.001392801	0.002976406	0.002223246	0.050057414	0.008768384	0.022900711	0.001310708	0.000338935	0.003713142	0.000757845	0.000232563	0.001125366	0.000643779	0.054588245	0.000834714	0.001998281	0.001361034	0.000742629	0.000927772	0.000409607	0.002804404	0	0	0.000206947	0.002291818	0.00040497	0.002344845	0.000661763	0.003662624	0.002130547	0.000264373	0.004950191	0.010065535	0.00386396	0.00178892	0.003502095	0.001018751	7.81E-05	0.027750211	0.009464723	0.008466874	0.097992472	0.019053676	0.024896732
"C[Del(T):R(8,)]A"	0.002632098	0.008190088	0.00269745	0.05740407	0.009988891	0.024984189	0.000776023	0.000450633	0.010616796	0.000529485	0.00045074	0.002127951	0.000723643	0.064173923	0.001179886	0.001129874	0.000748875	0.000520097	0.001169531	0.001387439	0.00572191	0	0	0.00065236	0.002934751	0.000468387	0.001838961	0.000650303	0.008340543	0.003407448	0.00030087	0.001457708	0.009421589	0.003094622	0.00187749	0.001446962	0.001740353	0.000125108	0.014510251	0.003272218	0.004090127	0.015533848	0.019431854	0.033579886
