InDel89	InDel83	BestMatch83_1	BestMatch83_2	BestMatch83_3	BestMatch89_1	BestMatch89_2	BestMatch89_3	BestMatch476_1	BestMatch476_2	BestMatch476_3
InsDel6	C_ID6	SP67609	SP102045	SP102035	SP102035	SP67609	SP62616	SP67609	CPCT02030278T	DRUP01020002T
InsDel7	C_ID7	SP85864	SP116871	SP13539	WIDE01010075T	CPCT02010441T	CPCT02010786T	WIDE01010075T	CPCT02050211T	DRUP01010022T
InsDel8	C_ID8	CPCT02070336T	SP116365	CPCT02240008T	CPCT02070336T	SP975	SP49124	CPCT02070336T	WIDE01010565T	CPCT02010639T
InsDel9	C_ID9	SP102617	SP121790	SP48850	SP102617	SP48850	SP121761	SP116520	SP121761	SP121781
InsDel10	C_ID10	SP116919	SP79354	SP109957	SP109957	CPCT02050117T	CPCT02020350T	SP116919	SP109957	SP114020
InsDel11	C_ID11	SP77956	WES::TCGA-13-0889-01A-01W-0420-08	SP99317	SP77956	WES::TCGA-13-0889-01A-01W-0420-08	DRUP01340014T	SP77956	CPCT02130184T	SP106631
InsDel12	C_ID12	SP112985	SP112959	SP80217	SP112947	SP112985	SP112959	SP112947	SP112985	SP112959
InsDel13	C_ID13	CPCT02050424T	SP124439	CPCT02060291T	CPCT02060291T	CPCT02020670T	CPCT02050424T	CPCT02050424T	CPCT02020670T	CPCT02020670TII
InsDel14	C_ID14	CPCT02340014T	DRUP01340003T	CPCT02050104T	CPCT02340014T	DRUP01340003T	CPCT02050104T	CPCT02340014T	DRUP01340003T	CPCT02050104T
InsDel15	C_ID15	WES::TCGA-EW-A2FV-01A-11D-A17D-09	WES::TCGA-D8-A27V-01A-12D-A17D-09	CPCT02390002T	WES::TCGA-EW-A2FV-01A-11D-A17D-09	WES::TCGA-D8-A27V-01A-12D-A17D-09	CPCT02020872T	WES::TCGA-EW-A2FV-01A-11D-A17D-09	WES::TCGA-D8-A27V-01A-12D-A17D-09	CPCT02390002T
InsDel16	C_ID16	SP124319	SP124439	SP82417	WES::TCGA-13-0889-01A-01W-0420-08	SP77956	DRUP01340014T	WES::TCGA-13-0889-01A-01W-0420-08	SP107439	DRUP01340015T
InsDel17	C_ID17	CPCT02250003T	SP116276	SP123969	CPCT02250003T	SP23483	SP116276	CPCT02250003T	CPCT02060261T	WIDE01010018T
InsDel18	C_ID18	CPCT02070053T	CPCT02020717T	CPCT02160021T	CPCT02070053T	CPCT02160021T	CPCT02020717T	CPCT02070053T	CPCT02160021T	CPCT02020717T
InsDel19a	C_ID19	CPCT02080139T	CPCT02060224T	CPCT02340081T	CPCT02010408TII	CPCT02110035T	CPCT02010458T	CPCT02010408T	CPCT02060033T	CPCT02340026T
InsDel19b	C_ID19	CPCT02080139T	CPCT02060224T	CPCT02340081T	CPCT02050192T	CPCT02060224T	CPCT02030471T	CPCT02340081T	CPCT02060224T	CPCT02030471T
InsDel19c	C_ID19	CPCT02080139T	CPCT02060224T	CPCT02340081T	CPCT02020734T	CPCT02020937T	CPCT02050376T	CPCT02340026T	CPCT02010486T	CPCT02080294T
InsDel23	C_ID23	SP102957	SP103507	SP103535	SP102957	SP103507	SP103535	SP102957	SP103507	SP103535
